gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
ng,1,,,29,362,109,616.0,339.0,35.25,19.4,1007.8,1976.9,2001.7,4749.6,8189.8,8261.3,0.7078,0.9257,ng_run1.csv,
ng,2,,,31,349,120,722.0,416.0,36.74,21.17,1007.6,1968.8,2001.7,4673.5,8508.3,9581.6,0.6373,0.9029,ng_run2.csv,
ng,3,,,31,357,112,695.0,410.0,34.55,20.38,1007.9,1972.2,2001.7,5094.9,9848.2,11193.2,0.7177,0.8951,ng_run3.csv,
ng,4,,,26,341,133,562.0,268.0,35.12,16.75,1008.2,1991.3,2012.5,4755.2,6918.5,8629.1,0.9311,0.9309,ng_run4.csv,
ng,5,,,27,350,123,577.0,280.0,33.5,16.26,1008.0,1984.0,2001.8,4202.7,6120.5,7938.0,0.8155,0.932,ng_run5.csv,
srl,1,,,36,343,121,951.0,546.0,48.01,27.56,1006.5,1898.6,1949.9,5128.0,10842.4,13265.1,0.6364,0.8568,srl_run1.csv,
srl,2,,,36,346,118,989.0,538.0,48.39,26.32,1006.7,1906.7,1949.8,5449.7,9545.1,10370.6,0.6581,0.9175,srl_run2.csv,
srl,3,,,40,356,104,1044.0,642.0,51.84,31.88,1006.7,1917.1,1991.6,5436.6,12063.1,12647.1,0.6311,0.8557,srl_run3.csv,
srl,4,,,39,355,106,871.0,447.0,48.97,25.13,1006.6,1890.7,1942.2,5228.3,8532.5,9498.5,0.8563,0.9035,srl_run4.csv,
srl,5,,,39,344,117,831.0,433.0,48.92,25.49,1006.3,1914.7,1944.1,4581.1,7603.0,15042.9,0.7468,0.851,srl_run5.csv,
sbac,1,,,51,409,40,819.0,668.0,49.54,40.41,165.4,1330.3,2000.9,2783.3,6499.5,9437.6,0.7269,0.7441,sbac_run1.csv,
sbac,2,,,49,414,37,847.0,707.0,46.63,38.92,327.7,1433.0,1963.8,4392.3,8140.0,11314.0,0.7212,0.8241,sbac_run2.csv,
sbac,3,,,54,408,38,787.0,651.0,50.79,42.02,351.5,1401.4,1941.8,3917.2,6322.4,10659.8,0.7679,0.8483,sbac_run3.csv,
sbac,4,,,60,402,38,815.0,702.0,52.95,45.61,311.3,1336.3,1933.5,3244.6,6525.4,12038.7,0.8341,0.8042,sbac_run4.csv,
sbac,5,,,46,410,44,869.0,720.0,50.77,42.06,199.5,1382.5,2001.2,3831.9,8754.6,9554.4,0.6921,0.7875,sbac_run5.csv,
plangate_full,1,,,67,432,1,796.0,790.0,50.25,49.87,5.0,879.1,1208.7,2104.0,6840.3,9424.0,0.6799,0.6018,plangate_full_run1.csv,
plangate_full,2,,,72,425,3,1094.0,1038.0,58.63,55.63,24.2,1327.0,1699.6,3319.1,11134.3,12491.8,0.639,0.6497,plangate_full_run2.csv,
plangate_full,3,,,73,427,0,978.0,978.0,63.34,63.34,10.0,1085.1,1420.5,2924.1,9527.0,11264.7,0.6474,0.659,plangate_full_run3.csv,
plangate_full,4,,,73,427,0,976.0,976.0,63.43,63.43,7.5,1042.1,1643.6,2676.6,9371.6,9842.1,0.6513,0.6157,plangate_full_run4.csv,
plangate_full,5,,,78,421,1,1096.0,1095.0,57.58,57.53,7.8,1096.3,1434.2,2841.7,8989.2,9584.5,0.6637,0.6782,plangate_full_run5.csv,
