session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0004-8792a6c6,plan_and_solve,SUCCESS,3,500,7.0,7.0,828.02,1775982266.386503,1775982267.215189
sess-0018-628a42b3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1009.19,1775982266.635553,1775982267.644994
sess-0033-0fab073c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.91,1775982266.812786,1775982267.822016
sess-0037-937303b0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.21,1775982266.983943,1775982267.994478
sess-0038-4cb0c31a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1007.65,1775982266.986846,1775982267.994785
sess-0039-9e93b56b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1008.59,1775982267.010811,1775982268.019848
sess-0013-45e58db0,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1435.22,1775982266.595464,1775982268.031137
sess-0040-b3c672f1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.98,1775982267.023268,1775982268.032524
sess-0014-7ac5c7ea,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1435.98,1775982266.600527,1775982268.036906
sess-0041-d0eb5eb6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1010.56,1775982267.027212,1775982268.038003
sess-0043-53fa24e6,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1014.15,1775982267.075850,1775982268.090231
sess-0002-8b1eeac3,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1816.69,1775982266.340053,1775982268.157157
sess-0046-796531ff,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1013.51,1775982267.155319,1775982268.169131
sess-0047-cb3c5b70,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.17,1775982267.164099,1775982268.172500
sess-0049-bb81b7a8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1009.99,1775982267.198807,1775982268.209276
sess-0052-8b4869aa,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.58,1775982267.305935,1775982268.314995
sess-0010-231c3625,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1850.68,1775982266.485497,1775982268.336603
sess-0005-94b622e5,plan_and_solve,CASCADE_FAILED,7,500,6.0,0.0,1954.44,1775982266.390641,1775982268.345761
sess-0021-1057e2e9,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1679.30,1775982266.677171,1775982268.356886
sess-0017-ecb1c75c,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1750.79,1775982266.618498,1775982268.369643
sess-0053-fe7f0673,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.73,1775982267.363310,1775982268.371213
sess-0011-6c3db071,plan_and_solve,CASCADE_FAILED,7,500,2.0,0.0,1931.74,1775982266.487751,1775982268.420035
sess-0008-077f739a,plan_and_solve,CASCADE_FAILED,7,500,6.0,0.0,1985.48,1775982266.439483,1775982268.425523
sess-0055-074029b1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1009.76,1775982267.427899,1775982268.437903
sess-0025-f7306af8,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1733.81,1775982266.712497,1775982268.446746
sess-0056-b412ebfb,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.41,1775982267.480033,1775982268.495487
sess-0057-6e89f952,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1010.82,1775982267.485063,1775982268.496153
sess-0029-1ffb3aea,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1752.98,1775982266.783527,1775982268.536921
sess-0059-7f64bc4e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1047.32,1775982267.492267,1775982268.539856
sess-0060-a5f69316,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1009.30,1775982267.530880,1775982268.540475
sess-0061-e151590a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1007.34,1775982267.541202,1775982268.548776
