session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-0ac92346,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.02,1775982584.219537,1775982584.222673
sess-0002-4d978bb0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.65,1775982584.291059,1775982584.293896
sess-0005-d4a07a92,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.47,1775982584.342906,1775982584.347639
sess-0008-5d1e8752,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.06,1775982584.393133,1775982584.397427
sess-0010-64d26e31,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,6.27,1775982584.437558,1775982584.444133
sess-0011-acc0a442,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.07,1775982584.439765,1775982584.445143
sess-0012-b24ff357,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.74,1775982584.510766,1775982584.514762
sess-0014-dde30c4d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.83,1775982584.552933,1775982584.555933
sess-0016-b0ea6cba,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.13,1775982584.562685,1775982584.565963
sess-0017-96492f67,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.98,1775982584.570665,1775982584.573907
sess-0018-3e15cc7f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.07,1775982584.586467,1775982584.589774
sess-0019-aef75da4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.49,1775982584.598452,1775982584.602283
sess-0020-23ab35c5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.24,1775982584.606001,1775982584.609519
sess-0022-a1e6918d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.01,1775982584.630344,1775982584.635616
sess-0023-25df47cf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.52,1775982584.638685,1775982584.642466
sess-0026-328ead4c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,5.09,1775982584.693608,1775982584.699022
sess-0027-30c90e3d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.11,1775982584.699287,1775982584.702612
sess-0028-327cd7ce,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.57,1775982584.714008,1775982584.716715
sess-0029-9b0f2041,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.85,1775982584.733261,1775982584.736314
sess-0030-0728a668,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.94,1775982584.734330,1775982584.738454
sess-0032-32e36b26,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.66,1775982584.758131,1775982584.762092
sess-0033-e763dbdf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.20,1775982584.759725,1775982584.764594
sess-0034-87f660b6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.55,1775982584.820384,1775982584.824224
sess-0035-14a9b76a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.36,1775982584.889176,1775982584.892862
sess-0036-8d66f653,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.57,1775982584.923522,1775982584.927355
sess-0037-0d150ea0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.29,1775982584.931967,1775982584.936506
sess-0038-475a075a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.34,1775982584.934728,1775982584.938281
sess-0039-e0bdce0d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.22,1775982584.958962,1775982584.963610
sess-0040-12410f40,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.03,1775982584.971365,1775982584.974646
sess-0041-224de39c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.08,1775982584.974858,1775982584.978169
sess-0007-8862d872,plan_and_solve,SUCCESS,4,500,4.0,4.0,641.60,1775982584.350505,1775982584.992711
sess-0042-d80176ef,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.23,1775982584.991265,1775982584.995696
sess-0043-e008a7d0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.30,1775982584.993249,1775982584.998808
sess-0044-62e87049,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.16,1775982585.042649,1775982585.046120
sess-0046-20aa56f9,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.39,1775982585.072946,1775982585.076603
sess-0047-311e9d4c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.35,1775982585.081172,1775982585.084792
sess-0048-556285f9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.97,1775982585.096335,1775982585.099619
sess-0049-0f56111c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.67,1775982585.114267,1775982585.118212
sess-0050-356ff2ba,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.54,1775982585.119687,1775982585.123539
sess-0004-82cd0c81,plan_and_solve,SUCCESS,3,500,7.0,7.0,830.94,1775982584.338232,1775982585.169616
sess-0051-773db71d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.88,1775982585.190481,1775982585.194666
