session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0004-492b6961,plan_and_solve,SUCCESS,3,500,7.0,7.0,823.54,1778651233.877568,1778651234.701108
sess-0066-308cfb88,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.60,1778651234.903343,1778651234.907944
sess-0067-e7e2644e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.41,1778651234.904537,1778651234.907944
sess-0014-32f48a3c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1028.28,1778651234.067590,1778651235.095866
sess-0028-9a61235b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1016.64,1778651234.123585,1778651235.140222
sess-0030-87029794,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.14,1778651234.157549,1778651235.170741
sess-0031-497e4bcc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.71,1778651234.186951,1778651235.201663
sess-0033-a9d4b489,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1025.44,1778651234.191649,1778651235.217085
sess-0011-0889f5ae,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1259.11,1778651233.957971,1778651235.217085
sess-0035-8e4d036f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1012.50,1778651234.325871,1778651235.338371
sess-0007-aed10472,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,1482.91,1778651233.884308,1778651235.367760
sess-0037-ee766a9b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.38,1778651234.388984,1778651235.399947
sess-0038-8407e7ee,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.82,1778651234.391496,1778651235.401317
sess-0036-f7842fb3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.33,1778651234.386991,1778651235.401850
sess-0040-7dae85f9,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1011.35,1778651234.436107,1778651235.447482
sess-0039-77e46221,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1014.74,1778651234.433725,1778651235.449505
sess-0041-f37757fc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1024.44,1778651234.438247,1778651235.462690
sess-0043-0c26c061,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.61,1778651234.442609,1778651235.463221
sess-0042-8991b4a1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1023.85,1778651234.440442,1778651235.464293
sess-0048-2f219d0d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1021.92,1778651234.529567,1778651235.551484
sess-0047-68f45a33,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1023.43,1778651234.527514,1778651235.551484
sess-0000-c562e36f,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1822.28,1778651233.744284,1778651235.567552
sess-0049-a0a82aeb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1014.37,1778651234.553859,1778651235.568231
sess-0050-27707d35,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.70,1778651234.556071,1778651235.568769
sess-0016-3d0b785b,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1649.30,1778651234.073550,1778651235.722866
sess-0054-736d13ba,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1010.96,1778651234.725922,1778651235.736883
sess-0057-6b1a53d8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1029.71,1778651234.804467,1778651235.834181
sess-0010-f17ca255,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1877.25,1778651233.955854,1778651235.834181
sess-0059-965f6a64,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1025.31,1778651234.808874,1778651235.834719
sess-0061-fba5a312,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1019.77,1778651234.814948,1778651235.835706
sess-0062-ea2817fc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.12,1778651234.816576,1778651235.836695
sess-0058-667ab87f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1031.15,1778651234.806460,1778651235.837608
sess-0060-709cf310,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1026.57,1778651234.811039,1778651235.837608
sess-0021-a34d1c66,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1732.97,1778651234.110591,1778651235.844098
sess-0019-43121bf8,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1840.63,1778651234.080916,1778651235.921550
sess-0017-f54a2ead,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1845.96,1778651234.076736,1778651235.922695
sess-0065-82172ce1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1021.10,1778651234.902233,1778651235.923333
sess-0025-5f4a54c9,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1805.94,1778651234.118482,1778651235.924959
sess-0064-9d45b4c9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1026.75,1778651234.898766,1778651235.925512
sess-0063-cee3d1af,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1062.24,1778651234.863277,1778651235.925512
sess-0069-db367b0f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.61,1778651234.954752,1778651235.965456
