session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0004-d19f0aea,plan_and_solve,SUCCESS,3,500,7.0,7.0,824.86,1778651213.698942,1778651214.523806
sess-0056-ff5c5f8a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,8.29,1778651214.602273,1778651214.610566
sess-0057-b08a2243,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,6.94,1778651214.604670,1778651214.612985
sess-0058-f0762931,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,7.70,1778651214.606920,1778651214.614617
sess-0060-516e6fc5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.88,1778651214.611632,1778651214.615511
sess-0059-59e64b0b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,7.52,1778651214.609061,1778651214.616582
sess-0061-5fe9043d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.50,1778651214.614080,1778651214.616582
sess-0062-34f525c9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.80,1778651214.615511,1778651214.617850
sess-0063-5ecd5df0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.92,1778651214.648720,1778651214.651637
sess-0064-faa628f9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.09,1778651214.649520,1778651214.652614
sess-0065-ba06c742,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.54,1778651214.651096,1778651214.653635
sess-0066-b5466650,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.66,1778651214.652614,1778651214.655276
sess-0067-3a683c4b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.18,1778651214.653635,1778651214.655811
sess-0069-1de8a5b4,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.65,1778651214.690871,1778651214.693516
sess-0012-0d3e82d3,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,866.89,1778651213.827175,1778651214.694069
sess-0070-9a865547,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.00,1778651214.786340,1778651214.788335
sess-0071-044c65a3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.92,1778651214.832932,1778651214.835849
sess-0072-c8de6e7e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.10,1778651214.833766,1778651214.836863
sess-0073-8fa3facf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.01,1778651214.835806,1778651214.836863
sess-0074-15659789,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.88,1778651214.879614,1778651214.881491
sess-0075-8794bbd3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1778651214.910956,1778651214.912814
sess-0076-2f8fde62,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.15,1778651214.941734,1778651214.943889
sess-0028-c1b6a645,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.77,1778651213.931648,1778651214.944416
sess-0029-da2d4bcb,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1011.71,1778651213.932741,1778651214.944955
sess-0030-432c702a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.07,1778651213.933882,1778651214.944955
sess-0031-3acdc265,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.20,1778651213.958426,1778651214.975626
sess-0032-19beb97c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1016.23,1778651213.961025,1778651214.977257
sess-0033-89f5ec66,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.87,1778651213.963387,1778651214.977792
sess-0011-92fee163,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1273.29,1778651213.763420,1778651215.036708
sess-0034-e084a501,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1017.77,1778651214.019929,1778651215.037704
sess-0085-89dd9ac8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.16,1778651215.068353,1778651215.070509
sess-0086-7f29b091,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.60,1778651215.069427,1778651215.071028
sess-0035-b4c71ecc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1017.87,1778651214.095068,1778651215.112941
sess-0088-c6a216a3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.26,1778651215.141512,1778651215.143768
sess-0037-ce9f8b18,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1016.02,1778651214.143166,1778651215.159182
sess-0038-aff82bdf,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1014.46,1778651214.145258,1778651215.159719
sess-0041-c6d0bdf9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.29,1778651214.179078,1778651215.190370
sess-0039-4ce15d04,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1017.52,1778651214.174636,1778651215.192159
sess-0007-c9735647,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,1487.53,1778651213.705709,1778651215.193238
sess-0040-ef5b9135,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1015.76,1778651214.177464,1778651215.193774
sess-0042-c2242f0f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1023.67,1778651214.181054,1778651215.204723
sess-0043-3efac24b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1022.43,1778651214.183838,1778651215.206265
sess-0045-554b6243,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1014.63,1778651214.251096,1778651215.265725
sess-0046-1697b3d0,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1017.26,1778651214.279507,1778651215.297278
sess-0048-ee92c0f8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1014.12,1778651214.284346,1778651215.298462
sess-0047-a2dddc40,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1017.15,1778651214.281315,1778651215.298462
sess-0050-31989ba4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1023.19,1778651214.311230,1778651215.335482
sess-0049-4e0fc16b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1025.75,1778651214.309734,1778651215.335482
sess-0103-6a753037,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.06,1778651215.336578,1778651215.337697
sess-0104-665f68c5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,0.60,1778651215.337101,1778651215.337697
sess-0014-418dc988,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1473.05,1778651213.869338,1778651215.342384
sess-0106-bee1f888,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.13,1778651215.377082,1778651215.378215
sess-0107-d006602b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.60,1778651215.377619,1778651215.378215
sess-0051-ba1ac28a,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1012.61,1778651214.375697,1778651215.388307
sess-0109-fde3781f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.60,1778651215.389379,1778651215.390977
sess-0110-81926a93,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.60,1778651215.389916,1778651215.391511
sess-0111-c9c79948,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.43,1778651215.389916,1778651215.391874
sess-0112-85143755,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.43,1778651215.390977,1778651215.392406
sess-0052-0fb66489,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1017.39,1778651214.417339,1778651215.434733
sess-0002-8fb147c6,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,1827.28,1778651213.622520,1778651215.449803
sess-0101-34e821dc,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,179.65,1778651215.304190,1778651215.483867
sess-0116-5bb59b26,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.98,1778651215.529073,1778651215.531052
sess-0117-2c4af824,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.12,1778651215.562423,1778651215.565623
sess-0118-b6f1e700,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.62,1778651215.564001,1778651215.565623
sess-0009-03e34579,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,1827.08,1778651213.759473,1778651215.587086
sess-0120-91540c80,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.98,1778651215.623118,1778651215.625102
sess-0121-38146687,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.26,1778651215.662311,1778651215.664571
sess-0019-795e5ae1,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1813.58,1778651213.880511,1778651215.695173
sess-0123-d44a9443,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.21,1778651215.696422,1778651215.699666
sess-0124-e0e6a372,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.21,1778651215.697508,1778651215.700723
sess-0125-05f86f8d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.59,1778651215.698030,1778651215.701182
sess-0126-4c104741,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.07,1778651215.699666,1778651215.701735
sess-0003-bf61e876,plan_and_solve,CASCADE_FAILED,4,500,6.0,0.0,2042.52,1778651213.667305,1778651215.709825
sess-0068-71131b08,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1020.47,1778651214.689893,1778651215.710364
sess-0025-03fe2434,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1846.41,1778651213.893953,1778651215.740361
sess-0130-6a230e78,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.87,1778651215.776375,1778651215.779249
sess-0131-2e4bad8c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.80,1778651215.777451,1778651215.779249
sess-0132-aeca999d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.93,1778651215.778189,1778651215.780652
sess-0133-0028cb51,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.65,1778651215.779249,1778651215.781902
sess-0134-1a7b3064,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.44,1778651215.780652,1778651215.783372
sess-0135-7bf0589f,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.16,1778651215.846147,1778651215.849307
sess-0136-45aa5c59,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.26,1778651215.847079,1778651215.850338
sess-0137-fba56264,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.57,1778651215.848765,1778651215.851039
sess-0138-6b8ac020,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.20,1778651215.878017,1778651215.880213
sess-0139-f904c965,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1778651215.879053,1778651215.880747
