gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
plangate_quadratic,1,,,30,460,10,276.0,242.0,26.02,22.82,3.0,809.7,1142.7,1610.4,3300.2,3564.6,0.7934,0.7075,plangate_quadratic_run1.csv,
plangate_quadratic,2,,,30,460,10,240.0,214.0,22.49,20.05,3.0,808.9,1093.8,1332.5,3187.8,3215.6,0.7243,0.6793,plangate_quadratic_run2.csv,
plangate_quadratic,3,,,30,456,14,259.0,225.0,24.36,21.16,3.1,808.3,1079.4,1644.4,3012.8,3284.4,0.7854,0.7455,plangate_quadratic_run3.csv,
plangate_quadratic,4,,,29,456,15,335.0,292.0,31.36,27.33,3.0,939.1,1401.8,3081.7,4502.3,4772.6,0.8009,0.7946,plangate_quadratic_run4.csv,
plangate_quadratic,5,,,30,440,30,329.0,267.0,31.06,25.2,3.1,850.6,1164.4,1884.2,4003.6,4416.9,0.7118,0.6667,plangate_quadratic_run5.csv,
plangate_linear,1,,,30,438,32,319.0,235.0,29.88,22.01,2.9,924.4,1267.0,1819.8,3660.7,3663.9,0.7617,0.7501,plangate_linear_run1.csv,
plangate_linear,2,,,30,431,39,378.0,274.0,35.7,25.88,2.9,855.0,1119.1,1842.5,4268.7,4681.5,0.751,0.6673,plangate_linear_run2.csv,
plangate_linear,3,,,30,459,11,274.0,247.0,25.67,23.14,3.0,809.4,1174.9,1792.9,3277.8,4099.5,0.7987,0.6863,plangate_linear_run3.csv,
plangate_linear,4,,,30,458,12,281.0,239.0,26.54,22.57,2.9,811.7,1227.0,1728.0,3354.8,3592.7,0.8101,0.8207,plangate_linear_run4.csv,
plangate_linear,5,,,30,459,11,268.0,241.0,25.39,22.83,2.8,808.0,1048.7,1616.3,3708.0,3889.9,0.7567,0.7026,plangate_linear_run5.csv,
plangate_exponential,1,,,30,449,21,343.0,282.0,32.33,26.58,3.0,902.8,1217.6,2591.6,3763.9,4372.4,0.808,0.7686,plangate_exponential_run1.csv,
plangate_exponential,2,,,30,458,12,278.0,254.0,26.34,24.07,2.7,809.0,1204.4,1994.4,4215.6,4272.5,0.7975,0.764,plangate_exponential_run2.csv,
plangate_exponential,3,,,30,460,10,250.0,228.0,23.58,21.51,2.9,808.4,1175.4,1736.4,3353.5,4209.8,0.763,0.7302,plangate_exponential_run3.csv,
plangate_exponential,4,,,30,459,11,295.0,264.0,27.85,24.93,2.9,809.6,1185.9,1986.9,4098.3,4299.0,0.7402,0.7324,plangate_exponential_run4.csv,
plangate_exponential,5,,,30,465,5,237.0,224.0,22.4,21.17,3.0,807.6,1094.8,1311.2,3734.2,4013.9,0.7535,0.6483,plangate_exponential_run5.csv,
plangate_logarithmic,1,,,30,439,31,352.0,234.0,32.89,21.87,3.0,845.5,1217.1,1550.2,4228.9,4430.4,0.7654,0.6683,plangate_logarithmic_run1.csv,
plangate_logarithmic,2,,,30,446,24,303.0,218.0,28.63,20.6,3.0,810.1,1189.0,1758.9,3426.3,4165.2,0.7309,0.6941,plangate_logarithmic_run2.csv,
plangate_logarithmic,3,,,30,436,34,360.0,261.0,33.73,24.46,3.0,810.4,1203.9,1602.5,4019.3,4094.0,0.7136,0.6123,plangate_logarithmic_run3.csv,
plangate_logarithmic,4,,,30,442,28,279.0,190.0,26.23,17.86,3.0,808.6,925.9,647.0,2922.0,3565.5,0.74,0.5647,plangate_logarithmic_run4.csv,
plangate_logarithmic,5,,,30,431,39,333.0,215.0,31.21,20.15,2.8,877.8,1151.7,1597.9,3204.3,3834.4,0.7244,0.6713,plangate_logarithmic_run5.csv,
