gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps,jfi_latency,csv,error
ng,1,concurrency,200,23,356,121,558.0,244.0,35.05,15.33,1007.8,1988.8,2002.0,4607.1,6235.4,6400.0,0.9259,0.9304,ng_concurrency200_run1.csv,
ng,2,concurrency,200,22,353,125,536.0,239.0,34.93,15.57,1008.6,1984.7,2004.2,4379.0,6458.6,8052.8,0.9342,0.9137,ng_concurrency200_run2.csv,
ng,3,concurrency,200,22,353,125,514.0,216.0,33.87,14.23,1007.2,1991.5,2001.6,4288.3,5983.4,6398.9,0.9173,0.9267,ng_concurrency200_run3.csv,
ng,4,concurrency,200,27,362,111,623.0,360.0,37.18,21.49,1008.4,2001.0,2001.7,5901.8,7279.0,7683.4,0.9466,0.9514,ng_concurrency200_run4.csv,
ng,5,concurrency,200,28,354,118,602.0,320.0,36.81,19.56,1008.3,1967.4,2001.6,4816.9,6522.5,8009.6,0.9235,0.9225,ng_concurrency200_run5.csv,
srl,1,concurrency,200,43,358,99,898.0,513.0,54.15,30.94,1006.8,1903.8,1948.7,5830.7,8277.7,9226.8,0.9133,0.9126,srl_concurrency200_run1.csv,
srl,2,concurrency,200,28,357,115,830.0,353.0,52.55,22.35,1006.8,1921.6,1945.4,5020.5,7185.0,8461.5,0.9428,0.9275,srl_concurrency200_run2.csv,
srl,3,concurrency,200,35,361,104,806.0,386.0,52.56,25.17,1007.0,1888.0,1975.4,4657.8,7079.8,9713.0,0.9382,0.9143,srl_concurrency200_run3.csv,
srl,4,concurrency,200,34,350,116,800.0,378.0,52.72,24.91,1006.9,1899.3,1945.4,4558.2,7510.9,9450.0,0.9038,0.9019,srl_concurrency200_run4.csv,
srl,5,concurrency,200,36,358,106,855.0,430.0,52.12,26.21,1007.2,1908.2,1948.9,5677.1,8597.0,9178.4,0.9245,0.913,srl_concurrency200_run5.csv,
sbac,1,concurrency,200,60,400,40,812.0,677.0,58.08,48.42,348.4,1433.2,1955.3,3718.8,6071.4,7967.0,0.9312,0.8725,sbac_concurrency200_run1.csv,
sbac,2,concurrency,200,49,418,33,731.0,586.0,51.17,41.02,256.2,1392.0,2000.8,3552.2,6197.8,7789.9,0.9488,0.8453,sbac_concurrency200_run2.csv,
sbac,3,concurrency,200,60,412,28,769.0,644.0,55.67,46.62,435.6,1460.0,2000.6,4099.2,6118.2,7249.5,0.9389,0.9019,sbac_concurrency200_run3.csv,
sbac,4,concurrency,200,65,400,35,774.0,637.0,57.41,47.25,443.0,1422.4,1978.0,3630.6,5968.4,7495.6,0.921,0.8665,sbac_concurrency200_run4.csv,
sbac,5,concurrency,200,53,409,38,727.0,594.0,53.98,44.1,305.3,1410.6,2001.2,3504.6,5783.1,6667.2,0.9358,0.8871,sbac_concurrency200_run5.csv,
plangate_full,1,concurrency,200,68,432,0,686.0,686.0,56.0,56.0,4.1,811.9,1132.0,1267.2,3525.9,4946.0,0.9204,0.6752,plangate_full_concurrency200_run1.csv,
plangate_full,2,concurrency,200,77,423,0,775.0,775.0,63.58,63.58,4.8,869.2,1091.3,1872.6,3967.7,4162.7,0.9249,0.7371,plangate_full_concurrency200_run2.csv,
plangate_full,3,concurrency,200,77,423,0,689.0,689.0,61.31,61.31,4.2,864.2,1019.1,1323.0,3225.6,3781.7,0.9325,0.722,plangate_full_concurrency200_run3.csv,
plangate_full,4,concurrency,200,73,427,0,717.0,717.0,59.89,59.89,4.1,920.7,1427.0,2023.7,4467.3,5230.1,0.9262,0.691,plangate_full_concurrency200_run4.csv,
plangate_full,5,concurrency,200,96,404,0,852.0,852.0,61.52,61.52,6.9,822.0,970.0,1222.8,3376.5,3841.3,0.903,0.6732,plangate_full_concurrency200_run5.csv,
ng,1,concurrency,400,29,355,116,585.0,308.0,35.94,18.92,1008.4,1998.6,2019.4,4777.9,6415.1,7825.7,0.9325,0.9362,ng_concurrency400_run1.csv,
ng,2,concurrency,400,26,339,135,609.0,321.0,37.06,19.53,1008.2,1963.9,2001.7,5456.2,6622.8,7023.2,0.9405,0.9428,ng_concurrency400_run2.csv,
ng,3,concurrency,400,29,350,121,618.0,326.0,37.9,19.99,1008.4,1988.9,2001.8,5073.8,7606.6,8324.5,0.9272,0.9224,ng_concurrency400_run3.csv,
ng,4,concurrency,400,27,348,125,567.0,290.0,35.47,18.14,1008.3,1975.0,2069.2,4814.2,6833.9,7908.3,0.9266,0.9149,ng_concurrency400_run4.csv,
ng,5,concurrency,400,29,352,119,638.0,348.0,38.03,20.74,1008.2,1987.4,2001.7,5225.8,7193.0,7296.9,0.9242,0.9428,ng_concurrency400_run5.csv,
srl,1,concurrency,400,39,338,123,835.0,419.0,51.52,25.85,1007.0,1882.5,1947.3,4869.4,7412.9,8117.6,0.9125,0.9233,srl_concurrency400_run1.csv,
srl,2,concurrency,400,45,356,99,812.0,452.0,50.51,28.12,1007.0,1902.6,1956.4,4694.3,7764.1,8368.3,0.9282,0.9181,srl_concurrency400_run2.csv,
srl,3,concurrency,400,39,359,102,843.0,459.0,52.12,28.38,1006.8,1894.4,1938.9,5340.3,8102.8,9833.1,0.9155,0.9243,srl_concurrency400_run3.csv,
srl,4,concurrency,400,37,356,107,828.0,414.0,51.03,25.51,1007.2,1880.2,1941.2,4773.5,6890.4,8897.9,0.9248,0.9298,srl_concurrency400_run4.csv,
srl,5,concurrency,400,37,361,102,840.0,452.0,53.9,29.0,1007.4,1907.1,1959.8,5106.2,7379.9,7771.5,0.9336,0.934,srl_concurrency400_run5.csv,
sbac,1,concurrency,400,60,399,41,757.0,607.0,52.73,42.28,275.9,1315.6,2001.1,2825.0,6061.1,6769.4,0.9186,0.8363,sbac_concurrency400_run1.csv,
sbac,2,concurrency,400,60,405,35,761.0,631.0,58.95,48.88,209.5,1297.4,2001.1,2380.0,5686.2,7058.3,0.9284,0.7773,sbac_concurrency400_run2.csv,
sbac,3,concurrency,400,54,406,40,743.0,578.0,51.68,40.2,176.5,1354.1,2001.1,2462.3,4901.5,5875.7,0.9285,0.8289,sbac_concurrency400_run3.csv,
sbac,4,concurrency,400,54,411,35,753.0,612.0,52.26,42.47,256.3,1341.7,2001.1,3053.9,6380.6,7269.4,0.9527,0.8365,sbac_concurrency400_run4.csv,
sbac,5,concurrency,400,56,399,45,735.0,588.0,52.88,42.31,159.9,1319.8,2000.9,2479.2,5038.7,5422.3,0.9377,0.7978,sbac_concurrency400_run5.csv,
plangate_full,1,concurrency,400,65,435,0,651.0,651.0,56.02,56.02,4.0,814.3,1044.9,1733.0,3307.0,4261.1,0.9236,0.7194,plangate_full_concurrency400_run1.csv,
plangate_full,2,concurrency,400,72,428,0,613.0,613.0,47.2,47.2,4.1,809.9,867.7,1135.4,2838.2,3435.4,0.914,0.7144,plangate_full_concurrency400_run2.csv,
plangate_full,3,concurrency,400,78,422,0,758.0,758.0,59.48,59.48,4.3,837.7,964.6,1400.6,3520.5,4335.0,0.9174,0.6964,plangate_full_concurrency400_run3.csv,
plangate_full,4,concurrency,400,92,404,4,832.0,813.0,66.91,65.38,125.9,1279.2,1539.3,2865.1,5570.1,6906.9,0.9181,0.8312,plangate_full_concurrency400_run4.csv,
plangate_full,5,concurrency,400,85,415,0,754.0,754.0,55.6,55.6,4.8,811.5,964.4,1136.2,2903.2,3871.7,0.9196,0.6908,plangate_full_concurrency400_run5.csv,
ng,1,concurrency,600,27,347,126,623.0,335.0,37.46,20.14,1007.7,1990.5,2001.7,5594.2,6712.4,6894.3,0.933,0.9398,ng_concurrency600_run1.csv,
