gateway,run,agents,concurrency,burst_size,burst_gap,max_steps,success,partial,all_rejected,error,cascade_agents,cascade_steps,success_rate,abd_total,eff_gps,agent_tokens,backend_tokens,p50_ms,p95_ms,elapsed_s,http_429_count
ng,1,200,20,30,8.0,15,24,80,96,0,0,143,12.0,76.9,0.06,938416,3433,76463.0,152540.0,1616.6,0
ng,2,200,20,30,8.0,15,16,103,81,0,0,190,8.0,86.6,0.04,981384,3516,65579.0,109356.0,1552.1,0
ng,3,200,20,30,8.0,15,21,95,84,0,0,173,10.5,81.9,0.05,986375,3893,54642.0,100508.0,1568.8,0
ng,4,200,20,30,8.0,15,14,92,94,0,0,168,7.0,86.8,0.03,976720,2637,63804.0,98265.0,1790.5,0
ng,5,200,20,30,8.0,15,16,73,108,0,0,116,8.0,82.0,0.04,883672,4130,68955.0,101496.0,1875.7,0
ng,6,200,20,30,8.0,15,22,108,70,0,178,199,11.0,83.1,0.0,1019551,4041,67250.0,105043.0,1582.9,0
ng,7,200,20,30,8.0,15,27,107,66,0,173,231,13.5,79.9,0.0,1065266,4492,69975.0,110154.0,1569.7,0
rajomon,1,200,20,30,8.0,15,26,105,69,0,0,190,13.0,80.2,0.07,998048,5300,62166.0,111551.0,1551.3,0
pp,1,200,20,30,8.0,15,10,64,126,0,0,128,5.0,86.5,0.02,897496,1898,63578.0,99370.0,1457.4,0
plangate_real,1,200,20,30,8.0,15,13,101,86,0,0,193,6.5,88.6,0.03,994195,3014,75383.0,120343.0,1731.3,0
plangate_real,2,200,20,30,8.0,15,19,67,114,0,0,138,9.5,77.9,0.04,930944,1969,76471.0,109925.0,1507.5,0
plangate_real,3,200,20,30,8.0,15,20,75,105,0,0,140,10.0,78.9,0.05,930075,4011,64044.0,109662.0,1444.4,0
plangate_real,4,200,20,30,8.0,15,10,66,124,0,0,112,5.0,86.8,0.02,905752,3803,63146.0,92323.0,1801.4,0
plangate_real,5,200,20,30,8.0,15,9,75,116,0,0,135,4.5,89.3,0.01,900212,1129,55434.0,116234.0,1668.7,0
plangate_real,6,200,20,30,8.0,15,18,72,110,0,182,130,9.0,80.0,0.0,918333,3154,69315.0,120246.0,1423.4,0
plangate_real,7,200,20,30,8.0,15,24,73,103,0,176,152,12.0,75.3,0.0,935357,4944,68934.0,108619.0,1406.3,0
