benchmark,ns_per_op,us_per_op,b_per_op,allocs_per_op
BenchmarkDAGValidation_5Steps,1738.0,1.738,112.0,7.0
BenchmarkDAGValidation_10Steps,10422.0,10.422,1928.0,26.0
BenchmarkDAGValidation_20Steps,24063.0,24.063,5544.0,52.0
BenchmarkPriceComputation_Quadratic,0.358,0.000358,0.0,0.0
BenchmarkPriceComputation_SunkCostFull,0.4004,0.0004004,0.0,0.0
BenchmarkSessionLookup_BudgetReservation,331.8,0.3318,21.0,1.0
BenchmarkSessionLookup_ReactSession,332.9,0.3329,21.0,1.0
BenchmarkFullAdmission_PlanAndSolve,42075.0,42.075,7929.0,63.0
BenchmarkPSAdmission_5Step,40409.0,40.409,7929.0,63.0
BenchmarkFullAdmission_ReActFirstStep,10978.0,10.978,1569.0,31.0
BenchmarkHTTPOverhead_Initialize,13506.0,13.506,7309.0,29.0
BenchmarkHTTPOverhead_ToolsList,13919.0,13.919,7309.0,29.0
BenchmarkHTTPOverhead_ToolsCall_ReAct,15811.0,15.811,7307.0,32.0
BenchmarkHTTPOverhead_Ping,14097.0,14.097,7293.0,29.0
BenchmarkConcurrentSessionLookup,21.53,0.02153,23.0,1.0
BenchmarkConcurrentBudgetReservationLookup,21.12,0.02112,23.0,1.0
BenchmarkGovernanceIntensity,21.02,0.02102,0.0,0.0
