session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-cdba2755,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1022.08,1779362337.989642,1779362339.011854
sess-0001-33dca3e9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.40,1779362338.021763,1779362339.034437
sess-0002-e31ef78d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.16,1779362338.175406,1779362339.187742
sess-0003-ec92cfd4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1013.33,1779362338.251266,1779362339.264753
sess-0005-3845f137,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.83,1779362338.312599,1779362339.331555
sess-0006-e83583b3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1017.80,1779362338.328861,1779362339.346826
sess-0007-8817044c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.39,1779362338.343511,1779362339.362170
sess-0010-b6588ce8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1007.42,1779362338.587284,1779362339.594816
sess-0011-27a89679,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1007.01,1779362338.588390,1779362339.595521
sess-0013-d66c7214,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.22,1779362338.879136,1779362339.899629
sess-0014-881f56b2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.35,1779362338.894472,1779362339.915053
sess-0015-e691bfb6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.21,1779362338.909959,1779362339.930419
sess-0016-40e176b3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.09,1779362338.925249,1779362339.945574
sess-0019-d882fe58,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1006.64,1779362339.031701,1779362340.038573
sess-0022-901a1666,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.97,1779362339.140070,1779362340.159239
sess-0024-07683624,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1017.48,1779362339.201269,1779362340.218890
sess-0025-c048eb10,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.83,1779362339.246903,1779362340.265832
sess-0026-b085d594,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.28,1779362339.330717,1779362340.342189
sess-0027-d077485b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.87,1779362339.346059,1779362340.358091
