session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-602d28c3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.49,1779363475.546418,1779363475.549014
sess-0001-48fa9da8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.45,1779363475.576056,1779363475.577633
sess-0004-b209b208,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.46,1779363475.869673,1779363475.873377
sess-0007-86f8a66b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.27,1779363475.900324,1779363475.903883
sess-0008-47a88774,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.35,1779363476.008435,1779363476.009889
sess-0010-ef61ad32,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.88,1779363476.131693,1779363476.136816
sess-0011-d60371ff,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.89,1779363476.134439,1779363476.138545
sess-0005-7e2c9a2c,plan_and_solve,SUCCESS,5,500,5.0,5.0,327.59,1779363475.884745,1779363476.212959
sess-0015-239f64c0,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.65,1779363476.437682,1779363476.441556
sess-0016-0d57feda,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.14,1779363476.453537,1779363476.455919
sess-0017-c38d1bbb,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.82,1779363476.483628,1779363476.485673
sess-0019-d873aec1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.95,1779363476.560030,1779363476.564229
sess-0002-386cf288,plan_and_solve,SUCCESS,5,500,9.0,9.0,1432.21,1779363475.732105,1779363477.164859
sess-0022-5bcf3832,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.29,1779363477.164891,1779363477.166267
sess-0023-07a48942,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.74,1779363477.166292,1779363477.168181
sess-0024-d6104ffb,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.74,1779363477.168258,1779363477.170210
sess-0025-6a1af3ed,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.52,1779363477.170269,1779363477.171998
sess-0026-9d1f8570,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.44,1779363477.172060,1779363477.173641
sess-0027-b8b3770d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.89,1779363477.173663,1779363477.174623
sess-0028-0b261b31,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.80,1779363477.174643,1779363477.175513
sess-0029-b3d450f3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.93,1779363477.175534,1779363477.176534
sess-0030-aeb0b032,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.75,1779363477.176553,1779363477.177372
sess-0031-afe97e6d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.82,1779363477.177390,1779363477.178269
sess-0032-d63d55a5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.87,1779363477.178287,1779363477.179220
sess-0033-7e20ce62,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.91,1779363477.179241,1779363477.180225
sess-0034-c14d896a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.03,1779363477.193561,1779363477.194670
sess-0003-054c7ebe,plan_and_solve,SUCCESS,5,500,9.0,9.0,1535.58,1779363475.808668,1779363477.344934
sess-0035-0e23fd43,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.80,1779363477.369793,1779363477.371759
sess-0036-12064a95,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.77,1779363477.466721,1779363477.468708
sess-0038-563e5f15,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.89,1779363477.513261,1779363477.515401
sess-0006-43cf2b1f,plan_and_solve,SUCCESS,5,500,9.0,9.0,2977.74,1779363475.896113,1779363478.874384
sess-0018-e70cef3d,plan_and_solve,SUCCESS,5,500,5.0,5.0,2448.57,1779363476.529610,1779363478.978923
sess-0041-caaa9ebe,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.14,1779363478.978995,1779363478.981343
sess-0042-53b4bfa5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.83,1779363478.981412,1779363478.983438
sess-0020-63c975be,plan_and_solve,SUCCESS,5,500,5.0,5.0,2466.47,1779363476.589953,1779363479.057316
sess-0012-0e17acc3,plan_and_solve,SUCCESS,5,500,9.0,9.0,2762.55,1779363476.314021,1779363479.077172
sess-0009-77d4eff7,plan_and_solve,SUCCESS,5,500,13.0,13.0,3142.15,1779363476.057984,1779363479.200669
sess-0046-4cb6adc3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.72,1779363479.200753,1779363479.202634
sess-0047-d26ecb97,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.25,1779363479.202659,1779363479.203988
sess-0013-03dee223,plan_and_solve,SUCCESS,5,500,9.0,9.0,3020.12,1779363476.406029,1779363479.426935
sess-0049-9e153f76,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.09,1779363479.427007,1779363479.429330
sess-0050-68f212ce,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1779363479.429398,1779363479.431439
sess-0021-b172d885,plan_and_solve,SUCCESS,5,500,5.0,5.0,2983.82,1779363476.640259,1779363479.624737
sess-0052-bc4c8d50,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.32,1779363479.624810,1779363479.627348
sess-0053-4389f71b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.01,1779363479.627412,1779363479.629628
sess-0054-24757298,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.91,1779363479.629686,1779363479.631803
sess-0055-3786769b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.92,1779363479.631867,1779363479.633997
sess-0014-8e62e893,plan_and_solve,SUCCESS,5,500,9.0,9.0,3398.31,1779363476.422245,1779363479.821315
sess-0057-22fec361,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.88,1779363479.821390,1779363479.823504
sess-0058-7c8b0411,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1779363479.823668,1779363479.825730
sess-0040-b128e50d,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1439.05,1779363478.874583,1779363480.313969
sess-0060-b38e98a6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1779363480.314041,1779363480.316098
sess-0037-630720da,plan_and_solve,SUCCESS,5,500,5.0,5.0,3125.47,1779363477.497569,1779363480.623816
sess-0062-e132395d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.17,1779363480.623896,1779363480.626288
sess-0039-5943c79e,plan_and_solve,SUCCESS,5,500,5.0,5.0,3244.14,1779363477.575635,1779363480.820616
sess-0064-8811f8b8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.35,1779363480.820800,1779363480.823369
sess-0065-e0218385,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.15,1779363480.823436,1779363480.825811
sess-0066-9aea8a47,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.03,1779363480.825876,1779363480.828107
sess-0067-a21e483a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.07,1779363480.828165,1779363480.830448
sess-0068-6459cf24,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.94,1779363480.830510,1779363480.832663
sess-0044-2acc5386,plan_and_solve,SUCCESS,5,500,5.0,5.0,2936.14,1779363479.057389,1779363481.994249
sess-0045-d7de9faf,plan_and_solve,SUCCESS,5,500,5.0,5.0,3239.19,1779363479.077232,1779363482.317128
sess-0071-a10874de,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.02,1779363482.317205,1779363482.319436
sess-0051-ef8cdcfc,plan_and_solve,SUCCESS,5,500,5.0,5.0,2932.37,1779363479.431507,1779363482.364639
sess-0073-6be85b85,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.21,1779363482.364716,1779363482.367135
sess-0074-819286ee,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1779363482.367207,1779363482.369271
sess-0043-d3d734ae,plan_and_solve,SUCCESS,5,500,9.0,9.0,3632.53,1779363478.983487,1779363482.616674
sess-0076-398adb40,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.82,1779363482.616709,1779363482.617619
sess-0077-54a1d8e6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.86,1779363482.617654,1779363482.618604
sess-0056-aa8e67b0,plan_and_solve,SUCCESS,5,500,5.0,5.0,3175.91,1779363479.634054,1779363482.810669
sess-0079-431244ee,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.05,1779363482.810744,1779363482.813035
sess-0059-f187c91b,plan_and_solve,SUCCESS,5,500,9.0,9.0,3386.60,1779363479.825806,1779363483.213076
sess-0081-50e0eafa,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.49,1779363483.213148,1779363483.214855
sess-0069-5deb85e9,plan_and_solve,SUCCESS,5,500,5.0,5.0,2901.11,1779363480.832731,1779363483.734390
sess-0083-3e2a6923,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.35,1779363483.734464,1779363483.737055
