session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0006-cb134ac5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.28,1779363824.544695,1779363824.546089
sess-0007-bbe68034,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.57,1779363824.559175,1779363824.559839
sess-0001-34a73d55,plan_and_solve,SUCCESS,5,500,5.0,5.0,321.43,1779363824.239047,1779363824.560879
sess-0009-def725c1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.75,1779363824.726391,1779363824.728357
sess-0010-46eed7e3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.54,1779363824.802139,1779363824.805929
sess-0011-5fbfece3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.93,1779363824.803500,1779363824.807660
sess-0005-d9cfaf8d,plan_and_solve,SUCCESS,5,500,5.0,5.0,321.76,1779363824.528811,1779363824.851099
sess-0000-ecd8677b,plan_and_solve,SUCCESS,5,500,9.0,9.0,821.26,1779363824.208807,1779363825.030481
sess-0014-cc63cf83,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.01,1779363825.097332,1779363825.099557
sess-0015-33c34252,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.36,1779363825.112084,1779363825.113621
sess-0016-cde5488c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.73,1779363825.127504,1779363825.129469
sess-0017-c44f0f3e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.01,1779363825.158621,1779363825.160887
sess-0018-bca150ef,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.97,1779363825.204016,1779363825.206236
sess-0019-b463fc48,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.03,1779363825.235039,1779363825.237330
sess-0020-9a2e1c32,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.83,1779363825.265416,1779363825.267465
sess-0021-fac598ed,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.75,1779363825.325950,1779363825.327933
sess-0022-62346657,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.02,1779363825.340929,1779363825.343199
sess-0023-b831b7e8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1779363825.371378,1779363825.373470
sess-0024-dbd149cc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.50,1779363825.397918,1779363825.399643
sess-0025-d9563be4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1779363825.432429,1779363825.434513
sess-0003-fd6ffee7,plan_and_solve,SUCCESS,5,500,9.0,9.0,976.13,1779363824.466530,1779363825.443208
sess-0004-ca635e3a,plan_and_solve,SUCCESS,5,500,9.0,9.0,976.45,1779363824.514126,1779363825.491205
sess-0028-a24f9a53,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.08,1779363825.582197,1779363825.583465
sess-0029-6fd8a4cd,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.76,1779363825.628168,1779363825.630149
sess-0030-d7194c4d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.47,1779363825.631185,1779363825.632833
sess-0031-1fc8744a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.62,1779363825.683469,1779363825.684170
sess-0032-ebe2f397,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.87,1779363825.705072,1779363825.706052
