session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-64e5c7fa,plan_and_solve,SUCCESS,5,500,5.0,5.0,621.01,1779363351.090879,1779363351.712651
sess-0021-b5189053,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.35,1779363352.170769,1779363352.175377
sess-0022-2fdb05be,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.27,1779363352.185722,1779363352.187171
sess-0000-92b84fca,plan_and_solve,SUCCESS,5,500,9.0,9.0,1154.76,1779363351.053692,1779363352.208905
sess-0024-707945d8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.17,1779363352.232520,1779363352.233844
sess-0025-c01f0644,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.98,1779363352.278631,1779363352.279717
sess-0026-8f550df3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.86,1779363352.361621,1779363352.362581
sess-0027-57be1646,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.33,1779363352.376806,1779363352.378317
sess-0028-c357e2ae,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.34,1779363352.422840,1779363352.424361
sess-0029-3af67633,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.92,1779363352.468934,1779363352.469975
sess-0030-a939ef5d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.11,1779363352.483310,1779363352.484589
sess-0031-138e7812,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.30,1779363352.545141,1779363352.546603
sess-0032-d28e0ae9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.43,1779363352.560233,1779363352.561835
sess-0033-2cfb3863,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.60,1779363352.575330,1779363352.577200
sess-0034-073b46ff,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.79,1779363352.728220,1779363352.730238
sess-0035-e7759374,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.85,1779363352.912589,1779363352.914692
sess-0036-07d9b769,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.70,1779363353.004598,1779363353.006538
sess-0037-f8881cbc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.93,1779363353.035704,1779363353.037896
sess-0038-23791eeb,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.79,1779363353.041287,1779363353.044286
sess-0005-7969c040,plan_and_solve,SUCCESS,5,500,5.0,5.0,1663.60,1779363351.391833,1779363353.056022
sess-0040-665ef5ab,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.29,1779363353.144022,1779363353.145493
sess-0041-f7db8a59,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.52,1779363353.160075,1779363353.161827
sess-0042-960f0ce8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.68,1779363353.206088,1779363353.207985
sess-0043-f8dc632c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.32,1779363353.208163,1779363353.209653
sess-0044-3eb40a9b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.82,1779363353.343654,1779363353.345715
sess-0016-b1ccdb95,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,1382.73,1779363351.980107,1779363353.363151
sess-0046-55fa071a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.84,1779363353.420564,1779363353.422658
sess-0047-bb3b927a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.51,1779363353.451099,1779363353.452801
sess-0048-bc040b59,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.65,1779363353.496846,1779363353.498739
sess-0049-f113f1fd,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.38,1779363353.542759,1779363353.544327
