session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-8214021b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.34,1779348121.631311,1779348121.633773
sess-0002-cc7aea72,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.86,1779348121.704388,1779348121.708541
sess-0004-6bde920b,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,17.45,1779348121.765091,1779348121.782960
sess-0006-22d1343a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.46,1779348121.777509,1779348121.783152
sess-0001-09b5f59d,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,159.57,1779348121.642153,1779348121.801985
sess-0008-f954ebc1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.76,1779348121.828967,1779348121.830992
sess-0009-51cc8704,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.72,1779348121.860060,1779348121.861994
sess-0013-7e968e92,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.87,1779348122.015217,1779348122.017341
sess-0015-8ba39a30,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.56,1779348122.037958,1779348122.039751
sess-0016-7677b9c1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.71,1779348122.046947,1779348122.050860
sess-0011-73648df3,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,158.31,1779348121.893210,1779348122.051737
sess-0017-503125ac,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.08,1779348122.061714,1779348122.062953
sess-0018-c15b841f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.66,1779348122.077598,1779348122.079412
sess-0007-b4828b10,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,316.65,1779348121.780622,1779348122.097761
sess-0021-42cbcec4,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.70,1779348122.138685,1779348122.140604
sess-0026-d895aff0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.27,1779348122.246116,1779348122.247517
sess-0019-205d688e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,155.88,1779348122.092639,1779348122.248661
sess-0025-ffab0102,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,49.31,1779348122.200536,1779348122.250062
sess-0028-92977a43,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.90,1779348122.276910,1779348122.277917
sess-0033-b0542d66,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.31,1779348122.384994,1779348122.386393
sess-0034-8c155863,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.63,1779348122.447283,1779348122.449096
sess-0035-531bc042,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.88,1779348122.525490,1779348122.527631
sess-0036-5f9bea33,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.84,1779348122.572137,1779348122.574203
sess-0005-cab9c4b3,plan_and_solve,CASCADE_FAILED,7,500,5.0,0.0,810.17,1779348121.771275,1779348122.581706
sess-0037-4351343b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.95,1779348122.580305,1779348122.583474
sess-0029-892ba098,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,276.94,1779348122.307869,1779348122.585074
sess-0039-b3f61db7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.56,1779348122.618555,1779348122.620305
sess-0040-9ee0b894,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.23,1779348122.633876,1779348122.635199
sess-0041-7d2f20de,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.14,1779348122.649889,1779348122.652215
sess-0043-459be037,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.73,1779348122.666690,1779348122.668658
sess-0003-9d5b8e93,plan_and_solve,CASCADE_FAILED,4,500,6.0,0.0,966.02,1779348121.734259,1779348122.700716
sess-0032-eac3df9c,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,334.34,1779348122.369712,1779348122.704352
sess-0044-24152107,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.64,1779348122.727252,1779348122.729101
sess-0031-4d149479,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,385.85,1779348122.354307,1779348122.740464
sess-0045-819d5fad,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.73,1779348122.738296,1779348122.742220
sess-0042-fb4e36c4,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,78.09,1779348122.665493,1779348122.743930
sess-0046-c186c3f8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.73,1779348122.763271,1779348122.765248
sess-0047-6e5df02b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.67,1779348122.777567,1779348122.779424
sess-0048-a7fd697a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.64,1779348122.794378,1779348122.796259
sess-0049-97dc0c0b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.82,1779348122.825577,1779348122.827644
sess-0050-c41fc426,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.63,1779348122.840538,1779348122.842350
sess-0014-4585e113,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,811.89,1779348122.031086,1779348122.843306
sess-0030-8bdf03c9,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,529.30,1779348122.323180,1779348122.852736
sess-0038-eefbd6e4,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,272.51,1779348122.585261,1779348122.858047
sess-0020-18ebd9b7,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,808.43,1779348122.108085,1779348122.916908
sess-0051-5aca5da7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.59,1779348122.915564,1779348122.917391
sess-0052-c72b7404,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.76,1779348122.947015,1779348122.949020
sess-0023-09e46d66,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,807.40,1779348122.169821,1779348122.977523
sess-0024-8ba771f5,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,808.63,1779348122.185047,1779348122.993971
sess-0053-57bad452,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.02,1779348123.008168,1779348123.009291
sess-0054-4b5b72e3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.07,1779348123.053814,1779348123.054993
sess-0027-4c28cdb8,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,805.44,1779348122.261707,1779348123.067294
sess-0055-0c256450,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.51,1779348123.083936,1779348123.085709
sess-0022-49a0b031,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,966.80,1779348122.154319,1779348123.121539
sess-0056-218a48e0,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,5.39,1779348123.143118,1779348123.148667
sess-0057-d07d1bb2,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.86,1779348123.148057,1779348123.148997
sess-0058-12455764,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.28,1779348123.158192,1779348123.160705
sess-0059-ad0d4fbd,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.44,1779348123.159585,1779348123.161200
sess-0060-38b90cfe,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.00,1779348123.173053,1779348123.174142
sess-0062-ceb6c362,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.21,1779348123.204695,1779348123.206037
sess-0063-5dff988d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.46,1779348123.250521,1779348123.252230
sess-0064-b4042306,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.34,1779348123.265861,1779348123.267439
sess-0067-238f4fba,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.83,1779348123.327124,1779348123.328061
sess-0068-fc907b83,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.38,1779348123.373183,1779348123.374801
sess-0070-815521c3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.95,1779348123.466336,1779348123.468559
sess-0071-82f88b56,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.31,1779348123.497663,1779348123.499112
sess-0073-bcbd45cc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.28,1779348123.513705,1779348123.515192
sess-0010-fb0234a4,plan_and_solve,CASCADE_FAILED,5,500,12.0,0.0,1665.01,1779348121.890727,1779348123.556344
sess-0075-53f4aee2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.30,1779348123.583204,1779348123.584677
sess-0012-b7f80051,plan_and_solve,CASCADE_FAILED,4,500,11.0,0.0,1619.05,1779348121.968627,1779348123.588166
sess-0077-35c0e09e,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,5.66,1779348123.651235,1779348123.657147
sess-0072-35e186c0,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,157.05,1779348123.512532,1779348123.669850
sess-0079-cc5d950f,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,3.20,1779348123.668999,1779348123.672342
sess-0074-7c115480,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,156.70,1779348123.551648,1779348123.708567
sess-0081-72a3345c,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,6.54,1779348123.726384,1779348123.733228
sess-0082-cea3487f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.38,1779348123.756350,1779348123.757943
sess-0083-73497b72,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,7.62,1779348123.771597,1779348123.779622
sess-0084-43a9711e,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.57,1779348123.778260,1779348123.780012
sess-0085-f9a79b87,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1779348123.787229,1779348123.789163
sess-0086-994633fb,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,7.04,1779348123.802440,1779348123.809851
sess-0078-825485a2,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,161.52,1779348123.656671,1779348123.818565
sess-0089-52c32f93,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.86,1779348123.910148,1779348123.912264
sess-0091-83f52c6c,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,7.03,1779348123.941365,1779348123.948786
sess-0092-1a8a259b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.82,1779348123.971480,1779348123.973561
sess-0061-e9d5d1b3,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,807.87,1779348123.188884,1779348123.997170
sess-0093-92ddf94b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.77,1779348124.001633,1779348124.003640
sess-0094-89615326,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1779348124.033396,1779348124.035731
sess-0095-e52024a1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.34,1779348124.064270,1779348124.066881
sess-0096-5d6bff29,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.83,1779348124.079429,1779348124.081493
sess-0097-35be48ab,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.67,1779348124.110651,1779348124.112565
sess-0066-88205581,plan_and_solve,CASCADE_FAILED,4,500,5.0,0.0,807.34,1779348123.311506,1779348124.119193
sess-0099-e33fd588,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.55,1779348124.127190,1779348124.128947
sess-0100-340dd6bb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.30,1779348124.130982,1779348124.133514
sess-0101-b2b35bd5,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,10.44,1779348124.132118,1779348124.142869
sess-0102-310c1eba,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.82,1779348124.161626,1779348124.163681
sess-0103-474973d2,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,7.72,1779348124.176944,1779348124.185065
sess-0104-1edfd21f,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,7.06,1779348124.192051,1779348124.199445
sess-0105-81015f79,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.85,1779348124.245997,1779348124.248088
sess-0106-1bc419c6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.80,1779348124.261484,1779348124.263566
sess-0107-b78b47e1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.65,1779348124.277554,1779348124.279493
sess-0098-8bf8d23b,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,158.09,1779348124.126049,1779348124.284474
sess-0087-36f69709,plan_and_solve,CASCADE_FAILED,4,500,3.0,0.0,469.53,1779348123.833680,1779348124.303797
sess-0108-9f3a5704,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.85,1779348124.308366,1779348124.310447
sess-0109-abc5de95,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.77,1779348124.323856,1779348124.325845
