session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-092ecf37,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.39,1779348479.166748,1779348479.169246
sess-0001-d1fef918,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.67,1779348479.180223,1779348479.184119
sess-0002-b1fe06dc,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.90,1779348479.255650,1779348479.256669
sess-0005-523cdf10,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.89,1779348479.322525,1779348479.328654
sess-0008-9fa07caf,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.35,1779348479.384528,1779348479.388133
sess-0009-63f9d6a3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.13,1779348479.415465,1779348479.417818
sess-0012-e2ee1abe,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.67,1779348479.519449,1779348479.523365
sess-0013-4665d7d7,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.21,1779348479.564757,1779348479.567148
sess-0016-a026d3dd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.23,1779348479.600298,1779348479.601607
sess-0021-482c14a5,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.23,1779348479.701468,1779348479.704921
sess-0025-460dde14,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.30,1779348479.747925,1779348479.751482
sess-0026-8f40e05a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.64,1779348479.793952,1779348479.795808
sess-0027-9215c362,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.37,1779348479.801625,1779348479.805197
sess-0028-1b405ba9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.41,1779348479.821262,1779348479.822923
