mode,concurrency,run_idx,total_sessions,success,rejected_s0,cascade_failed,abd_pct,success_rate,rejected_s0_rate,semantic_failure_pct,effective_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,gw_lat_mean_us,gw_lat_p95_us,cross_node_session_pct,state_miss_count,duplicate_admission_count,max_global_active_sessions,elapsed_s,gateway_traffic
local_random,20,1,300,17,203,0,0.0,5.666666666666667,67.66666666666667,26.666666666666668,2.0443506321292846,478.49106788635254,2731.6489219665527,2731.6489219665527,925.1359911525951,187618.37414965985,810696.0,26.666666666666668,80,0,4,8.315598964691162,"{""http://127.0.0.1:9602"": 193, ""http://127.0.0.1:9601"": 187}"
local_random,20,2,300,8,207,0,0.0,2.6666666666666665,69.0,28.333333333333332,0.8153648787400318,820.6408023834229,1942.5041675567627,1942.5041675567627,1013.5592222213745,169602.41472868217,805260.0,28.333333333333332,85,0,3,9.811558246612549,"{""http://127.0.0.1:9602"": 190, ""http://127.0.0.1:9601"": 195}"
local_random,20,3,300,7,203,0,0.0,2.3333333333333335,67.66666666666667,30.0,0.875396028510117,1767.8382396697998,3382.8728199005127,3382.8728199005127,1336.0682896205358,202493.0303030303,805073.0,30.0,90,0,4,7.996380805969238,"{""http://127.0.0.1:9601"": 200, ""http://127.0.0.1:9602"": 190}"
local_random,20,4,300,6,207,0,0.0,2.0,69.0,29.0,0.6938605320651087,815.5429363250732,972.2039699554443,972.2039699554443,676.4270861943563,185590.32421875,805087.0,29.0,87,0,3,8.647270917892456,"{""http://127.0.0.1:9602"": 193, ""http://127.0.0.1:9601"": 194}"
local_random,20,5,300,8,207,0,0.0,2.6666666666666665,69.0,28.333333333333332,0.8512994771808807,1774.9669551849365,2429.3320178985596,2429.3320178985596,1217.4066603183746,219740.60456273763,805175.0,28.333333333333332,85,0,3,9.397397994995117,"{""http://127.0.0.1:9602"": 200, ""http://127.0.0.1:9601"": 185}"
local_random,40,1,300,14,196,0,0.0,4.666666666666667,65.33333333333333,30.0,1.6955281823015176,1122.9679584503174,2836.4598751068115,2836.4598751068115,1344.4430487496513,226327.61301369863,821405.0,30.0,90,0,4,8.257014036178589,"{""http://127.0.0.1:9602"": 207, ""http://127.0.0.1:9601"": 183}"
local_random,40,2,300,17,190,0,0.0,5.666666666666667,63.333333333333336,31.0,1.734548721977792,966.080904006958,2426.460027694702,2426.460027694702,945.2273144441492,173483.16504854368,804702.0,31.0,93,0,4,9.800820112228394,"{""http://127.0.0.1:9602"": 201, ""http://127.0.0.1:9601"": 192}"
local_random,40,3,300,13,207,0,0.0,4.333333333333333,69.0,26.666666666666668,1.3236237727078228,982.3989868164062,2589.630126953125,2589.630126953125,1043.1396777813252,189880.48689138578,804884.0,26.666666666666668,80,0,4,9.821521997451782,"{""http://127.0.0.1:9601"": 187, ""http://127.0.0.1:9602"": 193}"
local_random,40,4,300,11,202,0,0.0,3.6666666666666665,67.33333333333333,29.0,1.1418467387645552,1132.5769424438477,2662.5168323516846,2662.5168323516846,1426.2109669772062,234796.87786259543,806142.0,29.0,87,0,5,9.633517026901245,"{""http://127.0.0.1:9602"": 194, ""http://127.0.0.1:9601"": 193}"
local_random,40,5,300,17,197,0,0.0,5.666666666666667,65.66666666666667,28.666666666666668,1.7639555338689648,815.3407573699951,2991.992950439453,2991.992950439453,1013.8580939349006,199818.75577557756,805622.0,28.666666666666668,86,0,5,9.637431144714355,"{""http://127.0.0.1:9601"": 190, ""http://127.0.0.1:9602"": 196}"
local_random,60,1,300,9,208,0,0.0,3.0,69.33333333333333,27.666666666666668,1.0348740093970803,477.3061275482178,1277.7321338653564,1277.7321338653564,676.6890419854058,146815.5114503817,804736.0,27.666666666666668,83,0,2,8.69671082496643,"{""http://127.0.0.1:9601"": 178, ""http://127.0.0.1:9602"": 205}"
local_random,60,2,300,7,201,0,0.0,2.3333333333333335,67.0,30.666666666666668,0.7566870509090953,1122.9479312896729,2084.995985031128,2084.995985031128,1125.7923671177455,184485.1379310345,804917.0,30.666666666666668,92,0,3,9.250852108001709,"{""http://127.0.0.1:9601"": 191, ""http://127.0.0.1:9602"": 201}"
local_random,60,3,300,16,192,0,0.0,5.333333333333333,64.0,30.666666666666668,1.6003773625401383,975.0540256500244,2435.433864593506,2435.433864593506,1029.2789191007614,189547.17586206898,805032.0,30.666666666666668,92,0,4,9.997642040252686,"{""http://127.0.0.1:9601"": 193, ""http://127.0.0.1:9602"": 199}"
local_random,60,4,300,16,204,0,0.0,5.333333333333333,68.0,26.666666666666668,1.6663264681060186,813.7071132659912,1770.474910736084,1770.474910736084,914.7487580776215,213977.2669039146,805120.0,26.666666666666668,80,0,5,9.601959943771362,"{""http://127.0.0.1:9601"": 198, ""http://127.0.0.1:9602"": 182}"
local_random,60,5,300,10,186,0,0.0,3.3333333333333335,62.0,34.666666666666664,1.170144800642869,475.4469394683838,1849.078893661499,1849.078893661499,720.7724332809448,166739.22829581992,805069.0,34.666666666666664,104,0,3,8.545950889587402,"{""http://127.0.0.1:9601"": 191, ""http://127.0.0.1:9602"": 213}"
local_sticky,20,1,300,143,157,0,0.0,47.666666666666664,52.333333333333336,0.0,6.536801591277834,2682.728052139282,4607.510089874268,5141.793966293335,2738.8284973331265,517853.3328912467,1173202.0,0.0,0,0,20,21.876142024993896,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,20,2,300,133,167,0,0.0,44.333333333333336,55.666666666666664,0.0,6.5238768125653825,2702.475070953369,4725.494861602783,5126.220941543579,2706.9406975480847,498512.1847222222,1191291.0,0.0,0,0,20,20.386651039123535,"{""http://127.0.0.1:9602"": 140, ""http://127.0.0.1:9601"": 160}"
local_sticky,20,3,300,145,155,0,0.0,48.333333333333336,51.666666666666664,0.0,7.331630671772474,2428.4980297088623,4519.975900650024,5241.8718338012695,2542.7349600298653,507623.1091160221,1166895.0,0.0,0,0,20,19.777319192886353,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,20,4,300,130,170,0,0.0,43.333333333333336,56.666666666666664,0.0,6.576537095930564,2617.3629760742188,4697.904825210571,5210.190057754517,2659.1225459025454,502353.3848396501,1204806.0,0.0,0,0,20,19.767241954803467,"{""http://127.0.0.1:9601"": 160, ""http://127.0.0.1:9602"": 140}"
local_sticky,20,5,300,115,185,0,0.0,38.333333333333336,61.666666666666664,0.0,6.828195704716372,2498.0201721191406,4608.798980712891,5323.523998260498,2554.7146776448126,481684.99013157893,1180369.0,0.0,0,0,20,16.841930866241455,"{""http://127.0.0.1:9602"": 140, ""http://127.0.0.1:9601"": 160}"
