mode,concurrency,run_idx,n_gateways,routing,use_redis,success,rejected_s0,cascade_failed,effective_goodput_s,raw_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,state_miss_count,dup_admission_count,cross_node_sessions
single,20,1,1,single,False,59,241,0,57.5,57.5,1029.1,3345.4,3724.6,0,0,0
single,20,2,1,single,False,55,245,0,51.71,51.71,972.7,2546.1,3008.3,0,0,0
single,20,3,1,single,False,46,254,0,47.58,47.58,978.3,2885.7,2927.6,0,0,0
single,20,4,1,single,False,55,245,0,48.39,48.39,1241.6,2826.6,3617.6,0,0,0
single,20,5,1,single,False,49,251,0,53.89,53.89,1284.7,3102.0,3863.5,0,0,0
single,40,1,1,single,False,51,249,0,48.08,48.08,968.3,2805.1,2981.2,0,0,0
single,40,2,1,single,False,64,236,0,54.04,54.04,1125.3,2988.0,3941.7,0,0,0
single,40,3,1,single,False,68,232,0,64.72,64.72,2351.8,4731.9,5697.4,0,0,0
single,40,4,1,single,False,59,241,0,56.65,56.65,1768.6,3404.6,4392.5,0,0,0
single,40,5,1,single,False,59,241,0,53.26,53.26,1118.7,2576.4,3544.7,0,0,0
single,60,1,1,single,False,42,258,0,45.32,45.32,1633.9,3223.1,3432.4,0,0,0
single,60,2,1,single,False,67,233,0,66.01,66.01,1312.8,3176.2,3558.7,0,0,0
single,60,3,1,single,False,58,242,0,63.22,63.22,2253.3,3390.3,3944.8,0,0,0
single,60,4,1,single,False,50,250,0,47.54,47.54,1142.3,2967.6,3874.1,0,0,0
single,60,5,1,single,False,62,238,0,63.28,63.28,2153.9,3313.4,3767.8,0,0,0
local_random,20,1,2,random,False,17,203,80,14.78,48.79,478.8,2731.9,2731.9,80,0,80
local_random,20,2,2,random,False,8,207,85,6.42,34.43,820.9,1942.8,1942.8,85,0,85
local_random,20,3,2,random,False,7,203,90,8.25,42.62,1768.1,3383.1,3383.1,90,0,90
local_random,20,4,2,random,False,6,207,87,4.04,40.21,815.7,972.5,972.5,87,0,87
local_random,20,5,2,random,False,8,207,85,7.34,44.35,1775.2,2429.6,2429.6,85,0,85
local_random,40,1,2,random,False,14,196,90,15.25,55.18,1123.2,2836.7,2836.7,90,0,90
local_random,40,2,2,random,False,17,190,93,12.24,43.75,966.2,2426.6,2426.6,93,0,93
local_random,40,3,2,random,False,13,207,80,10.28,37.97,982.6,2589.8,2589.8,80,0,80
local_random,40,4,2,random,False,11,202,87,10.89,43.78,1132.7,2662.8,2662.8,87,0,87
local_random,40,5,2,random,False,17,197,86,13.69,47.4,815.5,2992.3,2992.3,86,0,86
local_random,60,1,2,random,False,9,208,83,5.63,35.06,477.5,1278.0,1278.0,83,0,83
local_random,60,2,2,random,False,7,201,92,6.27,39.43,1123.1,2085.2,2085.2,92,0,92
local_random,60,3,2,random,False,16,192,92,12.5,41.69,975.2,2435.7,2435.7,92,0,92
local_random,60,4,2,random,False,16,204,80,10.93,44.44,813.9,1770.6,1770.6,80,0,80
local_random,60,5,2,random,False,10,186,104,7.37,47.96,475.7,1849.3,1849.3,104,0,104
local_sticky,20,1,2,sticky,False,143,157,0,67.49,67.49,2683.0,4607.7,5141.9,0,0,0
local_sticky,20,2,2,sticky,False,133,167,0,67.57,67.57,2702.6,4725.7,5126.4,0,0,0
local_sticky,20,3,2,sticky,False,145,155,0,70.45,70.45,2428.7,4520.2,5242.1,0,0,0
local_sticky,20,4,2,sticky,False,130,170,0,66.35,66.35,2617.5,4698.2,5210.5,0,0,0
local_sticky,20,5,2,sticky,False,115,185,0,68.01,68.01,2498.3,4609.1,5323.6,0,0,0
local_sticky,40,1,2,sticky,False,72,197,31,47.9,58.28,4119.0,7857.6,8539.1,0,0,0
local_sticky,40,2,2,sticky,False,83,190,27,50.97,60.53,3865.2,6403.8,8395.0,0,0,0
local_sticky,40,3,2,sticky,False,70,195,35,47.07,57.3,5192.8,8575.7,9123.9,0,0,0
local_sticky,40,4,2,sticky,False,68,200,32,49.56,59.48,4349.2,8044.6,8542.6,0,0,0
local_sticky,40,5,2,sticky,False,76,192,32,47.71,58.44,4595.7,8372.9,9306.5,0,0,0
local_sticky,60,1,2,sticky,False,80,219,1,62.3,62.46,3142.4,5691.2,6323.9,0,0,0
local_sticky,60,2,2,sticky,False,56,223,21,47.4,58.63,3834.8,7409.1,8896.5,0,0,0
local_sticky,60,3,2,sticky,False,69,218,13,57.02,62.73,4382.3,7630.3,8545.7,0,0,0
local_sticky,60,4,2,sticky,False,55,230,15,55.1,62.78,3838.8,7020.6,7990.1,0,0,0
local_sticky,60,5,2,sticky,False,68,226,6,56.77,59.4,3021.1,5511.2,6060.0,0,0,0
shared_random,20,1,2,random,True,83,216,1,64.4,64.9,2776.0,4728.7,5760.7,0,0,79
shared_random,20,2,2,random,True,64,236,0,59.75,59.75,2417.8,4472.2,5182.8,0,0,58
shared_random,20,3,2,random,True,73,227,0,61.47,61.47,1792.5,4447.5,5575.4,0,0,60
shared_random,20,4,2,random,True,64,236,0,64.31,64.31,2543.4,4462.3,4983.4,0,0,54
shared_random,20,5,2,random,True,108,192,0,68.3,68.3,2313.1,4919.2,5575.7,0,0,91
shared_random,40,1,2,random,True,61,237,2,60.52,62.31,3284.7,5447.8,6645.8,0,0,57
shared_random,40,2,2,random,True,72,226,2,61.02,62.5,2393.6,5282.5,6606.4,0,0,64
shared_random,40,3,2,random,True,56,243,1,61.23,62.38,3874.6,5641.5,7198.6,0,0,52
shared_random,40,4,2,random,True,71,227,2,63.65,65.46,2514.3,4619.2,5241.7,0,0,62
shared_random,40,5,2,random,True,72,228,0,63.09,63.09,3903.4,5677.1,7107.0,0,0,61
shared_random,60,1,2,random,True,58,241,1,64.39,64.71,3474.4,5993.5,6952.1,0,0,52
