mode,concurrency,n_runs,success_mean,success_std,rejected_s0_mean,rejected_s0_rate_mean,cascade_failed_mean,abd_pct_mean,abd_pct_std,success_rate_mean,success_rate_std,semantic_failure_pct_mean,effective_goodput_s_mean,effective_goodput_s_std,e2e_p50_ms_mean,e2e_p95_ms_mean,e2e_p99_ms_mean,gw_lat_mean_us_mean,gw_lat_p95_us_mean,cross_node_session_pct_mean,max_global_active_sessions_mean,state_miss_total,dup_admission_total
local_random,20,5,9.2,4.44,205.4,68.47,0.0,0.0,0.0,3.07,1.48,28.47,1.056,0.557,1131.5,2291.7,2291.7,193008.9,806258.2,28.47,3.0,427,0
local_random,40,5,14.4,2.61,198.4,66.13,0.0,0.0,0.0,4.8,0.87,29.07,1.532,0.282,1003.9,2701.4,2701.4,204861.4,808551.0,29.07,4.0,436,0
local_random,60,5,11.6,4.16,198.2,66.07,0.0,0.0,0.0,3.87,1.39,30.07,1.246,0.385,772.9,1883.5,1883.5,180312.9,804974.8,30.07,3.0,451,0
local_sticky,20,5,133.2,12.01,166.8,55.6,0.0,0.0,0.0,44.4,4.0,0.0,6.759,0.343,2585.8,4631.9,5208.7,501605.4,1183312.6,0.0,20.0,0,0
local_sticky,40,5,73.8,5.93,185.2,61.73,41.0,35.71,4.7,24.6,1.98,0.0,4.763,0.455,4424.1,7850.7,8781.2,859950.5,1786506.4,0.0,40.0,0,0
local_sticky,60,5,65.6,10.36,216.6,72.2,17.8,21.08,13.77,21.87,3.45,0.0,5.361,0.639,3643.7,6652.2,7563.0,672265.7,1604198.4,0.0,43.0,0,0
shared_random,20,5,78.4,18.31,221.4,73.8,0.0,0.0,0.0,26.13,6.1,0.0,6.516,0.607,2368.3,4605.8,5415.4,432138.1,1187088.6,22.8,20.0,0,0
shared_random,40,5,66.4,7.44,232.0,77.33,1.6,2.41,1.38,22.13,2.48,0.0,6.509,0.688,3193.9,5333.5,6559.7,472246.0,1367959.8,19.73,31.0,0,0
shared_random,60,5,66.0,6.12,232.0,77.33,2.0,2.96,1.89,22.0,2.04,0.0,6.096,0.163,3517.6,5934.4,6818.1,495705.4,1422267.6,20.13,31.0,0,0
single,20,5,52.8,5.22,247.2,82.4,0.0,0.0,0.0,17.6,1.74,0.0,5.957,0.578,1101.1,2940.9,3428.1,201540.6,826339.2,0.0,17.0,0,0
single,40,5,60.2,6.38,239.8,79.93,0.0,0.0,0.0,20.07,2.13,0.0,5.854,0.262,1466.4,3301.0,4111.2,255570.1,917362.8,0.0,20.0,0,0
single,60,5,55.8,9.91,244.2,81.4,0.0,0.0,0.0,18.6,3.3,0.0,5.791,0.88,1699.1,3213.9,3715.3,268143.9,939214.2,0.0,20.0,0,0
