session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0015-58f658d3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.25,1779348714.179989,1779348714.183505
sess-0017-3e3c6b93,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.35,1779348714.210010,1779348714.213675
sess-0020-97de593e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.56,1779348714.271213,1779348714.272997
sess-0021-752125b5,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.40,1779348714.296980,1779348714.298600
sess-0022-537659d3,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.69,1779348714.312865,1779348714.314761
sess-0026-287b4429,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.91,1779348714.398309,1779348714.400460
sess-0027-058c9ed2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.79,1779348714.413689,1779348714.415690
sess-0028-a64fc799,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.75,1779348714.429303,1779348714.431278
sess-0029-8a42925b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.96,1779348714.449484,1779348714.453662
sess-0032-906b649c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.64,1779348714.497811,1779348714.499662
sess-0033-e9d84314,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.19,1779348714.499728,1779348714.501051
sess-0034-ff9df807,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.73,1779348714.567350,1779348714.569320
sess-0035-9cd67fc6,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.72,1779348714.649626,1779348714.653628
sess-0036-95a6505d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.05,1779348714.696401,1779348714.698711
sess-0037-a4f969ce,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.20,1779348714.711996,1779348714.714434
sess-0038-e1e7cd27,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.82,1779348714.714636,1779348714.716664
sess-0039-36caec2c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.64,1779348714.741033,1779348714.742906
sess-0040-85729bbf,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.52,1779348714.761105,1779348714.762803
sess-0041-e1e53c84,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.73,1779348714.766122,1779348714.768101
sess-0004-88be5b10,plan_and_solve,SUCCESS,3,500,7.0,7.0,868.44,1779348713.899679,1779348714.768681
sess-0042-78a3145d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.27,1779348714.781436,1779348714.782840
sess-0043-a7801ce1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.31,1779348714.782925,1779348714.784361
sess-0044-7fdaaa91,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.02,1779348714.841604,1779348714.842727
sess-0045-1e0377b5,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.58,1779348714.848018,1779348714.849826
sess-0046-a773d869,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.45,1779348714.872733,1779348714.874368
sess-0047-074ed895,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.04,1779348714.887655,1779348714.888777
sess-0048-0375939d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.41,1779348714.903465,1779348714.905050
sess-0049-c7406d8b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.92,1779348714.920536,1779348714.921564
sess-0050-7ce9fca9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.81,1779348714.929323,1779348714.931231
