session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-d299ebb8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.81,1779347920.115271,1779347920.119368
sess-0003-7c05e4e0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.48,1779347920.143856,1779347920.146592
sess-0005-ae3f4fc7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.06,1779347920.181655,1779347920.184930
sess-0006-867c3066,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.41,1779347920.185122,1779347920.187732
sess-0008-30a5fe3e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.16,1779347920.233846,1779347920.237231
sess-0010-ef54d977,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.76,1779347920.295000,1779347920.299986
sess-0011-be94e28e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.82,1779347920.297720,1779347920.301780
sess-0013-3274ad3e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.15,1779347920.418119,1779347920.420492
sess-0014-0aff4493,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.76,1779347920.433158,1779347920.435161
sess-0015-f9c4ee03,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.72,1779347920.448601,1779347920.450562
sess-0016-b35c0e2a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.78,1779347920.463761,1779347920.465752
sess-0017-95a6b5d1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.80,1779347920.479851,1779347920.481885
sess-0021-55331769,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.65,1779347920.559342,1779347920.563219
sess-0022-887097ba,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.69,1779347920.563394,1779347920.565280
sess-0023-db6bbb46,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.10,1779347920.574585,1779347920.576898
sess-0025-c2a07278,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.49,1779347920.604664,1779347920.608400
sess-0026-183fc160,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.37,1779347920.635968,1779347920.637543
sess-0028-c3006647,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.00,1779347920.666833,1779347920.671032
sess-0007-eaa604a7,plan_and_solve,SUCCESS,4,500,4.0,4.0,483.01,1779347920.187878,1779347920.671443
sess-0029-7e56961f,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.90,1779347920.697289,1779347920.698272
sess-0031-f15f240f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.21,1779347920.719913,1779347920.721242
sess-0032-f8251960,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.85,1779347920.734977,1779347920.737037
sess-0033-43eca2ea,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.79,1779347920.737191,1779347920.739171
sess-0034-9deda246,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.82,1779347920.805553,1779347920.807606
sess-0035-756d3e88,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.99,1779347920.880986,1779347920.883238
sess-0036-c9b6ba3a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.09,1779347920.927855,1779347920.930138
sess-0037-d7b76b56,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.65,1779347920.943345,1779347920.945177
sess-0038-6a0fc2d1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.15,1779347920.958176,1779347920.959422
sess-0039-bbc8e98b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.37,1779347920.988732,1779347920.990245
sess-0004-bc6f8932,plan_and_solve,SUCCESS,3,500,7.0,7.0,818.15,1779347920.173818,1779347920.992377
sess-0040-ef668ceb,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.62,1779347921.004334,1779347921.006095
sess-0041-acb867c5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.14,1779347921.019186,1779347921.020434
sess-0042-c7219871,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.12,1779347921.034615,1779347921.036908
sess-0043-c9709593,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.36,1779347921.035746,1779347921.037276
sess-0044-d1f3f60c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.83,1779347921.094831,1779347921.095765
sess-0045-37ac6d46,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.74,1779347921.109996,1779347921.110829
sess-0046-5217dce0,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.92,1779347921.140432,1779347921.141469
sess-0047-6dee5afd,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.55,1779347921.150676,1779347921.151300
sess-0048-9fced882,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.71,1779347921.171185,1779347921.172014
sess-0049-286f4769,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,0.72,1779347921.201307,1779347921.202112
sess-0050-bccbadaa,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.65,1779347921.216994,1779347921.218853
sess-0051-bd0887fb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.75,1779347921.293767,1779347921.295762
sess-0030-55e9a0d4,plan_and_solve,SUCCESS,5,500,5.0,5.0,611.51,1779347920.698336,1779347921.310292
sess-0018-cfce5faa,plan_and_solve,SUCCESS,4,500,8.0,8.0,822.57,1779347920.495990,1779347921.319042
sess-0052-5e1de385,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.88,1779347921.334063,1779347921.335018
sess-0053-4afea28f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.21,1779347921.396700,1779347921.398028
sess-0024-87b147c0,plan_and_solve,SUCCESS,4,500,8.0,8.0,820.20,1779347920.589539,1779347921.410075
sess-0054-2b0c0564,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.79,1779347921.443572,1779347921.445609
sess-0055-b71c6d37,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.20,1779347921.474306,1779347921.475670
sess-0020-9ba872f6,plan_and_solve,SUCCESS,5,500,9.0,9.0,975.08,1779347920.527421,1779347921.502815
sess-0056-f1e1ea33,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.73,1779347921.535816,1779347921.537771
sess-0057-d9ce7204,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.47,1779347921.537980,1779347921.539676
sess-0058-129ccdaa,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.21,1779347921.551367,1779347921.553811
sess-0059-f7f7c0f4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.51,1779347921.552513,1779347921.554211
sess-0060-5bed7362,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.64,1779347921.566927,1779347921.568819
sess-0061-be87c17e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.76,1779347921.582435,1779347921.584456
sess-0062-90b20186,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.07,1779347921.597683,1779347921.598872
sess-0063-256b8f37,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.24,1779347921.636632,1779347921.638026
sess-0064-7be594b1,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.02,1779347921.658943,1779347921.660053
