session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-10821ff9,plan_and_solve,SUCCESS,3,500,3.0,3.0,471.81,1779291661.437063,1779291661.908877
sess-0007-725ab067,react,SUCCESS,2,500,2.0,2.0,317.11,1779291661.706662,1779291662.024295
sess-0001-4ad5db5f,react,SUCCESS,6,500,10.0,10.0,1141.68,1779291661.133994,1779291662.276293
sess-0016-ee9158f0,react,SUCCESS,1,500,1.0,1.0,98.65,1779291662.699720,1779291662.798481
sess-0012-2fcccb10,react,SUCCESS,4,500,4.0,4.0,484.64,1779291662.466382,1779291662.951710
sess-0009-e113a0d4,plan_and_solve,SUCCESS,5,500,9.0,9.0,980.43,1779291661.996582,1779291662.977106
sess-0003-21e4a9d4,react,SUCCESS,4,500,12.0,12.0,1772.87,1779291661.572777,1779291663.346961
sess-0011-cccbfd5d,plan_and_solve,SUCCESS,3,500,7.0,7.0,1300.75,1779291662.120760,1779291663.421580
sess-0000-0aa62b0f,plan_and_solve,SUCCESS,5,500,17.0,17.0,2516.17,1779291661.074741,1779291663.590909
sess-0010-692b2417,react,SUCCESS,5,500,9.0,9.0,1477.39,1779291662.119217,1779291663.597338
sess-0020-87466256,react,SUCCESS,2,500,2.0,2.0,796.44,1779291662.892884,1779291663.689328
sess-0005-ee1bacdb,plan_and_solve,SUCCESS,6,500,14.0,14.0,2232.02,1779291661.695644,1779291663.928243
sess-0019-dfb65152,react,SUCCESS,2,500,6.0,6.0,1755.45,1779291662.846359,1779291664.601949
sess-0008-3c74ac33,react,SUCCESS,5,500,13.0,13.0,2905.72,1779291661.893637,1779291664.799888
sess-0029-b06bd695,react,SUCCESS,3,500,3.0,3.0,1268.05,1779291663.597338,1779291664.865960
sess-0006-327c2020,plan_and_solve,SUCCESS,6,500,14.0,14.0,3280.10,1779291661.704435,1779291664.984987
sess-0028-c5e3ee94,react,SUCCESS,3,500,7.0,7.0,1635.17,1779291663.590909,1779291665.227040
sess-0004-115ee1f2,react,SUCCESS,7,500,19.0,19.0,3651.35,1779291661.665388,1779291665.318580
sess-0026-33d12db7,react,SUCCESS,7,500,7.0,7.0,2270.79,1779291663.346961,1779291665.618281
sess-0022-94a3ed81,plan_and_solve,SUCCESS,5,500,9.0,9.0,2651.97,1779291662.999634,1779291665.651606
sess-0025-b9d7b18f,plan_and_solve,SUCCESS,6,500,10.0,10.0,2597.74,1779291663.179138,1779291665.777464
sess-0015-54fc8e0c,react,SUCCESS,6,500,14.0,14.0,3164.79,1779291662.675231,1779291665.840020
sess-0027-4ead3a90,plan_and_solve,SUCCESS,5,500,9.0,9.0,2418.76,1779291663.421757,1779291665.841329
sess-0031-de455201,plan_and_solve,SUCCESS,5,500,5.0,5.0,1928.48,1779291663.928243,1779291665.856780
sess-0024-752e2c73,plan_and_solve,SUCCESS,3,500,11.0,11.0,2807.26,1779291663.103281,1779291665.910544
sess-0013-3356b809,plan_and_solve,SUCCESS,5,500,17.0,17.0,3394.12,1779291662.629777,1779291666.023897
sess-0032-de62e7a6,react,SUCCESS,6,500,6.0,6.0,2193.63,1779291664.601949,1779291666.795743
sess-0035-98b7fcd4,react,SUCCESS,5,500,5.0,5.0,1838.26,1779291664.985047,1779291666.824261
