session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-4256f902,react,CASCADE_FAILED,6,500,5.0,0.0,335.70,1779292176.248487,1779292176.585127
sess-0002-5a882475,plan_and_solve,SUCCESS,3,500,3.0,3.0,471.91,1779292176.550709,1779292177.022857
sess-0007-de89cc72,react,SUCCESS,2,500,2.0,2.0,316.73,1779292176.831361,1779292177.148616
sess-0016-377e5f59,react,SUCCESS,1,500,1.0,1.0,100.73,1779292177.830055,1779292177.930781
sess-0009-4e106b9a,plan_and_solve,SUCCESS,5,500,9.0,9.0,977.57,1779292177.125102,1779292178.103909
sess-0012-7cab8871,react,SUCCESS,4,500,4.0,4.0,659.02,1779292177.600364,1779292178.259533
sess-0003-cd360f60,react,SUCCESS,4,500,12.0,12.0,1772.84,1779292176.700487,1779292178.473438
sess-0011-88a981ce,plan_and_solve,SUCCESS,3,500,7.0,7.0,1288.01,1779292177.262803,1779292178.551426
sess-0000-a456d5b5,plan_and_solve,SUCCESS,5,500,17.0,17.0,2522.47,1779292176.191537,1779292178.714714
sess-0010-eaa4cddf,react,SUCCESS,5,500,9.0,9.0,1469.47,1779292177.261661,1779292178.731692
sess-0020-6bade79e,react,SUCCESS,2,500,2.0,2.0,738.87,1779292178.076807,1779292178.815851
sess-0005-b1a87d74,plan_and_solve,SUCCESS,6,500,14.0,14.0,2232.23,1779292176.820980,1779292179.053340
sess-0019-61310a73,react,SUCCESS,2,500,6.0,6.0,1922.45,1779292178.032722,1779292179.955167
sess-0008-86fa4256,react,SUCCESS,5,500,13.0,13.0,2940.44,1779292177.022857,1779292179.964491
sess-0029-c434cfe0,react,SUCCESS,3,500,3.0,3.0,1463.15,1779292178.668927,1779292180.132934
sess-0026-e145ab74,react,CASCADE_FAILED,7,500,3.0,0.0,2242.73,1779292178.473438,1779292180.716169
sess-0006-6a8e22ef,plan_and_solve,SUCCESS,6,500,14.0,14.0,4061.75,1779292176.829194,1779292180.894616
sess-0028-09f59348,react,SUCCESS,3,500,7.0,7.0,2383.74,1779292178.562668,1779292180.946549
sess-0004-b74d5982,react,SUCCESS,7,500,19.0,19.0,4837.69,1779292176.790728,1779292181.628946
sess-0037-015888c5,plan_and_solve,SUCCESS,3,500,7.0,7.0,2050.76,1779292179.639169,1779292181.690081
sess-0024-2e297bb8,plan_and_solve,SUCCESS,3,500,11.0,11.0,3533.64,1779292178.259831,1779292181.793466
sess-0031-91ecf8e6,plan_and_solve,SUCCESS,5,500,5.0,5.0,3462.75,1779292178.738178,1779292182.202137
sess-0027-b499ecb1,plan_and_solve,SUCCESS,5,500,9.0,9.0,4057.54,1779292178.501674,1779292182.559289
sess-0013-7b8ec860,plan_and_solve,SUCCESS,5,500,17.0,17.0,4832.63,1779292177.791707,1779292182.624930
sess-0025-070cf352,plan_and_solve,CASCADE_FAILED,6,500,8.0,0.0,4348.49,1779292178.335552,1779292182.684692
sess-0015-92afee81,react,SUCCESS,6,500,14.0,14.0,4904.81,1779292177.817988,1779292182.722903
sess-0022-6b87ed38,plan_and_solve,SUCCESS,5,500,9.0,9.0,4637.52,1779292178.170094,1779292182.809936
sess-0039-6c82a0ce,react,CASCADE_FAILED,6,500,6.0,0.0,3256.39,1779292179.759911,1779292183.017940
sess-0038-ed42b4db,plan_and_solve,CASCADE_FAILED,4,500,3.0,0.0,3405.70,1779292179.641087,1779292183.046787
sess-0048-af9f07e4,react,SUCCESS,2,500,6.0,6.0,2744.84,1779292180.411506,1779292183.156409
sess-0032-5838370e,react,SUCCESS,6,500,6.0,6.0,4841.64,1779292178.775615,1779292183.618668
sess-0014-858530b1,plan_and_solve,SUCCESS,6,500,18.0,18.0,5859.00,1779292177.799388,1779292183.658414
sess-0054-bc00ee72,react,SUCCESS,2,500,2.0,2.0,2127.42,1779292181.532532,1779292183.659950
sess-0069-618a2ba4,react,SUCCESS,1,500,1.0,1.0,1161.29,1779292182.608957,1779292183.770771
sess-0041-fbf76523,plan_and_solve,SUCCESS,3,500,11.0,11.0,3996.31,1779292179.837603,1779292183.835025
sess-0035-61d92a6e,react,SUCCESS,5,500,5.0,5.0,4605.33,1779292179.411644,1779292184.017614
sess-0070-3a677895,react,SUCCESS,1,500,1.0,1.0,1048.13,1779292183.034035,1779292184.082338
sess-0060-6e5fbb10,react,SUCCESS,2,500,2.0,2.0,2135.27,1779292181.969157,1779292184.104428
sess-0036-e1544c37,react,SUCCESS,5,500,5.0,5.0,4557.38,1779292179.584831,1779292184.142209
sess-0061-e78bd22d,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2246.22,1779292182.030579,1779292184.277374
sess-0043-efacbeaa,react,CASCADE_FAILED,7,500,10.0,0.0,4394.14,1779292179.912447,1779292184.306584
sess-0021-ff409607,plan_and_solve,CASCADE_FAILED,7,500,14.0,0.0,6213.66,1779292178.168539,1779292184.382250
sess-0042-72ee7dc8,react,CASCADE_FAILED,4,500,7.0,0.0,4501.27,1779292179.911010,1779292184.413426
sess-0067-8544b628,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1989.19,1779292182.424310,1779292184.413498
sess-0074-02b75402,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1014.14,1779292183.399382,1779292184.414131
sess-0033-c3c34989,react,CASCADE_FAILED,7,500,9.0,0.0,5712.30,1779292178.776377,1779292184.489347
sess-0051-18bc2653,react,CASCADE_FAILED,7,500,6.0,0.0,3624.76,1779292180.895186,1779292184.519945
sess-0018-6e28dc8e,react,SUCCESS,6,500,18.0,18.0,6553.20,1779292177.973186,1779292184.527606
sess-0076-1a504e73,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.70,1779292183.626658,1779292184.642360
sess-0055-a0177dc2,react,CASCADE_FAILED,4,500,2.0,0.0,3029.30,1779292181.613064,1779292184.642360
sess-0052-60a98a1b,react,CASCADE_FAILED,5,500,6.0,0.0,3654.77,1779292181.032272,1779292184.687565
sess-0077-655b98ec,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.54,1779292183.770851,1779292184.778390
sess-0049-0b56d7ce,react,CASCADE_FAILED,4,500,7.0,0.0,4284.67,1779292180.502080,1779292184.787646
sess-0017-4eaea84e,react,SUCCESS,7,500,19.0,19.0,6953.14,1779292177.882357,1779292184.837681
sess-0046-8038a651,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,4625.31,1779292180.289582,1779292184.914887
sess-0062-a90e1b50,react,CASCADE_FAILED,4,500,5.0,0.0,2883.85,1779292182.076064,1779292184.959909
sess-0058-4c9f2f15,react,SUCCESS,3,500,3.0,3.0,3375.49,1779292181.905909,1779292185.281454
sess-0040-8b13bad9,plan_and_solve,SUCCESS,5,500,9.0,9.0,5737.72,1779292179.835867,1779292185.574158
sess-0023-665cd636,react,SUCCESS,6,500,18.0,18.0,7409.42,1779292178.199119,1779292185.609132
sess-0093-4b9c6852,react,SUCCESS,1,500,1.0,1.0,1048.96,1779292185.031326,1779292186.080814
sess-0050-07f35e67,react,SUCCESS,4,500,12.0,12.0,5665.08,1779292180.531826,1779292186.197090
sess-0064-b8b8a8c1,react,CASCADE_FAILED,5,500,3.0,0.0,4021.23,1779292182.303757,1779292186.325052
sess-0086-82e83cdd,react,SUCCESS,2,500,2.0,2.0,2102.65,1779292184.230114,1779292186.332791
sess-0088-45688e29,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1898.11,1779292184.487595,1779292186.386231
sess-0096-7c9c21fc,react,SUCCESS,1,500,1.0,1.0,1078.78,1779292185.338113,1779292186.416891
sess-0098-3fe9c06b,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1008.09,1779292185.468533,1779292186.476623
sess-0101-1703c936,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.27,1779292185.472396,1779292186.493198
