session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-d63cc361,react,SUCCESS,2,500,2.0,2.0,326.57,1779333615.922616,1779333616.249717
sess-0002-e33f2a80,plan_and_solve,SUCCESS,3,500,3.0,3.0,552.57,1779333615.839561,1779333616.392714
sess-0016-ff7ed77e,react,SUCCESS,1,500,1.0,1.0,426.98,1779333616.163970,1779333616.590946
sess-0001-04c764a4,react,SUCCESS,6,500,10.0,10.0,1189.20,1779333615.766742,1779333616.957210
sess-0020-010ad4a2,react,CASCADE_FAILED,2,500,1.0,0.0,1593.24,1779333616.174339,1779333617.767580
sess-0010-25e05e0d,react,CASCADE_FAILED,5,500,2.0,0.0,1956.02,1779333616.050384,1779333618.007407
sess-0026-295cdeab,react,CASCADE_FAILED,7,500,1.0,0.0,1788.06,1779333616.234195,1779333618.022254
sess-0011-7129b50e,plan_and_solve,SUCCESS,3,500,7.0,7.0,1995.52,1779333616.050920,1779333618.047016
sess-0025-6fbff77c,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1924.40,1779333616.204690,1779333618.129164
sess-0031-ab2c70d5,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1958.08,1779333616.276708,1779333618.235058
sess-0033-6c509594,react,CASCADE_FAILED,7,500,1.0,0.0,1982.87,1779333616.282263,1779333618.265132
sess-0029-177de40a,react,CASCADE_FAILED,3,500,1.0,0.0,2060.12,1779333616.249717,1779333618.309838
sess-0030-557c0c86,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2074.35,1779333616.250880,1779333618.325232
sess-0035-34974d4c,react,CASCADE_FAILED,5,500,1.0,0.0,1898.34,1779333616.427461,1779333618.325805
sess-0009-b8898a6c,plan_and_solve,SUCCESS,5,500,9.0,9.0,2426.01,1779333615.999079,1779333618.426718
sess-0019-01b24c98,react,SUCCESS,2,500,6.0,6.0,2404.62,1779333616.172356,1779333618.576980
sess-0049-0ece09dd,react,CASCADE_FAILED,4,500,1.0,0.0,890.97,1779333618.235058,1779333619.126028
sess-0039-433a90f0,react,CASCADE_FAILED,6,500,6.0,0.0,2687.67,1779333616.517862,1779333619.206090
sess-0057-dcd458de,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.41,1779333619.206090,1779333619.208085
sess-0042-ff8a7051,react,CASCADE_FAILED,4,500,5.0,0.0,2805.82,1779333616.590946,1779333619.396761
sess-0014-159a7630,plan_and_solve,CASCADE_FAILED,6,500,6.0,0.0,3298.12,1779333616.159232,1779333619.457920
sess-0017-81324b0c,react,CASCADE_FAILED,7,500,6.0,0.0,3350.32,1779333616.167066,1779333619.518204
sess-0032-0577d365,react,CASCADE_FAILED,6,500,2.0,0.0,3238.97,1779333616.279235,1779333619.518204
sess-0000-42169dfe,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,3781.88,1779333615.765743,1779333619.547683
sess-0022-e59edc86,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,3390.55,1779333616.201988,1779333619.593107
sess-0038-08a28833,plan_and_solve,CASCADE_FAILED,4,500,2.0,0.0,3145.62,1779333616.477571,1779333619.623739
sess-0012-08976539,react,SUCCESS,4,500,4.0,4.0,3520.45,1779333616.125590,1779333619.648270
sess-0034-d26a5465,react,CASCADE_FAILED,7,500,6.0,0.0,3632.82,1779333616.352339,1779333619.985240
sess-0046-4946fd47,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2038.66,1779333618.022801,1779333620.062046
sess-0047-6624dcbb,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2015.57,1779333618.047582,1779333620.063153
sess-0028-a1587729,react,SUCCESS,3,500,7.0,7.0,3927.20,1779333616.237411,1779333620.164614
sess-0037-515c0584,plan_and_solve,SUCCESS,3,500,7.0,7.0,3772.38,1779333616.474610,1779333620.248158
sess-0044-5c4170d2,react,CASCADE_FAILED,6,500,5.0,0.0,2700.49,1779333617.768135,1779333620.468629
sess-0062-cc9d93c8,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.66,1779333619.518780,1779333620.529961
sess-0024-3163c85f,plan_and_solve,SUCCESS,3,500,11.0,11.0,4341.78,1779333616.203610,1779333620.545935
sess-0003-3aba677a,react,SUCCESS,4,500,12.0,12.0,4673.45,1779333615.884849,1779333620.558975
sess-0065-923aefe8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.38,1779333619.623739,1779333620.635114
sess-0006-8f44cb5a,plan_and_solve,CASCADE_FAILED,6,500,11.0,0.0,4775.64,1779333615.920221,1779333620.696437
sess-0005-34cb32be,plan_and_solve,SUCCESS,6,500,14.0,14.0,4874.24,1779333615.916723,1779333620.791972
sess-0048-be1cedf8,react,SUCCESS,2,500,6.0,6.0,2664.98,1779333618.129164,1779333620.794220
sess-0054-1c92f1fa,react,SUCCESS,2,500,2.0,2.0,2475.40,1779333618.426777,1779333620.902179
sess-0041-b3e9aa9b,plan_and_solve,SUCCESS,3,500,11.0,11.0,4506.07,1779333616.522739,1779333621.029550
sess-0069-0bf7b33b,react,SUCCESS,1,500,1.0,1.0,1060.36,1779333620.063713,1779333621.124075
sess-0070-9e632386,react,SUCCESS,1,500,1.0,1.0,1005.28,1779333620.165200,1779333621.170999
sess-0043-6674cafe,react,CASCADE_FAILED,7,500,10.0,0.0,4722.14,1779333616.957210,1779333621.679882
sess-0060-d90de506,react,CASCADE_FAILED,2,500,1.0,0.0,2222.61,1779333619.457920,1779333621.680529
sess-0077-81f40242,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.42,1779333620.696437,1779333621.710860
sess-0004-4e727d16,react,CASCADE_FAILED,7,500,12.0,0.0,5796.62,1779333615.915378,1779333621.712551
sess-0061-324b3291,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2205.48,1779333619.518204,1779333621.724261
sess-0021-4f8904da,plan_and_solve,CASCADE_FAILED,7,500,8.0,0.0,5582.48,1779333616.201449,1779333621.785242
sess-0063-3fc7b8d4,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2237.92,1779333619.547683,1779333621.786204
sess-0008-9f18d18f,react,SUCCESS,5,500,13.0,13.0,5809.58,1779333615.975538,1779333621.786204
sess-0079-644efa91,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1004.88,1779333620.794220,1779333621.799097
sess-0027-f1dded61,plan_and_solve,CASCADE_FAILED,5,500,8.0,0.0,5639.36,1779333616.235197,1779333621.875098
sess-0066-bc29e7af,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2258.13,1779333619.648270,1779333621.906403
sess-0068-ac51d19c,react,CASCADE_FAILED,4,500,1.0,0.0,1889.14,1779333620.062598,1779333621.951735
sess-0036-1b457759,react,SUCCESS,5,500,5.0,5.0,5698.40,1779333616.472755,1779333622.171677
sess-0013-8c4178e3,plan_and_solve,SUCCESS,5,500,17.0,17.0,6161.84,1779333616.156680,1779333622.318520
sess-0058-9be775bf,react,SUCCESS,3,500,3.0,3.0,3171.86,1779333619.208085,1779333622.379949
sess-0040-c7a317c7,plan_and_solve,SUCCESS,5,500,9.0,9.0,6186.88,1779333616.519938,1779333622.707379
sess-0055-37cd279c,react,SUCCESS,4,500,4.0,4.0,4154.03,1779333618.576980,1779333622.731571
sess-0093-72d118d7,react,SUCCESS,1,500,1.0,1.0,983.21,1779333621.875623,1779333622.858891
sess-0096-f9c31f7b,react,SUCCESS,1,500,1.0,1.0,1003.64,1779333622.172220,1779333623.175856
sess-0098-2accd209,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1006.70,1779333622.379949,1779333623.386644
sess-0015-f64f3a91,react,SUCCESS,6,500,14.0,14.0,7243.11,1779333616.161680,1779333623.405349
sess-0064-b05d3d8a,react,CASCADE_FAILED,5,500,3.0,0.0,3883.19,1779333619.593107,1779333623.476293
sess-0086-c9879c3c,react,SUCCESS,2,500,2.0,2.0,1776.73,1779333621.711439,1779333623.488710
sess-0050-e2fdbea5,react,SUCCESS,4,500,12.0,12.0,5326.18,1779333618.265132,1779333623.591316
sess-0052-a1855ffe,react,CASCADE_FAILED,5,500,11.0,0.0,5652.33,1779333618.325805,1779333623.978139
sess-0059-95363d2f,react,CASCADE_FAILED,4,500,7.0,0.0,4627.14,1779333619.397308,1779333624.024445
sess-0067-fa6017d9,plan_and_solve,CASCADE_FAILED,4,500,3.0,0.0,4113.67,1779333619.985240,1779333624.100041
sess-0018-068fdd98,react,SUCCESS,6,500,18.0,18.0,7956.42,1779333616.170189,1779333624.126659
sess-0023-c099ef6f,react,SUCCESS,6,500,18.0,18.0,7987.26,1779333616.203069,1779333624.190892
sess-0087-38636df0,react,SUCCESS,2,500,6.0,6.0,2579.94,1779333621.712551,1779333624.292492
sess-0104-22f11560,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.39,1779333623.405349,1779333624.417742
sess-0072-99b29962,react,CASCADE_FAILED,4,500,3.0,0.0,3949.68,1779333620.468629,1779333624.418307
sess-0081-6ebf42bc,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,3388.72,1779333621.029550,1779333624.418848
sess-0089-f070b475,react,CASCADE_FAILED,5,500,2.0,0.0,2830.17,1779333621.785242,1779333624.615410
sess-0095-cf9a23ae,react,CASCADE_FAILED,2,500,5.0,0.0,2679.57,1779333621.951735,1779333624.631304
