session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-efa919e3,react,CASCADE_FAILED,6,500,5.0,0.0,328.55,1779333797.426354,1779333797.754908
sess-0007-93beff40,react,SUCCESS,2,500,2.0,2.0,350.36,1779333797.554487,1779333797.905393
sess-0016-c804203e,react,SUCCESS,1,500,1.0,1.0,214.03,1779333797.757010,1779333797.971036
sess-0002-f388f234,plan_and_solve,SUCCESS,3,500,3.0,3.0,1038.86,1779333797.499516,1779333798.539578
sess-0020-0d383195,react,SUCCESS,2,500,2.0,2.0,965.51,1779333797.763652,1779333798.729710
sess-0011-9fc9ac79,plan_and_solve,SUCCESS,3,500,7.0,7.0,1215.60,1779333797.638247,1779333798.854391
sess-0012-369c1951,react,SUCCESS,4,500,4.0,4.0,1251.05,1779333797.710959,1779333798.962011
sess-0009-ba246a73,plan_and_solve,SUCCESS,5,500,9.0,9.0,1758.08,1779333797.596439,1779333799.355058
sess-0019-48372dbf,react,SUCCESS,2,500,6.0,6.0,1802.65,1779333797.761467,1779333799.564116
sess-0003-8106f44a,react,SUCCESS,4,500,12.0,12.0,2626.81,1779333797.545446,1779333800.172260
sess-0005-a27bd2d7,plan_and_solve,SUCCESS,6,500,14.0,14.0,2816.13,1779333797.550088,1779333800.366800
sess-0010-81112cab,react,SUCCESS,5,500,9.0,9.0,2762.71,1779333797.635801,1779333800.399108
sess-0008-69a36e92,react,SUCCESS,5,500,13.0,13.0,3282.48,1779333797.587450,1779333800.869926
sess-0000-13e10ec0,plan_and_solve,SUCCESS,5,500,17.0,17.0,3573.74,1779333797.424698,1779333800.998440
sess-0022-1f5f8c27,plan_and_solve,SUCCESS,5,500,9.0,9.0,3059.45,1779333797.971621,1779333801.031616
sess-0006-6ac44f95,plan_and_solve,SUCCESS,6,500,14.0,14.0,3535.95,1779333797.551829,1779333801.088348
sess-0028-18ee2f13,react,SUCCESS,3,500,7.0,7.0,1783.00,1779333799.564116,1779333801.347791
sess-0024-e9c9254f,plan_and_solve,SUCCESS,3,500,11.0,11.0,2681.24,1779333798.729710,1779333801.412091
sess-0013-f82f7a76,plan_and_solve,SUCCESS,5,500,17.0,17.0,3708.42,1779333797.752198,1779333801.460619
sess-0029-d31bd2c8,react,SUCCESS,3,500,3.0,3.0,1301.53,1779333800.172260,1779333801.474363
sess-0015-80113290,react,SUCCESS,6,500,14.0,14.0,3758.51,1779333797.756396,1779333801.514909
sess-0025-3484135f,plan_and_solve,SUCCESS,6,500,10.0,10.0,2859.26,1779333798.855108,1779333801.714952
sess-0026-6ab829b3,react,SUCCESS,7,500,7.0,7.0,2768.99,1779333798.962011,1779333801.731526
sess-0027-90b0f74b,plan_and_solve,SUCCESS,5,500,9.0,9.0,2714.85,1779333799.355058,1779333802.070467
sess-0004-19ee40bb,react,SUCCESS,7,500,19.0,19.0,4536.91,1779333797.547713,1779333802.084624
sess-0014-ff334f57,plan_and_solve,SUCCESS,6,500,18.0,18.0,4481.80,1779333797.753282,1779333802.235623
sess-0031-3f176374,plan_and_solve,SUCCESS,5,500,5.0,5.0,1850.94,1779333800.399108,1779333802.250592
