session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-1f35481e,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.72,1779335076.282586,1779335076.285301
sess-0002-d3548a0c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.41,1779335076.354163,1779335076.356570
sess-0007-abe1ada5,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,5.13,1779335076.422972,1779335076.429217
sess-0008-edb7fb3d,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.86,1779335076.476271,1779335076.478129
sess-0009-40c9ada5,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.36,1779335076.506393,1779335076.508753
sess-0010-516f72bc,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.35,1779335076.536565,1779335076.540913
sess-0013-3c5c298d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,8.69,1779335076.657174,1779335076.666385
sess-0015-5c2ed3a9,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,9.18,1779335076.662508,1779335076.671842
sess-0016-6ad8ef5b,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,8.28,1779335076.665141,1779335076.673416
sess-0021-fa6f3206,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,8.69,1779335076.702145,1779335076.711362
sess-0022-a8c1f5f2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,9.47,1779335076.703927,1779335076.713919
sess-0023-71dd3e44,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,8.29,1779335076.707004,1779335076.715299
sess-0025-fd292af4,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.09,1779335076.712773,1779335076.715899
sess-0024-49b31ea2,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,6.35,1779335076.709546,1779335076.715899
sess-0026-dd73a560,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.07,1779335076.748108,1779335076.751179
sess-0027-2b0d343c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.00,1779335076.749359,1779335076.752354
sess-0029-b5730a73,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.94,1779335076.775180,1779335076.778122
sess-0030-a8329493,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.35,1779335076.776351,1779335076.778706
sess-0031-593d4393,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.42,1779335076.808462,1779335076.810884
sess-0035-913d05f5,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.39,1779335076.959222,1779335076.961611
sess-0036-b70ac0f6,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.77,1779335077.004014,1779335077.009782
sess-0037-6f62e8a6,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,6.32,1779335077.005189,1779335077.012644
sess-0038-5f595fe0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.85,1779335077.007790,1779335077.012644
sess-0039-75b1dd4b,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.11,1779335077.049243,1779335077.050350
sess-0040-3975f5f8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.07,1779335077.049810,1779335077.050885
sess-0041-3fd0a486,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.06,1779335077.050350,1779335077.051406
sess-0042-6b231357,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.05,1779335077.050885,1779335077.051935
sess-0043-f3de148e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.53,1779335077.051406,1779335077.051935
sess-0046-1309de4f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.74,1779335077.124611,1779335077.127355
sess-0047-0fc8726d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.73,1779335077.125172,1779335077.127906
sess-0048-ab23385c,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.22,1779335077.126268,1779335077.128493
sess-0020-ea78a833,react,SUCCESS,2,500,2.0,2.0,524.23,1779335076.674270,1779335077.198499
sess-0004-4f1721e7,react,CASCADE_FAILED,7,500,5.0,0.0,811.33,1779335076.415548,1779335077.227516
sess-0051-3147a282,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.70,1779335077.226385,1779335077.228083
sess-0052-543bbf98,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.76,1779335077.238525,1779335077.240285
sess-0053-d673175a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.08,1779335077.305387,1779335077.307016
sess-0045-ff9659a5,react,CASCADE_FAILED,7,500,1.0,0.0,267.25,1779335077.095916,1779335077.363716
sess-0055-2ad8c0a2,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.76,1779335077.362510,1779335077.364265
sess-0012-c2023648,react,SUCCESS,4,500,4.0,4.0,770.24,1779335076.612016,1779335077.382392
sess-0049-16005217,react,CASCADE_FAILED,4,500,1.0,0.0,242.22,1779335077.155167,1779335077.397383
sess-0056-cecf33bd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.71,1779335077.426212,1779335077.427921
sess-0057-401b0c3f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.77,1779335077.426798,1779335077.429111
sess-0058-1d588e6f,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.76,1779335077.427350,1779335077.429111
sess-0059-2e8e0b6c,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.77,1779335077.428566,1779335077.430332
sess-0061-f29cbc9c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.14,1779335077.430295,1779335077.431473
