gateway,concurrency,success_mean,rej0_mean,cascade_mean,abd_mean,cascade_admitted_pct_mean,success_sessions_per_s_mean,effective_goodput_s_mean
envoy_approx,20,300.0,0.0,0.0,0.0,0.0,7.230715,70.16204
kong_approx,20,299.0,0.0,1.0,0.333,0.333,7.232264,70.169896
ng,20,293.6667,1.0,5.3333,1.7957,1.7957,6.804361,65.871853
plangate_full,20,37.3333,255.6667,7.0,13.9277,13.9277,6.691642,54.360222
sbac,20,76.0,223.6667,0.3333,0.433,0.433,6.341502,63.720796
srl,20,299.0,0.3333,0.6667,0.223,0.223,7.204836,69.887551
envoy_approx,40,145.6667,40.3333,114.0,43.8763,43.8763,4.73043,40.944627
kong_approx,40,148.0,38.6667,113.3333,43.3437,43.3437,4.75366,41.487613
ng,40,158.6667,37.3333,104.0,39.4723,39.4723,4.908206,43.261473
plangate_full,40,35.0,258.6667,6.3333,13.5887,13.5887,6.26432,55.739939
sbac,40,40.6667,246.6667,12.6667,23.748,23.748,5.271103,56.67439
srl,40,42.6667,236.3333,21.0,32.9483,32.9483,5.750175,48.948486
envoy_approx,80,42.3333,200.3333,57.3333,57.259,57.259,4.458254,35.936107
kong_approx,80,36.6667,192.3333,71.0,65.8083,65.8083,3.567673,28.421807
ng,80,35.3333,199.0,65.6667,64.8613,64.8613,3.533094,29.49066
plangate_full,80,33.6667,258.6667,7.6667,18.3143,18.3143,5.877901,51.805221
sbac,80,44.6667,244.0,11.3333,20.1853,20.1853,6.233584,60.505617
srl,80,45.3333,230.0,24.6667,35.053,35.053,5.601781,46.45879
