timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject,gateway_latency_us
1779333376.086863,sess-0007-24671158,react,SUCCESS,r1,web_fetch,success,160.40,500,12,,2.0,2.0,False,0.0
1779333376.247258,sess-0007-24671158,react,SUCCESS,r2,web_fetch,success,183.04,500,20,,2.0,2.0,False,0.0
1779333376.283877,sess-0016-4051b195,react,SUCCESS,r1,calculate,success,489.47,500,21,,1.0,1.0,False,0.0
1779333376.002944,sess-0002-f88f450a,plan_and_solve,SUCCESS,s1,web_fetch,success,160.66,500,10,,3.0,3.0,False,0.0
1779333376.163609,sess-0002-f88f450a,plan_and_solve,SUCCESS,s2,web_fetch,success,157.55,500,20,,3.0,3.0,False,0.0
1779333376.321159,sess-0002-f88f450a,plan_and_solve,SUCCESS,s3,web_fetch,success,751.20,500,21,,3.0,3.0,False,0.0
1779333375.948270,sess-0001-6e82856c,react,SUCCESS,r1,calculate,success,7.26,500,2,,10.0,10.0,False,0.0
1779333375.955529,sess-0001-6e82856c,react,SUCCESS,r2,web_fetch,success,155.59,500,8,,10.0,10.0,False,0.0
1779333376.111639,sess-0001-6e82856c,react,SUCCESS,r3,calculate,success,5.64,500,9,,10.0,10.0,False,0.0
1779333376.117274,sess-0001-6e82856c,react,SUCCESS,r4,calculate,success,5.01,500,9,,10.0,10.0,False,0.0
1779333376.122282,sess-0001-6e82856c,react,SUCCESS,r5,web_fetch,success,157.92,500,12,,10.0,10.0,False,0.0
1779333376.280284,sess-0001-6e82856c,react,SUCCESS,r6,mock_heavy,success,956.70,500,22,,10.0,10.0,False,0.0
1779333376.430301,sess-0020-b5a82973,react,SUCCESS,r1,calculate,success,506.41,500,22,,2.0,2.0,False,0.0
1779333376.936714,sess-0020-b5a82973,react,SUCCESS,r2,calculate,success,313.47,500,23,,2.0,2.0,False,0.0
1779333376.159436,sess-0011-b2b4d1b2,plan_and_solve,SUCCESS,s1,calculate,success,9.09,500,12,,7.0,7.0,False,0.0
1779333376.169047,sess-0011-b2b4d1b2,plan_and_solve,SUCCESS,s2,mock_heavy,success,881.34,500,22,,7.0,7.0,False,0.0
1779333377.050386,sess-0011-b2b4d1b2,plan_and_solve,SUCCESS,s3,calculate,success,219.79,500,23,,7.0,7.0,False,0.0
1779333376.154846,sess-0009-9cbbb601,plan_and_solve,SUCCESS,s1,calculate,success,10.19,500,12,,9.0,9.0,False,0.0
1779333376.165623,sess-0009-9cbbb601,plan_and_solve,SUCCESS,s2,calculate,success,83.51,500,12,,9.0,9.0,False,0.0
1779333376.249133,sess-0009-9cbbb601,plan_and_solve,SUCCESS,s3,web_fetch,success,226.26,500,21,,9.0,9.0,False,0.0
1779333376.475471,sess-0009-9cbbb601,plan_and_solve,SUCCESS,s4,calculate,success,478.07,500,22,,9.0,9.0,False,0.0
1779333376.953542,sess-0009-9cbbb601,plan_and_solve,SUCCESS,s5,mock_heavy,success,1097.93,500,23,,9.0,9.0,False,0.0
1779333376.244831,sess-0012-c2064303,react,SUCCESS,r1,calculate,success,75.15,500,20,,4.0,4.0,False,0.0
1779333376.319979,sess-0012-c2064303,react,SUCCESS,r2,web_fetch,success,748.03,500,22,,4.0,4.0,False,0.0
1779333377.068007,sess-0012-c2064303,react,SUCCESS,r3,web_fetch,success,368.67,500,24,,4.0,4.0,False,0.0
1779333377.437244,sess-0012-c2064303,react,SUCCESS,r4,web_fetch,success,782.17,500,24,,4.0,4.0,False,0.0
1779333376.292548,sess-0019-c631d5d2,react,SUCCESS,r1,mock_heavy,success,1415.77,500,24,,6.0,6.0,False,0.0
1779333377.708314,sess-0019-c631d5d2,react,SUCCESS,r2,calculate,success,546.09,500,25,,6.0,6.0,False,0.0
1779333376.048502,sess-0003-20a3d348,react,SUCCESS,r1,mock_heavy,success,809.19,500,22,,12.0,12.0,False,0.0
1779333376.857696,sess-0003-20a3d348,react,SUCCESS,r2,web_fetch,success,360.10,500,22,,12.0,12.0,False,0.0
1779333377.218371,sess-0003-20a3d348,react,SUCCESS,r3,calculate,success,123.41,500,24,,12.0,12.0,False,0.0
1779333377.341779,sess-0003-20a3d348,react,SUCCESS,r4,mock_heavy,success,1366.29,500,26,,12.0,12.0,False,0.0
1779333376.081336,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s1,calculate,success,9.73,500,7,,14.0,14.0,False,0.0
1779333376.091590,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s2,calculate,success,6.56,500,8,,14.0,14.0,False,0.0
1779333376.098148,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s3,mock_heavy,success,805.42,500,22,,14.0,14.0,False,0.0
1779333376.903564,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s4,web_fetch,success,387.41,500,24,,14.0,14.0,False,0.0
1779333377.290972,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s5,mock_heavy,success,1279.47,500,26,,14.0,14.0,False,0.0
1779333378.571019,sess-0005-ca27ec1d,plan_and_solve,SUCCESS,s6,web_fetch,success,680.57,500,26,,14.0,14.0,False,0.0
1779333376.157395,sess-0010-3db6b3d2,react,SUCCESS,r1,web_fetch,success,160.26,500,20,,9.0,9.0,False,0.0
1779333376.317650,sess-0010-3db6b3d2,react,SUCCESS,r2,calculate,success,587.95,500,22,,9.0,9.0,False,0.0
