session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-7792d02e,react,SUCCESS,2,500,2.0,2.0,343.61,1779333452.295506,1779333452.639145
sess-0050-a39970a2,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.98,1779333452.967322,1779333452.971301
sess-0016-a7d58e74,react,SUCCESS,1,500,1.0,1.0,488.90,1779333452.491663,1779333452.982107
sess-0051-d1962ed7,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.57,1779333453.044602,1779333453.045199
sess-0052-4f73b5c3,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.07,1779333453.065628,1779333453.066696
sess-0053-b950cca8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.09,1779333453.111084,1779333453.112170
sess-0054-e134a926,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.67,1779333453.165227,1779333453.166902
sess-0055-10d3f0fa,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.75,1779333453.195512,1779333453.197257
sess-0056-6ea2d8c7,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.60,1779333453.254863,1779333453.259048
sess-0057-751561f3,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.03,1779333453.256036,1779333453.259070
sess-0059-55b9318f,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.06,1779333453.259664,1779333453.262728
sess-0058-2046508b,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,7.23,1779333453.257257,1779333453.264490
sess-0060-32b406ef,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.59,1779333453.261553,1779333453.265179
sess-0061-9f84289b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.43,1779333453.263915,1779333453.266343
sess-0062-4f9a0027,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.22,1779333453.265179,1779333453.266923
sess-0002-c030626f,plan_and_solve,SUCCESS,3,500,3.0,3.0,1083.81,1779333452.211018,1779333453.295973
sess-0001-c1ea43af,react,SUCCESS,6,500,10.0,10.0,1144.66,1779333452.155032,1779333453.301845
sess-0064-316fb1fd,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.00,1779333453.302846,1779333453.304847
sess-0065-ab5962cf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.00,1779333453.302846,1779333453.304847
sess-0066-3ecd3f9f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.08,1779333453.330090,1779333453.331170
sess-0067-4ebb850e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.07,1779333453.330638,1779333453.331710
sess-0068-86a520f6,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.10,1779333453.371288,1779333453.372392
sess-0069-bde289d3,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,0.57,1779333453.371825,1779333453.372392
sess-0070-eb3ab9d9,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,0.90,1779333453.445138,1779333453.446034
sess-0071-8efdc619,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.20,1779333453.455195,1779333453.456953
sess-0072-50688d85,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.27,1779333453.455811,1779333453.458076
sess-0073-520d1ef9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.69,1779333453.456953,1779333453.458647
sess-0074-52e66913,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.72,1779333453.495512,1779333453.497233
sess-0075-f69fe481,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.34,1779333453.507771,1779333453.509107
sess-0020-c8102457,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1009.76,1779333452.502660,1779333453.512420
sess-0076-6915a67b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.13,1779333453.555727,1779333453.556907
sess-0077-1884e32e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.02,1779333453.564449,1779333453.568470
sess-0078-efead4a1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.80,1779333453.565865,1779333453.569670
sess-0079-613b3a20,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.26,1779333453.567844,1779333453.572102
sess-0080-b3dee60d,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.00,1779333453.569670,1779333453.572671
sess-0081-28d40fee,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.07,1779333453.616133,1779333453.617205
sess-0082-fe53fec6,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.73,1779333453.636771,1779333453.638502
sess-0083-7df66742,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.29,1779333453.637328,1779333453.639617
sess-0084-c58f14be,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.33,1779333453.637892,1779333453.640227
sess-0085-425f063b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.77,1779333453.639064,1779333453.640837
sess-0086-8830217e,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.22,1779333453.639617,1779333453.640837
sess-0087-25a0b70b,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.76,1779333453.691891,1779333453.694247
sess-0088-c996850b,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.78,1779333453.708979,1779333453.711331
sess-0089-25520eba,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.39,1779333453.751054,1779333453.754440
sess-0090-7dc2a52b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.33,1779333453.751652,1779333453.754991
sess-0091-a0241bb1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.22,1779333453.753316,1779333453.755538
sess-0092-98f0f8ca,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.13,1779333453.783249,1779333453.784937
sess-0093-04f2c507,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.20,1779333453.809685,1779333453.811435
sess-0038-b372f53f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.09,1779333452.807008,1779333453.815096
sess-0094-5ede3c03,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.64,1779333453.815096,1779333453.816732
sess-0095-7193e0aa,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.57,1779333453.858448,1779333453.862017
sess-0096-44c8957f,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.94,1779333453.860346,1779333453.863875
sess-0097-e69f9731,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.12,1779333453.860976,1779333453.865097
sess-0098-94a7287b,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,3.08,1779333453.862594,1779333453.866192
sess-0099-1cd8a1bc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.57,1779333453.864490,1779333453.868586
sess-0100-8cbbd790,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.15,1779333453.866287,1779333453.869586
sess-0101-e4c0eb55,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.11,1779333453.867493,1779333453.869606
sess-0102-3b3c64d9,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.56,1779333453.904096,1779333453.907701
sess-0103-73d78ee1,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.99,1779333453.905332,1779333453.908326
sess-0104-75d4f0bc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.44,1779333453.906507,1779333453.908951
sess-0044-74cf8996,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.58,1779333452.908686,1779333453.921270
sess-0045-575dc64c,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1010.72,1779333452.910547,1779333453.921270
sess-0048-8562938a,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1022.62,1779333452.944223,1779333453.967433
sess-0105-a265bc72,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.43,1779333453.964593,1779333453.968022
sess-0106-04197750,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.42,1779333453.966311,1779333453.969732
sess-0107-00f9e251,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.75,1779333453.968609,1779333453.970354
sess-0049-efa835fa,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1016.44,1779333452.964731,1779333453.981754
sess-0000-fd7fb2df,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1828.72,1779333452.153030,1779333453.981754
sess-0015-fcd590d0,react,CASCADE_FAILED,6,500,1.0,0.0,1490.65,1779333452.490665,1779333453.982316
sess-0009-852aaa8b,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,1653.78,1779333452.328538,1779333453.982316
sess-0109-bc8ede74,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,3.17,1779333454.026165,1779333454.029340
sess-0110-6a6b7a9c,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.63,1779333454.027346,1779333454.029974
sess-0111-8468fa2c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.05,1779333454.028597,1779333454.031740
sess-0112-683c5d78,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.68,1779333454.030504,1779333454.032324
sess-0003-0c57a5f5,react,CASCADE_FAILED,4,500,5.0,0.0,1815.41,1779333452.256364,1779333454.071770
sess-0113-035ca86e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.75,1779333454.072351,1779333454.074096
sess-0005-34dfc86f,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,1826.84,1779333452.288779,1779333454.117326
sess-0114-fd9beae0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.85,1779333454.115479,1779333454.117900
sess-0115-13e620b3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.80,1779333454.124293,1779333454.126090
sess-0116-222eb3d6,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.94,1779333454.176244,1779333454.178180
sess-0117-12a4b689,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.00,1779333454.207283,1779333454.209826
sess-0118-8f389f6a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.00,1779333454.208827,1779333454.209826
sess-0119-c1e6469c,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.62,1779333454.241712,1779333454.243332
sess-0120-9b6f5437,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.10,1779333454.242785,1779333454.243881
sess-0121-64e3271e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.74,1779333454.282486,1779333454.284229
sess-0122-3f995875,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.67,1779333454.341923,1779333454.344115
sess-0123-b04bb64e,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.24,1779333454.341923,1779333454.344159
sess-0124-3ed2977e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.25,1779333454.343025,1779333454.345280
sess-0125-304b70d5,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1.12,1779333454.344159,1779333454.345799
sess-0126-235e7827,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.10,1779333454.344725,1779333454.345826
sess-0011-e4e3dcc8,plan_and_solve,SUCCESS,3,500,7.0,7.0,1983.60,1779333452.371324,1779333454.354922
sess-0026-1768dbd0,react,CASCADE_FAILED,7,500,1.0,0.0,1845.12,1779333452.574571,1779333454.420219
sess-0013-a6a28bc1,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1935.67,1779333452.484663,1779333454.420329
sess-0128-e28ecba4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.50,1779333454.424249,1779333454.427747
sess-0129-96860d7c,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,3.49,1779333454.425443,1779333454.428933
sess-0130-cd7dc1ea,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.51,1779333454.427159,1779333454.430666
sess-0131-a6b60ac0,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.89,1779333454.428933,1779333454.432825
sess-0132-50aa43bb,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.30,1779333454.430666,1779333454.433964
