session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-524500a1,react,SUCCESS,2,500,2.0,2.0,320.13,1779333224.247098,1779333224.567800
sess-0016-c94f98c5,react,SUCCESS,1,500,1.0,1.0,434.32,1779333224.470688,1779333224.905005
sess-0002-b867d522,plan_and_solve,SUCCESS,3,500,3.0,3.0,1051.20,1779333224.161337,1779333225.213069
sess-0001-af999b2e,react,SUCCESS,6,500,10.0,10.0,1217.66,1779333224.079224,1779333225.296885
sess-0020-1c043248,react,SUCCESS,2,500,2.0,2.0,828.80,1779333224.567800,1779333225.396603
sess-0011-27e744fe,plan_and_solve,SUCCESS,3,500,7.0,7.0,1147.59,1779333224.333797,1779333225.482037
sess-0009-22df55cc,plan_and_solve,SUCCESS,5,500,9.0,9.0,1867.67,1779333224.321800,1779333226.191765
sess-0019-7e31ef03,react,SUCCESS,2,500,6.0,6.0,1835.75,1779333224.478909,1779333226.315867
sess-0012-2263a1c8,react,SUCCESS,4,500,4.0,4.0,1951.05,1779333224.407386,1779333226.358536
sess-0003-d9647329,react,SUCCESS,4,500,12.0,12.0,2824.95,1779333224.206765,1779333227.031732
sess-0010-febbb3f5,react,SUCCESS,5,500,9.0,9.0,2900.84,1779333224.331335,1779333227.233784
sess-0005-fd914d8d,plan_and_solve,SUCCESS,6,500,14.0,14.0,3076.78,1779333224.239558,1779333227.317028
sess-0008-64f6ab13,react,SUCCESS,5,500,13.0,13.0,3375.12,1779333224.297454,1779333227.673727
sess-0000-cdf97b8e,plan_and_solve,SUCCESS,5,500,17.0,17.0,3787.78,1779333224.076963,1779333227.865937
sess-0006-cdd0c140,plan_and_solve,SUCCESS,6,500,14.0,14.0,3640.39,1779333224.242136,1779333227.883646
sess-0022-da55d193,plan_and_solve,SUCCESS,5,500,9.0,9.0,2689.05,1779333225.213112,1779333227.902743
sess-0024-2bd53173,plan_and_solve,SUCCESS,3,500,11.0,11.0,2782.77,1779333225.396603,1779333228.179377
sess-0029-f908e053,react,SUCCESS,3,500,3.0,3.0,1171.74,1779333227.031732,1779333228.203472
sess-0015-b63d4a9c,react,SUCCESS,6,500,14.0,14.0,3878.80,1779333224.468059,1779333228.347432
sess-0028-023ea3a9,react,SUCCESS,3,500,7.0,7.0,2027.17,1779333226.358536,1779333228.385765
sess-0013-e607462c,plan_and_solve,SUCCESS,5,500,17.0,17.0,3939.54,1779333224.463460,1779333228.402996
sess-0026-8dca34d2,react,SUCCESS,7,500,7.0,7.0,2356.14,1779333226.191765,1779333228.548433
sess-0004-4200b0ce,react,SUCCESS,7,500,19.0,19.0,4327.83,1779333224.237153,1779333228.564986
sess-0025-856782d6,plan_and_solve,SUCCESS,6,500,10.0,10.0,3135.23,1779333225.482558,1779333228.618957
sess-0014-6126f7a1,plan_and_solve,SUCCESS,6,500,18.0,18.0,4264.58,1779333224.465726,1779333228.730309
sess-0027-b7871955,plan_and_solve,SUCCESS,5,500,9.0,9.0,2425.31,1779333226.315867,1779333228.741176
sess-0018-3fbef074,react,SUCCESS,6,500,18.0,18.0,4501.84,1779333224.475315,1779333228.979988
sess-0031-25bbb9e4,plan_and_solve,SUCCESS,5,500,5.0,5.0,2054.73,1779333227.317606,1779333229.373047
sess-0017-c02485cc,react,SUCCESS,7,500,19.0,19.0,5073.62,1779333224.472437,1779333229.547421
sess-0037-94ba51e7,plan_and_solve,SUCCESS,3,500,7.0,7.0,1369.91,1779333228.204060,1779333229.575096
sess-0035-53a05d96,react,SUCCESS,5,500,5.0,5.0,1690.24,1779333227.903267,1779333229.594034
sess-0021-ba4bbd20,plan_and_solve,SUCCESS,7,500,19.0,19.0,4698.86,1779333224.905005,1779333229.605004
sess-0032-9a74a847,react,SUCCESS,6,500,6.0,6.0,1974.72,1779333227.674250,1779333229.650435
sess-0023-eeeb1dd5,react,SUCCESS,6,500,18.0,18.0,4430.31,1779333225.296885,1779333229.728284
sess-0038-70797fa9,plan_and_solve,SUCCESS,4,500,8.0,8.0,2104.36,1779333228.347432,1779333230.452950
sess-0040-e94bbcc9,plan_and_solve,SUCCESS,5,500,9.0,9.0,2168.12,1779333228.403749,1779333230.572052
sess-0036-fda755b5,react,SUCCESS,5,500,5.0,5.0,2435.71,1779333228.179951,1779333230.616812
sess-0048-6d5e545a,react,SUCCESS,2,500,6.0,6.0,1213.67,1779333229.547421,1779333230.761086
sess-0041-4bad20fa,plan_and_solve,SUCCESS,3,500,11.0,11.0,2381.16,1779333228.548433,1779333230.929593
sess-0054-93e56e06,react,SUCCESS,2,500,2.0,2.0,718.53,1779333230.452950,1779333231.171554
sess-0049-f3eef115,react,SUCCESS,4,500,8.0,8.0,2055.45,1779333229.575096,1779333231.631160
sess-0042-b9f30afe,react,SUCCESS,4,500,12.0,12.0,3331.79,1779333228.564986,1779333231.897547
sess-0055-631e4988,react,SUCCESS,4,500,4.0,4.0,1353.53,1779333230.572052,1779333231.925586
sess-0039-cf25abe4,react,SUCCESS,6,500,14.0,14.0,3569.67,1779333228.385765,1779333231.956028
sess-0033-3a8342e6,react,SUCCESS,7,500,15.0,15.0,4131.61,1779333227.866554,1779333231.998942
sess-0046-ed9369fd,plan_and_solve,SUCCESS,6,500,10.0,10.0,3034.10,1779333228.979988,1779333232.015214
sess-0044-2168a83b,react,SUCCESS,6,500,14.0,14.0,3371.75,1779333228.730309,1779333232.102585
sess-0034-8b65214d,react,SUCCESS,7,500,15.0,15.0,4234.76,1779333227.883646,1779333232.119620
sess-0058-20db695e,react,SUCCESS,3,500,3.0,3.0,1356.55,1779333230.929593,1779333232.286716
sess-0060-293ecabc,react,SUCCESS,2,500,2.0,2.0,854.35,1779333231.631160,1779333232.485508
sess-0045-799829bb,react,SUCCESS,7,500,11.0,11.0,3752.34,1779333228.741176,1779333232.494039
sess-0030-e508ac2f,plan_and_solve,SUCCESS,7,500,19.0,19.0,5273.53,1779333227.233871,1779333232.507402
sess-0047-fd15c70b,plan_and_solve,SUCCESS,6,500,10.0,10.0,3356.18,1779333229.373047,1779333232.729493
sess-0069-66f5b725,react,SUCCESS,1,500,1.0,1.0,368.63,1779333232.485508,1779333232.854133
sess-0070-df0677f2,react,SUCCESS,1,500,1.0,1.0,362.44,1779333232.494039,1779333232.856484
sess-0050-2542ca3e,react,SUCCESS,4,500,12.0,12.0,3316.36,1779333229.594095,1779333232.910460
sess-0052-212d1d32,react,SUCCESS,5,500,13.0,13.0,3305.84,1779333229.650435,1779333232.958036
sess-0056-44abf768,plan_and_solve,SUCCESS,4,500,12.0,12.0,2708.35,1779333230.616812,1779333233.326060
sess-0059-0467080a,react,SUCCESS,4,500,8.0,8.0,2526.23,1779333231.171554,1779333233.697966
sess-0065-2ef9f8ea,plan_and_solve,SUCCESS,5,500,5.0,5.0,1782.68,1779333232.015214,1779333233.798415
sess-0043-ceb4c116,react,SUCCESS,7,500,19.0,19.0,5195.94,1779333228.618980,1779333233.815445
sess-0064-8e10a45d,react,SUCCESS,5,500,9.0,9.0,1977.99,1779333231.998942,1779333233.977199
sess-0072-2f9bffea,react,SUCCESS,4,500,4.0,4.0,1266.06,1779333232.729493,1779333233.996078
sess-0068-361c2adc,react,SUCCESS,4,500,8.0,8.0,1754.98,1779333232.286716,1779333234.041692
sess-0062-22f651b3,react,SUCCESS,4,500,8.0,8.0,2427.00,1779333231.925586,1779333234.352625
sess-0067-1b8e0f8e,plan_and_solve,SUCCESS,4,500,8.0,8.0,2366.87,1779333232.119620,1779333234.486488
sess-0053-749c0514,plan_and_solve,SUCCESS,6,500,22.0,22.0,4783.36,1779333229.728902,1779333234.512929
sess-0063-29db9928,plan_and_solve,SUCCESS,5,500,9.0,9.0,2564.05,1779333231.956028,1779333234.520218
sess-0057-af6649f8,plan_and_solve,SUCCESS,6,500,14.0,14.0,3879.51,1779333230.761086,1779333234.641710
sess-0051-27bce8cf,react,SUCCESS,7,500,23.0,23.0,5049.64,1779333229.605004,1779333234.655974
sess-0061-bfa11847,plan_and_solve,SUCCESS,6,500,10.0,10.0,3079.91,1779333231.897547,1779333234.978350
sess-0086-e54c9181,react,SUCCESS,2,500,2.0,2.0,481.22,1779333234.512929,1779333234.994146
sess-0066-20715837,plan_and_solve,SUCCESS,6,500,6.0,6.0,3042.30,1779333232.102585,1779333235.144884
sess-0081-0f98cf8e,plan_and_solve,SUCCESS,3,500,3.0,3.0,1364.37,1779333233.977199,1779333235.342093
sess-0076-41ec8b47,react,SUCCESS,4,500,8.0,8.0,2564.17,1779333232.958076,1779333235.522835
sess-0077-611574ba,plan_and_solve,SUCCESS,4,500,8.0,8.0,2250.34,1779333233.326060,1779333235.576981
sess-0073-134f7723,plan_and_solve,SUCCESS,4,500,12.0,12.0,2835.00,1779333232.854133,1779333235.690310
sess-0071-ad799444,react,SUCCESS,6,500,10.0,10.0,3236.38,1779333232.507402,1779333235.744351
sess-0087-128c6a8b,react,SUCCESS,2,500,6.0,6.0,1276.67,1779333234.520218,1779333235.796956
sess-0093-dfd4e0d5,react,SUCCESS,1,500,1.0,1.0,467.12,1779333235.342093,1779333235.809217
sess-0082-04e900f6,react,SUCCESS,3,500,7.0,7.0,1849.80,1779333233.996078,1779333235.847020
sess-0080-ee987306,react,SUCCESS,4,500,8.0,8.0,2163.02,1779333233.815445,1779333235.979690
sess-0096-f9f50e43,react,SUCCESS,1,500,1.0,1.0,305.03,1779333235.690310,1779333235.995338
sess-0092-77d5009d,react,SUCCESS,3,500,3.0,3.0,1050.07,1779333235.144884,1779333236.195738
sess-0075-88d0606c,plan_and_solve,SUCCESS,5,500,13.0,13.0,3413.99,1779333232.910460,1779333236.325017
sess-0084-cfbe1628,plan_and_solve,SUCCESS,4,500,8.0,8.0,2150.70,1779333234.353176,1779333236.503872
sess-0078-2ec37968,plan_and_solve,SUCCESS,5,500,9.0,9.0,2927.40,1779333233.697966,1779333236.626435
sess-0083-d6d4612d,react,SUCCESS,5,500,9.0,9.0,2686.90,1779333234.042214,1779333236.729166
sess-0090-83c47eda,plan_and_solve,SUCCESS,3,500,7.0,7.0,1784.16,1779333234.978350,1779333236.762569
sess-0098-31d07429,react,SUCCESS,1,500,5.0,5.0,1011.40,1779333235.796956,1779333236.808354
sess-0089-7abea1f4,react,SUCCESS,5,500,9.0,9.0,2664.29,1779333234.655974,1779333237.321383
sess-0109-8b21c010,react,SUCCESS,1,500,1.0,1.0,669.49,1779333236.808354,1779333237.477839
sess-0095-21229385,react,SUCCESS,2,500,10.0,10.0,2049.02,1779333235.576981,1779333237.626600
sess-0088-ce353c32,plan_and_solve,SUCCESS,4,500,12.0,12.0,3030.03,1779333234.641848,1779333237.672660
sess-0094-4790d9fa,react,SUCCESS,5,500,5.0,5.0,2272.42,1779333235.522835,1779333237.795319
sess-0074-b44aba0d,plan_and_solve,SUCCESS,7,500,19.0,19.0,4938.56,1779333232.856484,1779333237.795319
sess-0099-cb58b5db,plan_and_solve,SUCCESS,4,500,8.0,8.0,2271.85,1779333235.809217,1779333238.081961
sess-0079-4b629719,react,SUCCESS,7,500,15.0,15.0,4356.46,1779333233.798415,1779333238.155503
sess-0108-3c604392,react,SUCCESS,4,500,4.0,4.0,1766.39,1779333236.762569,1779333238.529536
sess-0091-808388dd,plan_and_solve,SUCCESS,7,500,11.0,11.0,3647.60,1779333234.994726,1779333238.643659
sess-0116-6a179f0f,react,SUCCESS,2,500,2.0,2.0,595.59,1779333238.082111,1779333238.677743
sess-0111-d62e11ff,plan_and_solve,SUCCESS,4,500,4.0,4.0,1216.00,1779333237.477839,1779333238.694430
sess-0100-f52e2a9e,plan_and_solve,SUCCESS,6,500,10.0,10.0,2954.62,1779333235.847020,1779333238.801668
sess-0107-94619b19,plan_and_solve,SUCCESS,4,500,8.0,8.0,2100.61,1779333236.729166,1779333238.831508
sess-0085-5e50ac43,plan_and_solve,SUCCESS,6,500,22.0,22.0,4575.70,1779333234.486488,1779333239.064315
sess-0123-2eb19bda,react,SUCCESS,1,500,1.0,1.0,511.46,1779333238.831508,1779333239.343044
sess-0105-e0bbc8c2,react,SUCCESS,5,500,9.0,9.0,2851.04,1779333236.504398,1779333239.357228
sess-0106-add16a3e,plan_and_solve,SUCCESS,6,500,10.0,10.0,3013.04,1779333236.626502,1779333239.641262
sess-0119-bf41a431,react,SUCCESS,1,500,5.0,5.0,1019.57,1779333238.643659,1779333239.663753
sess-0102-71efb740,react,SUCCESS,7,500,11.0,11.0,3683.22,1779333235.995338,1779333239.680231
sess-0122-ad889ef9,react,SUCCESS,2,500,2.0,2.0,1030.09,1779333238.801668,1779333239.831822
sess-0125-2a6d46ca,react,SUCCESS,1,500,1.0,1.0,493.64,1779333239.343044,1779333239.837254
sess-0097-4381e4ce,react,SUCCESS,7,500,15.0,15.0,4231.91,1779333235.744351,1779333239.976851
sess-0104-8197e542,plan_and_solve,SUCCESS,5,500,17.0,17.0,3682.49,1779333236.325017,1779333240.008174
sess-0110-98b88587,react,SUCCESS,6,500,10.0,10.0,3034.99,1779333237.321383,1779333240.356971
