session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-a48230af,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.68,1779337540.378981,1779337540.380729
sess-0003-e5f648e0,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.35,1779337540.471520,1779337540.475030
sess-0004-526cacd5,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.51,1779337540.501198,1779337540.502775
sess-0005-2ac10bbb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.44,1779337540.516600,1779337540.518310
sess-0008-e5d5e36a,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.83,1779337540.592389,1779337540.596363
sess-0010-de32d416,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.53,1779337540.652499,1779337540.656131
sess-0012-12cc76a1,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.04,1779337540.727229,1779337540.728344
sess-0014-e96e2235,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.81,1779337540.787350,1779337540.790293
sess-0016-82a39b50,react,SUCCESS,1,500,1.0,1.0,4.44,1779337540.802882,1779337540.807426
sess-0017-aab6ed4a,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.17,1779337540.817554,1779337540.818794
sess-0018-eb4937fb,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.83,1779337540.847528,1779337540.849493
sess-0007-e8a6f702,react,SUCCESS,2,500,2.0,2.0,311.22,1779337540.546904,1779337540.858322
sess-0020-daedaba0,react,SUCCESS,2,500,2.0,2.0,9.12,1779337540.878363,1779337540.887703
sess-0002-9c8e76cc,plan_and_solve,SUCCESS,3,500,3.0,3.0,465.42,1779337540.440936,1779337540.906750
sess-0021-43250cfd,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.64,1779337540.906939,1779337540.908798
sess-0022-bfd00005,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.38,1779337540.923851,1779337540.925381
sess-0023-5a78c5ce,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.63,1779337540.939122,1779337540.940855
sess-0025-00e697bf,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.70,1779337540.968840,1779337540.970767
sess-0026-20761fb1,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.38,1779337541.014771,1779337541.016241
sess-0027-f8c9986f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.65,1779337541.030495,1779337541.032415
sess-0028-2ec70ddf,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.81,1779337541.059955,1779337541.060814
sess-0029-66b0a191,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,0.77,1779337541.090299,1779337541.091123
sess-0030-c352a435,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.23,1779337541.105551,1779337541.106894
sess-0032-eec799af,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.38,1779337541.141666,1779337541.143094
sess-0034-b269aeee,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.14,1779337541.210704,1779337541.213960
sess-0037-ddb66c7d,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.37,1779337541.345302,1779337541.346768
sess-0038-d4ffb7e9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,0.96,1779337541.359953,1779337541.361001
