session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-e570a7d6,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.66,1779336814.393532,1779336814.395188
sess-0004-ec50f247,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,9.70,1779336814.497332,1779336814.507027
sess-0005-9fb1aef6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,9.85,1779336814.499225,1779336814.509078
sess-0006-cf6ee973,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,7.77,1779336814.502344,1779336814.510848
sess-0007-3736be38,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,5.36,1779336814.505606,1779336814.510971
sess-0008-9d5e7594,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.05,1779336814.557407,1779336814.559453
sess-0010-31f03599,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.51,1779336814.596068,1779336814.598582
sess-0013-df89ad34,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.10,1779336814.722977,1779336814.727078
sess-0014-4888d045,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,6.97,1779336814.724178,1779336814.731144
sess-0016-fdf75239,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,3.44,1779336814.728262,1779336814.731704
sess-0015-1df52cbe,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,6.88,1779336814.725921,1779336814.732939
sess-0018-8f7a6299,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.77,1779336814.732278,1779336814.735053
sess-0017-43fd1c32,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.58,1779336814.730024,1779336814.735608
sess-0019-41e57854,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.50,1779336814.733767,1779336814.736269
sess-0020-492e4d02,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.85,1779336814.734422,1779336814.736269
sess-0023-6866e03b,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.23,1779336814.759817,1779336814.764045
sess-0024-cb480e15,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.22,1779336814.761000,1779336814.765219
sess-0026-d25acfa1,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.77,1779336814.766986,1779336814.770756
sess-0029-d142473e,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.07,1779336814.781257,1779336814.782862
sess-0030-41e53ee9,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.92,1779336814.781791,1779336814.783815
sess-0031-d4ea8099,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.63,1779336814.814066,1779336814.815727
sess-0033-ac2035e6,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.63,1779336814.814637,1779336814.816262
sess-0002-24cfde73,plan_and_solve,SUCCESS,3,500,3.0,3.0,467.66,1779336814.466806,1779336814.934567
sess-0035-6b222588,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.08,1779336814.965342,1779336814.966423
sess-0037-178d7866,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.64,1779336815.011914,1779336815.015144
sess-0038-175a305e,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.52,1779336815.013106,1779336815.017624
sess-0039-773f1b40,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.97,1779336815.015862,1779336815.018832
sess-0041-7a5811e1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.80,1779336815.018188,1779336815.021991
sess-0040-9271337e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.54,1779336815.016450,1779336815.021991
sess-0042-68e3442b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.58,1779336815.020035,1779336815.022612
sess-0044-0e11b987,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.53,1779336815.070590,1779336815.072121
sess-0045-dfe9c832,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.50,1779336815.071623,1779336815.072121
sess-0046-aed2aa84,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.22,1779336815.082270,1779336815.084489
sess-0047-1c5944f8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.69,1779336815.083365,1779336815.085055
sess-0048-8f5d681b,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.12,1779336815.083935,1779336815.085055
