session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-eef4e9e8,plan_and_solve,SUCCESS,3,500,3.0,3.0,472.41,1779290744.517521,1779290744.989933
sess-0007-decc58d6,react,SUCCESS,2,500,2.0,2.0,316.94,1779290744.786444,1779290745.103386
sess-0001-97091aab,react,SUCCESS,6,500,10.0,10.0,1141.34,1779290744.216166,1779290745.358057
sess-0016-e66a6042,react,SUCCESS,1,500,1.0,1.0,97.39,1779290745.784902,1779290745.882292
sess-0009-2cc47675,plan_and_solve,SUCCESS,5,500,9.0,9.0,972.21,1779290745.077665,1779290746.049870
sess-0012-ff4b68ad,react,SUCCESS,4,500,4.0,4.0,805.02,1779290745.555415,1779290746.362371
sess-0003-24575bd7,react,SUCCESS,4,500,12.0,12.0,1776.60,1779290744.655207,1779290746.431809
sess-0011-42078a9c,plan_and_solve,SUCCESS,3,500,7.0,7.0,1225.05,1779290745.213826,1779290746.439963
sess-0000-026e8777,plan_and_solve,SUCCESS,5,500,17.0,17.0,2514.60,1779290744.156272,1779290746.671997
sess-0010-4d81b0d4,react,SUCCESS,5,500,9.0,9.0,1479.48,1779290745.212698,1779290746.693290
sess-0020-64f31781,react,SUCCESS,2,500,2.0,2.0,736.23,1779290746.027986,1779290746.764214
sess-0005-9c7310ba,plan_and_solve,SUCCESS,6,500,14.0,14.0,2191.26,1779290744.775065,1779290746.969162
sess-0008-3e7ac6fb,react,SUCCESS,5,500,13.0,13.0,2900.33,1779290744.971238,1779290747.871570
sess-0019-40ed13d1,react,SUCCESS,2,500,6.0,6.0,1905.38,1779290745.985494,1779290747.891461
sess-0029-7b3b9ff3,react,SUCCESS,3,500,3.0,3.0,1598.61,1779290746.583232,1779290748.181845
sess-0027-70dbe2e5,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,1812.19,1779290746.439963,1779290748.253298
sess-0028-95039554,react,SUCCESS,3,500,7.0,7.0,2259.03,1779290746.513465,1779290748.772490
sess-0006-243e8db1,plan_and_solve,SUCCESS,6,500,14.0,14.0,3998.31,1779290744.784107,1779290748.783854
sess-0024-9108aa48,plan_and_solve,SUCCESS,3,500,11.0,11.0,3409.18,1779290746.206913,1779290749.616695
sess-0004-381537a9,react,SUCCESS,7,500,19.0,19.0,4873.53,1779290744.745544,1779290749.619602
sess-0031-2ba96001,plan_and_solve,SUCCESS,5,500,5.0,5.0,3219.06,1779290746.671997,1779290749.891061
sess-0013-f5200554,plan_and_solve,SUCCESS,5,500,17.0,17.0,4499.73,1779290745.718758,1779290750.219402
sess-0015-de1fb6ea,react,SUCCESS,6,500,14.0,14.0,4840.02,1779290745.780826,1779290750.622010
sess-0037-953c8e9f,plan_and_solve,SUCCESS,3,500,7.0,7.0,3117.05,1779290747.543749,1779290750.660804
sess-0022-b3a4179d,plan_and_solve,SUCCESS,5,500,9.0,9.0,4679.17,1779290746.122838,1779290750.802011
sess-0048-f8bae9df,react,SUCCESS,2,500,6.0,6.0,2731.04,1779290748.341657,1779290751.072702
sess-0026-bb5ff15b,react,SUCCESS,7,500,7.0,7.0,4738.40,1779290746.432365,1779290751.171313
sess-0054-8e39cecb,react,SUCCESS,2,500,2.0,2.0,2010.30,1779290749.449235,1779290751.459540
sess-0041-7feb21c1,plan_and_solve,SUCCESS,3,500,11.0,11.0,3810.73,1779290747.724673,1779290751.535405
sess-0025-607a4938,plan_and_solve,SUCCESS,6,500,10.0,10.0,5260.20,1779290746.286512,1779290751.546714
sess-0032-0a2e1884,react,SUCCESS,6,500,6.0,6.0,4881.09,1779290746.690780,1779290751.572401
sess-0014-19ce27ca,plan_and_solve,SUCCESS,6,500,18.0,18.0,5823.06,1779290745.755739,1779290751.582088
sess-0038-8e63089a,plan_and_solve,SUCCESS,4,500,8.0,8.0,4235.79,1779290747.545387,1779290751.782464
sess-0035-354f0ec6,react,SUCCESS,5,500,5.0,5.0,4657.54,1779290747.316561,1779290751.974227
sess-0036-cc8b0b4b,react,SUCCESS,5,500,5.0,5.0,4553.61,1779290747.494915,1779290752.050356
sess-0060-de1915e1,react,SUCCESS,2,500,2.0,2.0,2164.81,1779290749.891061,1779290752.057162
sess-0040-32a4f682,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,4529.94,1779290747.722690,1779290752.252630
sess-0021-2f1c2b3a,plan_and_solve,CASCADE_FAILED,7,500,14.0,0.0,6145.12,1779290746.121450,1779290752.267682
sess-0018-9c275e57,react,SUCCESS,6,500,18.0,18.0,6530.28,1779290745.925217,1779290752.456717
