session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-233cc274,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.56,1779297743.148402,1779297743.152965
sess-0003-06157704,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.73,1779297743.288364,1779297743.291098
sess-0005-159cef7b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.25,1779297743.426309,1779297743.430562
sess-0006-59a00af6,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.65,1779297743.457063,1779297743.460745
sess-0007-488bc544,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.77,1779297743.458126,1779297743.461899
sess-0001-3260f35a,react,SUCCESS,6,500,10.0,10.0,1141.35,1779297742.841870,1779297743.983804
sess-0011-e1574c17,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120126.32,1779297743.899318,1779297864.025642
sess-0010-e439a298,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120128.66,1779297743.896984,1779297864.026202
sess-0004-fd5cf75e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120630.31,1779297743.395892,1779297864.026202
sess-0009-92aa900b,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,120248.77,1779297743.777433,1779297864.026202
sess-0008-292bde77,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120354.85,1779297743.671353,1779297864.026727
sess-0016-d007e7bf,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,120536.75,1779297744.504309,1779297865.041063
sess-0019-0d9c0152,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,120356.65,1779297744.684887,1779297865.041632
sess-0018-62bacbdb,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120402.89,1779297744.638643,1779297865.041632
sess-0017-b7fea7ad,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120491.44,1779297744.550188,1779297865.041632
sess-0015-daf7c976,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120565.55,1779297744.476078,1779297865.042154
sess-0014-0999f92d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,120595.81,1779297744.446153,1779297865.042194
sess-0013-5315934b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120628.54,1779297744.413652,1779297865.042194
sess-0000-6b2cc26f,plan_and_solve,CASCADE_FAILED,5,500,12.0,0.0,122257.96,1779297742.783676,1779297865.042194
sess-0012-1848a70b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,120795.24,1779297744.247473,1779297865.042752
sess-0024-e1b9ac04,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120130.86,1779297744.911700,1779297865.042752
sess-0025-e953878d,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,120054.63,1779297744.988126,1779297865.042752
sess-0023-4bb9e79f,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120191.26,1779297744.851493,1779297865.042752
sess-0022-53c53c0d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120219.18,1779297744.824131,1779297865.043308
sess-0020-fbff7927,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,120328.61,1779297744.714698,1779297865.043308
sess-0021-bb14c71b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,120221.69,1779297744.821620,1779297865.043308
sess-0033-09f60be6,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120545.93,1779297745.485759,1779297866.031689
sess-0030-109d5a04,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,120657.60,1779297745.375113,1779297866.032708
sess-0028-7c2f787d,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,120764.96,1779297745.267750,1779297866.032708
sess-0031-4034de1f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120551.41,1779297745.481193,1779297866.032708
sess-0032-66b3018e,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120549.31,1779297745.483969,1779297866.033281
sess-0029-c5e0c408,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,120659.34,1779297745.373892,1779297866.033281
sess-0027-ba709e86,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120841.76,1779297745.191318,1779297866.033281
sess-0034-3aed7637,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120237.76,1779297745.795467,1779297866.033281
sess-0026-1ee9dfdd,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120873.38,1779297745.160432,1779297866.033856
sess-0038-25c3114c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,120679.13,1779297746.352013,1779297867.032231
sess-0041-c40372df,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120477.38,1779297746.554852,1779297867.032762
sess-0042-d66fa32c,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,120403.03,1779297746.629790,1779297867.032822
sess-0045-c67039f0,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120096.69,1779297746.936094,1779297867.032822
