timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject,gateway_latency_us
1779295924.860554,sess-0001-e63dbc6e,react,REJECTED_AT_STEP_0,r1,calculate,rejected,4.38,500,,,0.0,0.0,False,0.0
1779295925.179931,sess-0002-09ac7d96,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,rejected,2.91,500,,,0.0,0.0,False,0.0
1779295925.316774,sess-0003-0b88f1cf,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,0.79,500,,,0.0,0.0,False,0.0
1779295925.452908,sess-0005-1f6d08a3,plan_and_solve,REJECTED_AT_STEP_0,s1,calculate,rejected,3.73,500,,,0.0,0.0,False,0.0
1779295925.695324,sess-0008-587ee51b,react,REJECTED_AT_STEP_0,r1,mock_heavy,rejected,1.58,500,,,0.0,0.0,False,0.0
1779295925.484596,sess-0007-8764554c,react,SUCCESS,r1,web_fetch,success,157.52,500,0,,2.0,2.0,False,153943.0
1779295925.642115,sess-0007-8764554c,react,SUCCESS,r2,web_fetch,success,155.61,500,50,,2.0,2.0,False,154441.0
1779295925.423089,sess-0004-8d027917,react,REJECTED_AT_STEP_0,r1,mock_heavy,error,120614.52,500,,,0.0,0.0,False,0.0
1779295925.938344,sess-0011-d4d123f2,plan_and_solve,REJECTED_AT_STEP_0,s1,calculate,error,120099.27,500,,,0.0,0.0,False,0.0
1779295925.936489,sess-0010-29747225,react,REJECTED_AT_STEP_0,r1,web_fetch,error,120101.12,500,,,0.0,0.0,False,0.0
1779295925.797727,sess-0009-75dec005,plan_and_solve,CASCADE_FAILED,s1,calculate,success,5.51,500,50,,3.0,0.0,False,3969.0
1779295925.803241,sess-0009-75dec005,plan_and_solve,CASCADE_FAILED,s2,calculate,success,4.48,500,50,,3.0,0.0,False,3318.0
1779295925.807717,sess-0009-75dec005,plan_and_solve,CASCADE_FAILED,s3,web_fetch,success,155.27,500,50,,3.0,0.0,False,154070.0
1779295925.962985,sess-0009-75dec005,plan_and_solve,CASCADE_FAILED,s4,calculate,error,120074.63,500,,,3.0,0.0,False,0.0
1779295926.723168,sess-0019-d8ac1173,react,REJECTED_AT_STEP_0,r1,mock_heavy,error,120298.69,500,,,0.0,0.0,False,0.0
1779295926.662238,sess-0018-43b0ee2f,react,REJECTED_AT_STEP_0,r1,web_fetch,error,120359.62,500,,,0.0,0.0,False,0.0
1779295926.876274,sess-0022-1a22bc77,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,120146.51,500,,,0.0,0.0,False,0.0
1779295926.873425,sess-0021-ce918568,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,120149.36,500,,,0.0,0.0,False,0.0
1779295926.570874,sess-0017-9f9d2e63,react,REJECTED_AT_STEP_0,r1,mock_heavy,error,120451.91,500,,,0.0,0.0,False,0.0
1779295926.465445,sess-0013-6dfbdca8,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,120557.92,500,,,0.0,0.0,False,0.0
1779295926.525567,sess-0016-fa9180e4,react,REJECTED_AT_STEP_0,r1,calculate,error,120497.80,500,,,0.0,0.0,False,0.0
1779295926.495703,sess-0014-9ee63691,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,120527.66,500,,,0.0,0.0,False,0.0
1779295926.768895,sess-0020-d1145d44,react,REJECTED_AT_STEP_0,r1,calculate,error,120254.47,500,,,0.0,0.0,False,0.0
1779295926.290271,sess-0012-bf843931,react,REJECTED_AT_STEP_0,r1,calculate,error,120733.61,500,,,0.0,0.0,False,0.0
1779295924.801418,sess-0000-07058608,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,807.41,500,0,,12.0,0.0,False,803363.0
1779295925.608831,sess-0000-07058608,plan_and_solve,CASCADE_FAILED,s2,calculate,success,3.72,500,0,,12.0,0.0,False,2034.0
1779295925.612556,sess-0000-07058608,plan_and_solve,CASCADE_FAILED,s3,calculate,success,5.64,500,0,,12.0,0.0,False,3701.0
1779295925.618199,sess-0000-07058608,plan_and_solve,CASCADE_FAILED,s4,mock_heavy,success,805.21,500,0,,12.0,0.0,False,803866.0
1779295926.423974,sess-0000-07058608,plan_and_solve,CASCADE_FAILED,s5,mock_heavy,error,120599.95,500,,,12.0,0.0,False,0.0
1779295925.483415,sess-0006-623d81e0,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,806.21,500,0,,5.0,0.0,False,803980.0
1779295926.289679,sess-0006-623d81e0,plan_and_solve,CASCADE_FAILED,s2,mock_heavy,error,120734.25,500,,,5.0,0.0,False,0.0
1779295926.964438,sess-0024-6a4ec14e,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,120059.49,500,,,0.0,0.0,False,0.0
1779295926.918542,sess-0023-22bf5f18,react,REJECTED_AT_STEP_0,r1,mock_heavy,error,120105.98,500,,,0.0,0.0,False,0.0
1779295926.499242,sess-0015-e05cc383,react,REJECTED_AT_STEP_0,r1,calculate,error,120525.28,500,,,0.0,0.0,False,0.0
1779295927.040012,sess-0025-11d7f29e,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,120994.53,500,,,0.0,0.0,False,0.0
1779296046.043839,sess-0029-dc591ab3,react,REJECTED_AT_STEP_0,r1,web_fetch,error,120981.33,500,,,0.0,0.0,False,0.0
1779296047.026866,sess-0031-7eee8251,plan_and_solve,REJECTED_AT_STEP_0,s1,calculate,error,119998.89,500,,,0.0,0.0,False,0.0
1779296047.025086,sess-0030-efd10d7c,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,120000.67,500,,,0.0,0.0,False,0.0
1779296046.042672,sess-0028-fbdf1c09,react,REJECTED_AT_STEP_0,r1,calculate,error,120983.66,500,,,0.0,0.0,False,0.0
