gateway,concurrency,runs,success_mean,success_std,partial_mean,rej0_mean,cascade_mean,cascade_steps_mean,abd_mean,cascade_admitted_pct_mean,abd_ci95,cascade_admitted_pct_ci95,effective_goodput_s_mean,effective_goodput_s_std,effective_goodput_s_ci95,p95_success_s_mean,p95_success_s_std,p95_success_s_ci95
envoy_approx,20,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.236567,0.053453,0.132795,4.825507,0.031956,0.079389
envoy_approx,40,3,180.6667,7.5719,0.0,35.6667,83.6667,203.6667,31.6637,31.6637,5.782,5.782,47.184595,1.241327,3.083876,8.243963,0.206241,0.512372
envoy_approx,80,3,178.3333,7.0238,0.0,42.6667,79.0,193.0,30.709,30.709,5.5798,5.5798,48.239238,2.274463,5.650534,7.901623,0.214095,0.531883
kong_approx,20,3,299.0,0.0,0.0,0.0,1.0,5.0,0.333,0.333,0.0,0.0,69.021404,0.117373,0.291594,4.753063,0.050662,0.125862
kong_approx,40,3,176.0,2.6458,0.0,37.0,87.0,216.3333,33.0793,33.0793,1.3784,1.3784,46.012479,0.552484,1.372558,8.32702,0.522565,1.298227
kong_approx,80,3,175.6667,11.0151,0.0,36.6667,87.6667,218.6667,33.3227,33.3227,7.9074,7.9074,46.952915,1.662049,4.129093,7.90147,0.320487,0.796199
ng,20,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.458043,0.011048,0.027447,4.76601,0.077834,0.193366
ng,40,3,171.0,5.0,0.0,32.3333,96.6667,248.0,36.0897,36.0897,6.2129,6.2129,44.693523,1.037406,2.577268,8.190553,0.293996,0.730385
ng,80,3,178.0,9.5394,0.0,41.6667,80.3333,213.6667,31.063,31.063,10.956,10.956,46.565421,3.010123,7.478163,7.903647,0.160253,0.398123
plangate_full,20,3,1.3333,0.5774,0.0,296.0,2.6667,7.0,66.6667,66.6667,35.8583,35.8583,0.001967,0.000901,0.002237,0.366563,0.089185,0.221565
plangate_full,40,3,1.3333,0.5774,0.0,296.3333,2.3333,6.0,63.889,63.889,31.6242,31.6242,0.00668,0.004764,0.011836,0.589597,0.477833,1.187099
plangate_full,80,3,1.6667,0.5774,0.0,296.3333,2.0,4.0,53.3333,53.3333,43.8204,43.8204,0.03168,0.006276,0.015592,0.640137,0.290565,0.721863
sbac,20,3,111.6667,1.5275,0.0,188.0,0.3333,1.6667,0.2923,0.2923,1.2579,1.2579,37.407927,0.678901,1.686619,4.356863,0.124339,0.308899
sbac,40,3,93.6667,1.5275,0.0,200.6667,5.6667,18.0,5.6023,5.6023,8.243,8.243,30.629047,1.09142,2.711456,6.664777,0.102142,0.253755
sbac,80,3,100.0,2.6458,0.0,197.3333,2.6667,8.0,2.5787,2.5787,2.5736,2.5736,33.158089,1.572831,3.907445,6.605547,0.413689,1.027744
srl,20,3,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.301851,0.051777,0.128631,4.862193,0.08384,0.208287
srl,40,3,237.0,3.6056,0.0,60.3333,2.6667,7.6667,1.1123,1.1123,1.1937,1.1937,69.101095,0.512338,1.27282,4.054817,0.076157,0.1892
srl,80,3,230.0,1.0,0.0,65.6667,4.3333,10.0,1.8483,1.8483,0.5824,0.5824,68.62894,0.300785,0.747252,4.26395,0.141853,0.352411
