timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject,gateway_latency_us
1779291276.738246,sess-0002-9282edcb,plan_and_solve,SUCCESS,s1,web_fetch,success,159.03,500,4,,3.0,3.0,False,0.0
1779291276.897859,sess-0002-9282edcb,plan_and_solve,SUCCESS,s2,web_fetch,success,156.02,500,8,,3.0,3.0,False,0.0
1779291277.053881,sess-0002-9282edcb,plan_and_solve,SUCCESS,s3,web_fetch,success,155.19,500,7,,3.0,3.0,False,0.0
1779291277.029114,sess-0007-90fff7d0,react,SUCCESS,r1,web_fetch,success,159.67,500,8,,2.0,2.0,False,0.0
1779291277.188782,sess-0007-90fff7d0,react,SUCCESS,r2,web_fetch,success,154.90,500,9,,2.0,2.0,False,0.0
1779291276.435847,sess-0001-61e47bd4,react,SUCCESS,r1,calculate,success,8.16,500,2,,10.0,10.0,False,0.0
1779291276.444006,sess-0001-61e47bd4,react,SUCCESS,r2,web_fetch,success,156.78,500,2,,10.0,10.0,False,0.0
1779291276.601110,sess-0001-61e47bd4,react,SUCCESS,r3,calculate,success,6.06,500,2,,10.0,10.0,False,0.0
1779291276.607168,sess-0001-61e47bd4,react,SUCCESS,r4,calculate,success,5.73,500,2,,10.0,10.0,False,0.0
1779291276.612897,sess-0001-61e47bd4,react,SUCCESS,r5,web_fetch,success,157.06,500,2,,10.0,10.0,False,0.0
1779291276.769954,sess-0001-61e47bd4,react,SUCCESS,r6,mock_heavy,success,806.35,500,11,,10.0,10.0,False,0.0
1779291277.790133,sess-0012-e77b01dd,react,SUCCESS,r1,calculate,success,6.03,500,12,,4.0,4.0,False,0.0
1779291277.796165,sess-0012-e77b01dd,react,SUCCESS,r2,web_fetch,success,155.66,500,12,,4.0,4.0,False,0.0
1779291277.951826,sess-0012-e77b01dd,react,SUCCESS,r3,web_fetch,success,155.84,500,17,,4.0,4.0,False,0.0
1779291278.107666,sess-0012-e77b01dd,react,SUCCESS,r4,web_fetch,success,162.70,500,20,,4.0,4.0,False,0.0
1779291277.314934,sess-0009-d48346ce,plan_and_solve,SUCCESS,s1,calculate,success,6.96,500,9,,9.0,9.0,False,0.0
1779291277.321898,sess-0009-d48346ce,plan_and_solve,SUCCESS,s2,calculate,success,4.66,500,9,,9.0,9.0,False,0.0
1779291277.326554,sess-0009-d48346ce,plan_and_solve,SUCCESS,s3,web_fetch,success,156.44,500,11,,9.0,9.0,False,0.0
1779291277.482999,sess-0009-d48346ce,plan_and_solve,SUCCESS,s4,calculate,success,5.12,500,11,,9.0,9.0,False,0.0
1779291277.488115,sess-0009-d48346ce,plan_and_solve,SUCCESS,s5,mock_heavy,success,805.39,500,19,,9.0,9.0,False,0.0
1779291278.015788,sess-0016-ba921be9,react,SUCCESS,r1,calculate,success,282.18,500,19,,1.0,1.0,False,0.0
1779291276.875698,sess-0003-6c7dd593,react,SUCCESS,r1,mock_heavy,success,808.56,500,11,,12.0,12.0,False,0.0
1779291277.684787,sess-0003-6c7dd593,react,SUCCESS,r2,web_fetch,success,153.84,500,12,,12.0,12.0,False,0.0
1779291277.838631,sess-0003-6c7dd593,react,SUCCESS,r3,calculate,success,4.92,500,12,,12.0,12.0,False,0.0
1779291277.843606,sess-0003-6c7dd593,react,SUCCESS,r4,mock_heavy,success,805.13,500,24,,12.0,12.0,False,0.0
1779291277.452780,sess-0011-d7ef1a94,plan_and_solve,SUCCESS,s1,calculate,success,6.52,500,11,,7.0,7.0,False,0.0
1779291277.459295,sess-0011-d7ef1a94,plan_and_solve,SUCCESS,s2,mock_heavy,success,805.69,500,19,,7.0,7.0,False,0.0
1779291278.265595,sess-0011-d7ef1a94,plan_and_solve,SUCCESS,s3,calculate,success,475.83,500,24,,7.0,7.0,False,0.0
1779291276.378275,sess-0000-07dd07b2,plan_and_solve,SUCCESS,s1,mock_heavy,success,806.04,500,8,,17.0,17.0,False,0.0
1779291277.184912,sess-0000-07dd07b2,plan_and_solve,SUCCESS,s2,calculate,success,5.19,500,8,,17.0,17.0,False,0.0
1779291277.190103,sess-0000-07dd07b2,plan_and_solve,SUCCESS,s3,calculate,success,4.65,500,8,,17.0,17.0,False,0.0
1779291277.194756,sess-0000-07dd07b2,plan_and_solve,SUCCESS,s4,mock_heavy,success,806.37,500,14,,17.0,17.0,False,0.0
1779291278.001123,sess-0000-07dd07b2,plan_and_solve,SUCCESS,s5,mock_heavy,success,904.05,500,24,,17.0,17.0,False,0.0
1779291277.450757,sess-0010-a63ade3a,react,SUCCESS,r1,web_fetch,success,156.97,500,11,,9.0,9.0,False,0.0
1779291277.607732,sess-0010-a63ade3a,react,SUCCESS,r2,calculate,success,5.41,500,11,,9.0,9.0,False,0.0
1779291277.613141,sess-0010-a63ade3a,react,SUCCESS,r3,web_fetch,success,156.46,500,11,,9.0,9.0,False,0.0
1779291277.770219,sess-0010-a63ade3a,react,SUCCESS,r4,mock_heavy,success,806.27,500,24,,9.0,9.0,False,0.0
1779291278.576486,sess-0010-a63ade3a,react,SUCCESS,r5,calculate,success,345.93,500,24,,9.0,9.0,False,0.0
1779291278.266180,sess-0020-3494aa30,react,SUCCESS,r1,calculate,success,485.32,500,25,,2.0,2.0,False,0.0
1779291278.751497,sess-0020-3494aa30,react,SUCCESS,r2,calculate,success,338.21,500,25,,2.0,2.0,False,0.0
1779291276.984240,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s1,calculate,success,7.57,500,6,,14.0,14.0,False,0.0
1779291276.991814,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s2,calculate,success,5.84,500,6,,14.0,14.0,False,0.0
1779291276.997657,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s3,mock_heavy,success,805.19,500,12,,14.0,14.0,False,0.0
1779291277.803441,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s4,web_fetch,success,154.92,500,13,,14.0,14.0,False,0.0
1779291277.958365,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s5,mock_heavy,success,857.58,500,25,,14.0,14.0,False,0.0
1779291278.815949,sess-0005-ef4f2f1f,plan_and_solve,SUCCESS,s6,web_fetch,success,443.96,500,25,,14.0,14.0,False,0.0
1779291278.221976,sess-0019-9fbf1b12,react,SUCCESS,r1,mock_heavy,success,1237.65,500,26,,6.0,6.0,False,0.0
1779291279.459627,sess-0019-9fbf1b12,react,SUCCESS,r2,calculate,success,451.85,500,26,,6.0,6.0,False,0.0
1779291277.209073,sess-0008-a066350f,react,SUCCESS,r1,mock_heavy,success,805.56,500,15,,13.0,13.0,False,0.0
1779291278.014629,sess-0008-a066350f,react,SUCCESS,r2,calculate,success,101.42,500,17,,13.0,13.0,False,0.0
1779291278.116652,sess-0008-a066350f,react,SUCCESS,r3,web_fetch,success,616.44,500,25,,13.0,13.0,False,0.0
1779291278.733621,sess-0008-a066350f,react,SUCCESS,r4,web_fetch,success,373.12,500,26,,13.0,13.0,False,0.0
1779291279.106744,sess-0008-a066350f,react,SUCCESS,r5,mock_heavy,success,1011.80,500,26,,13.0,13.0,False,0.0
1779291278.922413,sess-0029-9bd4f6af,react,SUCCESS,r1,web_fetch,success,364.11,500,26,,3.0,3.0,False,0.0
1779291279.287053,sess-0029-9bd4f6af,react,SUCCESS,r2,web_fetch,success,498.60,500,26,,3.0,3.0,False,0.0
1779291279.785648,sess-0029-9bd4f6af,react,SUCCESS,r3,calculate,success,382.14,500,27,,3.0,3.0,False,0.0
1779291277.026565,sess-0006-87b7c258,plan_and_solve,SUCCESS,s1,mock_heavy,success,809.77,500,12,,14.0,14.0,False,0.0
1779291277.836334,sess-0006-87b7c258,plan_and_solve,SUCCESS,s2,mock_heavy,success,806.74,500,24,,14.0,14.0,False,0.0
1779291278.643078,sess-0006-87b7c258,plan_and_solve,SUCCESS,s3,web_fetch,success,436.30,500,25,,14.0,14.0,False,0.0
1779291279.079381,sess-0006-87b7c258,plan_and_solve,SUCCESS,s4,web_fetch,success,254.57,500,26,,14.0,14.0,False,0.0
1779291279.333950,sess-0006-87b7c258,plan_and_solve,SUCCESS,s5,calculate,success,468.59,500,26,,14.0,14.0,False,0.0
1779291279.802540,sess-0006-87b7c258,plan_and_solve,SUCCESS,s6,calculate,success,381.93,500,27,,14.0,14.0,False,0.0
1779291278.905747,sess-0028-6a3f94e2,react,SUCCESS,r1,calculate,success,212.90,500,26,,7.0,7.0,False,0.0
1779291279.118645,sess-0028-6a3f94e2,react,SUCCESS,r2,mock_heavy,success,1032.65,500,27,,7.0,7.0,False,0.0
1779291280.151292,sess-0028-6a3f94e2,react,SUCCESS,r3,web_fetch,success,405.25,500,28,,7.0,7.0,False,0.0
1779291276.981362,sess-0004-73b6b2c5,react,SUCCESS,r1,mock_heavy,success,807.63,500,11,,19.0,19.0,False,0.0
1779291277.788987,sess-0004-73b6b2c5,react,SUCCESS,r2,web_fetch,success,156.57,500,12,,19.0,19.0,False,0.0
1779291277.945561,sess-0004-73b6b2c5,react,SUCCESS,r3,web_fetch,success,156.87,500,17,,19.0,19.0,False,0.0
1779291278.102432,sess-0004-73b6b2c5,react,SUCCESS,r4,mock_heavy,success,973.89,500,25,,19.0,19.0,False,0.0
1779291279.076326,sess-0004-73b6b2c5,react,SUCCESS,r5,mock_heavy,success,896.83,500,26,,19.0,19.0,False,0.0
1779291279.973157,sess-0004-73b6b2c5,react,SUCCESS,r6,calculate,success,354.61,500,28,,19.0,19.0,False,0.0
