session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-43af5ae0,plan_and_solve,SUCCESS,3,500,3.0,3.0,472.95,1779291309.440742,1779291309.914142
sess-0007-65ad86c6,react,SUCCESS,2,500,2.0,2.0,318.85,1779291309.708794,1779291310.027647
sess-0001-ee485757,react,SUCCESS,6,500,10.0,10.0,1140.59,1779291309.135735,1779291310.277449
sess-0016-125c0b11,react,SUCCESS,1,500,1.0,1.0,97.26,1779291310.704997,1779291310.802256
sess-0009-cfe3668a,plan_and_solve,SUCCESS,5,500,9.0,9.0,979.81,1779291309.999365,1779291310.979740
sess-0012-794e5407,react,SUCCESS,4,500,4.0,4.0,816.59,1779291310.475452,1779291311.292039
sess-0003-13fb2abc,react,SUCCESS,4,500,12.0,12.0,1774.58,1779291309.575454,1779291311.350614
sess-0011-5cb201ac,plan_and_solve,SUCCESS,3,500,7.0,7.0,1222.66,1779291310.136569,1779291311.359826
sess-0010-c7cf84fe,react,SUCCESS,5,500,9.0,9.0,1409.72,1779291310.136023,1779291311.546943
sess-0000-948d90dd,plan_and_solve,SUCCESS,5,500,17.0,17.0,2512.86,1779291309.078093,1779291311.592062
sess-0020-1f9b971a,react,SUCCESS,2,500,2.0,2.0,737.43,1779291310.948830,1779291311.686815
sess-0005-09eeeda9,plan_and_solve,SUCCESS,6,500,14.0,14.0,2197.65,1779291309.697539,1779291311.897034
sess-0019-3f8a1a8a,react,SUCCESS,2,500,6.0,6.0,1588.04,1779291310.905482,1779291312.493524
sess-0008-97d800bc,react,SUCCESS,5,500,13.0,13.0,2752.86,1779291309.893292,1779291312.646210
sess-0029-30d4023e,react,SUCCESS,3,500,3.0,3.0,1255.59,1779291311.592062,1779291312.847648
sess-0006-3dcb2a02,plan_and_solve,SUCCESS,6,500,14.0,14.0,3273.66,1779291309.706396,1779291312.980101
sess-0028-c11b7382,react,SUCCESS,3,500,7.0,7.0,1885.12,1779291311.546943,1779291313.433014
sess-0004-a596aab4,react,SUCCESS,7,500,19.0,19.0,3793.93,1779291309.666331,1779291313.460839
sess-0026-0be116bd,react,SUCCESS,7,500,7.0,7.0,2338.08,1779291311.350614,1779291313.689248
sess-0022-b6d652e9,plan_and_solve,SUCCESS,5,500,9.0,9.0,2640.61,1779291311.057373,1779291313.698603
sess-0027-f3a4ea0a,plan_and_solve,SUCCESS,5,500,9.0,9.0,2355.93,1779291311.359826,1779291313.715751
sess-0031-342d0130,plan_and_solve,SUCCESS,5,500,5.0,5.0,1881.83,1779291311.897034,1779291313.778926
sess-0024-4bd3c2e3,plan_and_solve,SUCCESS,3,500,11.0,11.0,2761.51,1779291311.137311,1779291313.898906
sess-0025-7ca61b55,plan_and_solve,SUCCESS,6,500,10.0,10.0,2624.85,1779291311.292039,1779291313.916884
sess-0013-d79cd4b1,plan_and_solve,SUCCESS,5,500,17.0,17.0,3348.23,1779291310.665761,1779291314.014524
sess-0015-ac5ba7b3,react,SUCCESS,6,500,14.0,14.0,3413.84,1779291310.702166,1779291314.116007
sess-0032-4896265e,react,SUCCESS,6,500,6.0,6.0,2135.57,1779291312.493524,1779291314.630685
sess-0037-7ce2087e,plan_and_solve,SUCCESS,3,500,7.0,7.0,1388.79,1779291313.460839,1779291314.849630
sess-0035-419f3b77,react,SUCCESS,5,500,5.0,5.0,1947.30,1779291312.980670,1779291314.928551
sess-0014-6abab6ed,plan_and_solve,SUCCESS,6,500,18.0,18.0,4269.73,1779291310.675839,1779291314.947129
sess-0017-ea12bcfc,react,SUCCESS,7,500,19.0,19.0,4430.04,1779291310.755547,1779291315.186705
sess-0023-3bdb9096,react,SUCCESS,6,500,18.0,18.0,4162.42,1779291311.100781,1779291315.264362
sess-0018-4018fe5d,react,SUCCESS,6,500,18.0,18.0,4804.10,1779291310.845593,1779291315.649693
sess-0021-66f50049,plan_and_solve,SUCCESS,7,500,19.0,19.0,4741.31,1779291311.055703,1779291315.798700
sess-0038-b6e1e442,plan_and_solve,SUCCESS,4,500,8.0,8.0,2125.05,1779291313.689800,1779291315.814846
sess-0036-a15c31bb,react,SUCCESS,5,500,5.0,5.0,2533.15,1779291313.433014,1779291315.966721
sess-0048-eb89fffb,react,SUCCESS,2,500,6.0,6.0,1169.72,1779291314.928551,1779291316.098274
sess-0041-00126a9a,plan_and_solve,SUCCESS,3,500,11.0,11.0,2392.60,1779291313.778926,1779291316.172159
sess-0030-8edae1d7,plan_and_solve,SUCCESS,7,500,19.0,19.0,4565.41,1779291311.686815,1779291316.252773
sess-0054-17fa88e4,react,SUCCESS,2,500,2.0,2.0,857.45,1779291315.815472,1779291316.673474
sess-0040-4ce12c81,plan_and_solve,SUCCESS,5,500,9.0,9.0,2957.82,1779291313.715751,1779291316.675172
sess-0033-1aee1e62,react,SUCCESS,7,500,15.0,15.0,4136.65,1779291312.646759,1779291316.784520
sess-0034-dbc77594,react,SUCCESS,7,500,15.0,15.0,3952.08,1779291312.848194,1779291316.801416
sess-0042-c1cc34ca,react,SUCCESS,4,500,12.0,12.0,2989.72,1779291313.898906,1779291316.888622
sess-0039-a4091da8,react,SUCCESS,6,500,14.0,14.0,3519.22,1779291313.698603,1779291317.218400
sess-0055-434b0c7c,react,SUCCESS,4,500,4.0,4.0,1384.43,1779291315.966721,1779291317.351725
sess-0049-6f116177,react,SUCCESS,4,500,8.0,8.0,2404.60,1779291314.947129,1779291317.352271
sess-0060-e43ad8fb,react,SUCCESS,2,500,2.0,2.0,692.80,1779291316.675172,1779291317.367975
sess-0046-e9a502e5,plan_and_solve,SUCCESS,6,500,10.0,10.0,2877.07,1779291314.630685,1779291317.509447
sess-0058-b00d351f,react,SUCCESS,3,500,3.0,3.0,1281.99,1779291316.252773,1779291317.535342
sess-0045-790d1465,react,SUCCESS,7,500,11.0,11.0,3591.42,1779291314.116007,1779291317.708508
sess-0069-bdb7b23d,react,SUCCESS,1,500,1.0,1.0,351.26,1779291317.535903,1779291317.887708
sess-0047-35342e69,plan_and_solve,SUCCESS,6,500,10.0,10.0,3266.75,1779291314.849630,1779291318.116920
sess-0070-d7770f06,react,SUCCESS,1,500,1.0,1.0,559.71,1779291317.708508,1779291318.268777
sess-0044-59d12642,react,SUCCESS,6,500,14.0,14.0,4293.56,1779291314.014524,1779291318.308081
sess-0043-955c09ad,react,SUCCESS,7,500,19.0,19.0,4406.19,1779291313.916884,1779291318.325178
sess-0075-cdf1bb1b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.77,1779291318.325178,1779291318.327501
sess-0076-99e6bfe4,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.71,1779291318.327501,1779291318.329210
sess-0077-58c9e639,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.72,1779291318.329210,1779291318.331492
sess-0078-e3f6940a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.10,1779291318.331492,1779291318.333596
sess-0079-606f43e1,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.71,1779291318.333596,1779291318.335309
sess-0080-54cda486,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,0.94,1779291318.335309,1779291318.336251
