session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-85127bb6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.22,1779336865.454458,1779336865.458718
sess-0001-dd213f25,react,CASCADE_FAILED,6,500,1.0,0.0,5.78,1779336865.456136,1779336865.461920
sess-0002-6de26f28,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.13,1779336865.524266,1779336865.525400
sess-0003-44bf1f65,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.77,1779336865.554518,1779336865.556859
sess-0004-b284d6bb,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.94,1779336865.584426,1779336865.587368
sess-0007-20794eca,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.16,1779336865.587940,1779336865.589099
sess-0006-a82a4090,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.49,1779336865.586130,1779336865.589651
sess-0005-9f4984a9,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,8.45,1779336865.585008,1779336865.593458
sess-0008-6706f620,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,0.55,1779336865.629263,1779336865.629817
sess-0009-e64b2f7f,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,9.43,1779336865.659990,1779336865.669422
sess-0010-771420b1,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.18,1779336865.704815,1779336865.708241
sess-0011-807aa000,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,7.71,1779336865.706389,1779336865.714097
sess-0012-67ab7b18,react,CASCADE_FAILED,4,500,1.0,0.0,7.02,1779336865.795558,1779336865.802576
sess-0013-417d70cc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.48,1779336865.825807,1779336865.828288
sess-0014-084e5492,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.46,1779336865.826956,1779336865.829519
sess-0017-e4a2f968,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.59,1779336865.829519,1779336865.833110
sess-0018-8cd79083,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.57,1779336865.830257,1779336865.835895
sess-0016-c52f558f,react,SUCCESS,1,500,1.0,1.0,7.58,1779336865.828881,1779336865.836457
sess-0019-d732ff0e,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,5.12,1779336865.831961,1779336865.837081
sess-0015-32cfd4ec,react,CASCADE_FAILED,6,500,1.0,0.0,9.46,1779336865.827623,1779336865.837081
sess-0020-e1d28af2,react,SUCCESS,2,500,2.0,2.0,7.56,1779336865.834304,1779336865.841873
sess-0021-bd39d19b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.33,1779336865.871436,1779336865.874394
sess-0022-02378da2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.42,1779336865.872524,1779336865.875086
sess-0023-1775ecef,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.73,1779336865.873671,1779336865.876404
sess-0024-f3b847a3,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.47,1779336865.875189,1779336865.877655
sess-0025-50b2ef28,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.78,1779336865.876404,1779336865.878314
sess-0027-8ea572a8,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.46,1779336865.918110,1779336865.920865
sess-0029-941dc499,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.57,1779336865.923262,1779336865.927412
sess-0030-fd4e7179,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.82,1779336865.924588,1779336865.928027
sess-0028-dab057fe,react,CASCADE_FAILED,3,500,1.0,0.0,8.77,1779336865.919255,1779336865.928027
sess-0026-59fd3fa0,react,CASCADE_FAILED,7,500,3.0,0.0,17.89,1779336865.916895,1779336865.935459
sess-0031-3505c61f,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,7.14,1779336865.962525,1779336865.970369
sess-0032-f4f3780a,react,CASCADE_FAILED,6,500,1.0,0.0,9.31,1779336865.963766,1779336865.973599
sess-0033-3b66c3b4,react,CASCADE_FAILED,7,500,1.0,0.0,9.07,1779336865.965108,1779336865.974180
sess-0034-adb496b8,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.73,1779336866.022896,1779336866.024622
sess-0035-87bfee4d,react,CASCADE_FAILED,5,500,2.0,0.0,7.66,1779336866.098157,1779336866.105845
sess-0036-94e9f5b9,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.43,1779336866.143391,1779336866.145821
sess-0037-94a2e817,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,5.94,1779336866.144000,1779336866.150659
sess-0038-01763e42,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,7.15,1779336866.145198,1779336866.152351
sess-0039-64408463,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.90,1779336866.188911,1779336866.191815
sess-0040-ea29d45c,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.89,1779336866.190125,1779336866.193016
sess-0041-eddfa6c1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.33,1779336866.191260,1779336866.193588
sess-0042-0f6af442,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.28,1779336866.192461,1779336866.195335
sess-0043-3748529e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.17,1779336866.194166,1779336866.195335
sess-0044-e9ddb178,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.73,1779336866.249395,1779336866.251127
sess-0045-7c4ab4dc,react,CASCADE_FAILED,7,500,2.0,0.0,9.77,1779336866.249953,1779336866.260243
sess-0046-65d38cbd,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.20,1779336866.294832,1779336866.297111
sess-0047-6d4725ad,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.70,1779336866.295407,1779336866.297111
sess-0048-16a753ad,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.13,1779336866.296535,1779336866.297667
sess-0050-0779e235,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.14,1779336866.325961,1779336866.327105
sess-0049-a323dbb4,react,CASCADE_FAILED,4,500,1.0,0.0,5.25,1779336866.324785,1779336866.330607
sess-0051-75022a31,react,CASCADE_FAILED,7,500,1.0,0.0,8.29,1779336866.399868,1779336866.408254
sess-0052-965e597f,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.08,1779336866.406424,1779336866.408499
sess-0053-714317dc,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.12,1779336866.475107,1779336866.476228
sess-0054-9ba43033,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.71,1779336866.535226,1779336866.536938
sess-0055-962ecb63,react,CASCADE_FAILED,4,500,3.0,0.0,18.03,1779336866.565702,1779336866.583730
sess-0057-6e54fdb5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.70,1779336866.625784,1779336866.627485
sess-0058-07da9098,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.67,1779336866.626921,1779336866.628649
