session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0001-e8e1614c,react,CASCADE_FAILED,6,500,1.0,0.0,1250.52,1779332942.350664,1779332943.601755
sess-0018-7723aa17,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1017.55,1779332942.705022,1779332943.722573
sess-0016-f2f6bcb0,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1023.76,1779332942.699796,1779332943.724081
sess-0015-b1f1f804,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1027.94,1779332942.697390,1779332943.725330
sess-0017-a231b591,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1027.51,1779332942.702528,1779332943.730042
sess-0019-1eb1b306,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1021.88,1779332942.708735,1779332943.730619
sess-0007-790580b9,react,SUCCESS,2,500,2.0,2.0,1839.25,1779332942.457793,1779332944.297102
sess-0024-4aa20cdf,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1021.08,1779332943.731146,1779332944.752467
sess-0023-716119e5,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1027.83,1779332943.725900,1779332944.754256
sess-0010-647f7112,react,CASCADE_FAILED,5,500,1.0,0.0,2182.96,1779332942.571296,1779332944.754256
sess-0025-f62f755e,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1023.02,1779332943.731757,1779332944.754833
sess-0002-60b7b426,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,2571.65,1779332942.419451,1779332944.991105
sess-0005-2f94870e,plan_and_solve,CASCADE_FAILED,6,500,2.0,0.0,2630.57,1779332942.451488,1779332945.082117
sess-0020-f3522092,react,SUCCESS,2,500,2.0,2.0,1940.85,1779332943.601755,1779332945.543180
sess-0011-63bea573,plan_and_solve,SUCCESS,3,500,7.0,7.0,3722.63,1779332942.574492,1779332946.297723
sess-0030-a512dfd4,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2090.76,1779332944.756037,1779332946.846801
sess-0032-49b29976,react,CASCADE_FAILED,6,500,1.0,0.0,1824.58,1779332945.082117,1779332946.907223
sess-0012-8f51f6ed,react,CASCADE_FAILED,4,500,3.0,0.0,4275.31,1779332942.646619,1779332946.922560
sess-0026-acc9aa24,react,CASCADE_FAILED,7,500,2.0,0.0,2865.67,1779332944.297630,1779332947.163908
sess-0034-8ce4504e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1017.56,1779332946.297723,1779332947.315282
sess-0003-6956d36f,react,SUCCESS,4,500,12.0,12.0,4928.69,1779332942.422715,1779332947.351507
sess-0009-0e0abf46,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,4940.81,1779332942.540437,1779332947.482117
sess-0022-a5446908,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,3831.38,1779332943.724748,1779332947.557180
sess-0029-ed967ab5,react,SUCCESS,3,500,3.0,3.0,3239.11,1779332944.755431,1779332947.995103
sess-0041-bc102f82,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.98,1779332947.482635,1779332948.492657
sess-0042-ef153807,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.40,1779332947.557234,1779332948.568629
sess-0028-05cc6bd8,react,CASCADE_FAILED,3,500,6.0,0.0,3843.50,1779332944.754833,1779332948.598943
sess-0014-e0e51a84,plan_and_solve,CASCADE_FAILED,6,500,11.0,0.0,5933.89,1779332942.694180,1779332948.628813
sess-0000-a4e7df43,plan_and_solve,SUCCESS,5,500,17.0,17.0,6444.46,1779332942.348210,1779332948.792673
sess-0004-752a1ca3,react,CASCADE_FAILED,7,500,12.0,0.0,6390.70,1779332942.449349,1779332948.841532
sess-0008-3eb719e1,react,SUCCESS,5,500,13.0,13.0,6498.13,1779332942.509851,1779332949.009255
sess-0038-f2d2ff1a,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,1948.99,1779332947.163908,1779332949.114037
sess-0006-955ac9fe,plan_and_solve,SUCCESS,6,500,14.0,14.0,7435.24,1779332942.453891,1779332949.890245
sess-0013-009fed83,plan_and_solve,SUCCESS,5,500,17.0,17.0,7212.27,1779332942.691737,1779332949.904532
sess-0031-99e570c1,plan_and_solve,SUCCESS,5,500,5.0,5.0,5474.87,1779332944.991627,1779332950.467566
sess-0027-4979d6fc,plan_and_solve,SUCCESS,5,500,9.0,9.0,5796.31,1779332944.753066,1779332950.551040
sess-0037-a44cc8c4,plan_and_solve,SUCCESS,3,500,7.0,7.0,3755.51,1779332946.923126,1779332950.678632
sess-0035-f22f4543,react,CASCADE_FAILED,5,500,3.0,0.0,4148.54,1779332946.846801,1779332950.995871
sess-0039-25c58346,react,CASCADE_FAILED,6,500,6.0,0.0,3816.15,1779332947.315282,1779332951.131428
sess-0050-423e105e,react,CASCADE_FAILED,4,500,1.0,0.0,2137.55,1779332949.009255,1779332951.146828
sess-0051-705fa3b3,react,CASCADE_FAILED,7,500,1.0,0.0,2047.95,1779332949.114113,1779332951.162064
sess-0044-4894b312,react,CASCADE_FAILED,6,500,5.0,0.0,2700.43,1779332948.492657,1779332951.193153
sess-0048-da2c07d8,react,CASCADE_FAILED,2,500,5.0,0.0,2671.76,1779332948.792673,1779332951.465025
sess-0045-ad37a680,react,CASCADE_FAILED,7,500,2.0,0.0,2895.87,1779332948.568629,1779332951.465025
sess-0054-a6d25b83,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1011.84,1779332950.467566,1779332951.479411
sess-0036-38940733,react,SUCCESS,5,500,5.0,5.0,5354.34,1779332946.907223,1779332952.262302
sess-0059-6c0d1689,react,CASCADE_FAILED,4,500,1.0,0.0,1859.31,1779332951.146828,1779332953.006137
sess-0049-058bb34b,react,CASCADE_FAILED,4,500,7.0,0.0,4224.49,1779332948.841532,1779332953.066242
sess-0040-546330c0,plan_and_solve,SUCCESS,5,500,9.0,9.0,5714.75,1779332947.352032,1779332953.067425
sess-0021-96fbbe96,plan_and_solve,SUCCESS,7,500,19.0,19.0,9403.70,1779332943.722573,1779332953.126951
sess-0033-f3d748a3,react,SUCCESS,7,500,15.0,15.0,8601.17,1779332945.543180,1779332954.145177
sess-0058-d82a0d8c,react,SUCCESS,3,500,3.0,3.0,3054.88,1779332951.131428,1779332954.186945
sess-0055-c3665f21,react,SUCCESS,4,500,4.0,4.0,3830.50,1779332950.551040,1779332954.381545
sess-0046-01fd4129,plan_and_solve,SUCCESS,6,500,10.0,10.0,5986.08,1779332948.598943,1779332954.586130
sess-0047-612ecf8d,plan_and_solve,SUCCESS,6,500,10.0,10.0,6475.35,1779332948.628813,1779332955.104988
sess-0056-9f5462fd,plan_and_solve,SUCCESS,4,500,12.0,12.0,4933.10,1779332950.678632,1779332955.612833
sess-0052-7ce8bc36,react,SUCCESS,5,500,13.0,13.0,5728.10,1779332949.890245,1779332955.619262
sess-0043-2aa960cf,react,SUCCESS,7,500,19.0,19.0,7972.56,1779332947.995103,1779332955.968750
sess-0053-1c943aa0,plan_and_solve,SUCCESS,6,500,22.0,22.0,6786.06,1779332949.904532,1779332956.691178
sess-0057-19025d43,plan_and_solve,SUCCESS,6,500,14.0,14.0,5818.27,1779332950.995911,1779332956.815025
