session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-357b6a5c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.57,1779332959.461349,1779332959.463920
sess-0004-dbadf67a,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,8.30,1779332959.522892,1779332959.531219
sess-0007-71cf0cb6,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,4.48,1779332959.529409,1779332959.534418
sess-0011-13e33376,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.55,1779332959.631241,1779332959.635795
sess-0012-25e6d9a2,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.50,1779332959.718840,1779332959.720372
sess-0013-75777b30,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.74,1779332959.763721,1779332959.769747
sess-0014-261b2fd2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,10.07,1779332959.765105,1779332959.775174
sess-0009-9cbabcb8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,120435.52,1779332959.598226,1779333080.034115
sess-0005-ca36422b,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,120509.35,1779332959.524767,1779333080.034115
sess-0025-94c2c324,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,120244.58,1779332959.789533,1779333080.034115
sess-0026-027101a6,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120210.86,1779332959.823853,1779333080.034715
sess-0024-91d269b8,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120247.10,1779332959.787620,1779333080.034715
sess-0023-f00b5ec5,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120248.81,1779332959.785904,1779333080.034715
sess-0022-e6532406,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120250.55,1779332959.784169,1779333080.034715
sess-0021-8740930b,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,120252.91,1779332959.782403,1779333080.035308
sess-0019-da89e572,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,120257.36,1779332959.777904,1779333080.035308
sess-0018-6b269272,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120260.13,1779332959.775174,1779333080.035308
sess-0017-6b4d8529,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120262.22,1779332959.773092,1779333080.035308
sess-0016-cfc44eb1,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,120264.57,1779332959.771306,1779333080.035876
sess-0015-b58a16db,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120268.34,1779332959.767533,1779333080.035876
sess-0010-58acc046,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120406.79,1779332959.629088,1779333080.035876
sess-0020-0df09da2,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,120256.05,1779332959.779831,1779333080.035876
sess-0001-3fbbc17f,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120632.11,1779332959.404341,1779333080.036449
sess-0003-f7ad9a31,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,120543.88,1779332959.492571,1779333080.036449
sess-0008-da4ff4ea,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120468.49,1779332959.567956,1779333080.036449
sess-0000-ab9881b1,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,121627.11,1779332959.403338,1779333081.030451
sess-0006-0611a253,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,121503.80,1779332959.527070,1779333081.030872
sess-0027-7e84d001,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120999.25,1779333080.037047,1779333201.036390
sess-0031-bc239ef2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120992.74,1779333080.043649,1779333201.036390
sess-0039-20f9d112,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120982.02,1779333080.054370,1779333201.036390
sess-0043-bdf91242,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120976.45,1779333080.060536,1779333201.037016
sess-0038-8592190f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,120983.28,1779333080.053218,1779333201.037016
sess-0042-3f625d38,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,120976.64,1779333080.060378,1779333201.037016
sess-0041-e3ab57ab,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120980.38,1779333080.056632,1779333201.037016
sess-0040-c2954f31,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,120981.52,1779333080.055499,1779333201.037016
sess-0030-0fea7730,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,120995.57,1779333080.041443,1779333201.037016
sess-0037-b8471098,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,120984.39,1779333080.052542,1779333201.037016
sess-0036-2b0f8421,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120986.60,1779333080.051341,1779333201.037945
sess-0044-272e5a0e,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120976.44,1779333080.061506,1779333201.037945
sess-0034-04f09e65,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120989.54,1779333080.048305,1779333201.037945
sess-0033-88918609,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120991.32,1779333080.046621,1779333201.037945
sess-0032-9a65c113,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,120993.09,1779333080.044856,1779333201.037945
sess-0029-bd02c9ef,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,120997.46,1779333080.040482,1779333201.037945
sess-0035-92eb90d1,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,120987.77,1779333080.050139,1779333201.037945
sess-0028-8720b8b3,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,120998.65,1779333080.039292,1779333201.038944
sess-0045-03c98d7e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,120999.81,1779333081.030872,1779333202.030684
