session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0002-71b27bd5,plan_and_solve,SUCCESS,3,500,3.0,3.0,470.32,1779290973.976467,1779290974.447023
sess-0007-2ed1edb5,react,SUCCESS,2,500,2.0,2.0,315.86,1779290974.282311,1779290974.598167
sess-0001-d964f0a9,react,SUCCESS,6,500,10.0,10.0,1139.40,1779290973.670582,1779290974.810634
sess-0016-0d4540b4,react,SUCCESS,1,500,1.0,1.0,99.64,1779290975.297982,1779290975.397690
sess-0009-c4960267,plan_and_solve,SUCCESS,5,500,9.0,9.0,976.19,1779290974.598167,1779290975.574433
sess-0012-ad4382bc,react,SUCCESS,4,500,4.0,4.0,660.61,1779290975.069114,1779290975.730307
sess-0003-845858b7,react,SUCCESS,4,500,12.0,12.0,1774.35,1779290974.114413,1779290975.889291
sess-0011-d88accca,plan_and_solve,SUCCESS,3,500,7.0,7.0,1195.01,1779290974.722922,1779290975.918014
sess-0000-94374c22,plan_and_solve,SUCCESS,5,500,17.0,17.0,2429.02,1779290973.609087,1779290976.040024
sess-0010-7d9d54a2,react,SUCCESS,5,500,9.0,9.0,1411.85,1779290974.720298,1779290976.132679
sess-0020-0a9ca70e,react,SUCCESS,2,500,2.0,2.0,716.74,1779290975.506541,1779290976.223277
sess-0005-86b30adf,plan_and_solve,SUCCESS,6,500,14.0,14.0,2163.65,1779290974.250532,1779290976.414508
sess-0019-7d1594b1,react,SUCCESS,2,500,6.0,6.0,1502.98,1779290975.461322,1779290976.964905
sess-0029-fbbe00f0,react,SUCCESS,3,500,3.0,3.0,1334.60,1779290976.173254,1779290977.508454
sess-0008-70aad681,react,SUCCESS,5,500,13.0,13.0,3042.48,1779290974.507768,1779290977.550249
sess-0006-fb526464,plan_and_solve,SUCCESS,6,500,14.0,14.0,3359.98,1779290974.280988,1779290977.641532
sess-0004-72246981,react,SUCCESS,7,500,19.0,19.0,3606.02,1779290974.219725,1779290977.826314
sess-0028-07499a3e,react,SUCCESS,3,500,7.0,7.0,1760.71,1779290976.080401,1779290977.841107
sess-0022-b8d554fb,plan_and_solve,SUCCESS,5,500,9.0,9.0,2578.19,1779290975.615240,1779290978.194026
sess-0027-d4c616d2,plan_and_solve,SUCCESS,5,500,9.0,9.0,2232.92,1779290975.991764,1779290978.225739
sess-0026-70019883,react,SUCCESS,7,500,7.0,7.0,2266.68,1779290975.961318,1779290978.228175
