gateway,agents,success,partial,all_rejected,cascade_wasted_steps,agent_llm_tokens,backend_llm_tokens,raw_goodput,effective_goodput,eff_gp_per_s,e2e_p50_ms,e2e_p95_ms,elapsed_s
mcpdp-real-no-sessioncap,50,42,7,1,14,239835,2089,177.0,159.0,0.51,31275,72465,313.7
mcpdp-real-no-sessioncap,50,42,3,5,13,235264,2305,174.0,161.0,0.49,28222,70513,326.4
mcpdp-real-no-sessioncap,50,43,6,1,14,242661,3152,186.0,167.0,0.52,31267,82108,322.2
mcpdp-real-no-sessioncap,50,39,8,3,26,250389,2187,177.0,142.0,0.35,42129,104408,400.8
mcpdp-real-no-sessioncap,50,37,9,4,30,247144,2071,174.0,137.0,0.43,28545,71788,322.0
mcpdp-real,50,39,7,4,14,234904,3067,171.0,157.0,0.5,32871,69846,312.9
mcpdp-real,50,40,8,2,20,249351,2993,173.0,143.0,0.36,43724,89570,399.8
mcpdp-real,50,40,8,2,19,237317,2551,164.0,145.0,0.45,31040,65211,320.7
mcpdp-real,50,48,2,0,6,250451,2655,203.0,193.0,0.5,33222,80877,384.0
mcpdp-real,50,37,10,3,31,252906,3137,179.0,139.0,0.44,28424,75119,315.7
ng,50,42,6,2,18,243367,3033,189.0,166.0,0.53,29687,53017,313.7
ng,50,41,7,2,21,249152,2854,185.0,154.0,0.42,36173,63332,363.1
ng,50,32,15,3,46,262478,2555,182.0,132.0,0.36,39650,81033,368.3
ng,50,39,9,2,20,253680,2635,180.0,155.0,0.41,33951,90749,381.8
ng,50,35,13,2,29,245326,2217,161.0,131.0,0.39,32897,80111,337.7
srl,50,33,16,1,37,246295,3121,175.0,133.0,0.4,30988,60720,335.5
srl,50,35,13,2,31,252905,3043,167.0,124.0,0.31,30557,77716,406.2
srl,50,39,9,2,26,246105,2938,177.0,147.0,0.46,27914,62490,322.7
srl,50,36,14,0,35,254893,3295,174.0,137.0,0.33,33762,66008,413.8
srl,50,35,12,3,30,246231,2988,168.0,138.0,0.41,31387,79482,338.2
