session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-0e19af6d,react,SUCCESS,2,500,2.0,2.0,313.67,1779171374.116211,1779171374.430130
sess-0002-1578c4e9,plan_and_solve,SUCCESS,3,500,3.0,3.0,466.29,1779171374.028795,1779171374.495508
sess-0001-78c54e9a,react,SUCCESS,6,500,10.0,10.0,1126.73,1779171373.966475,1779171375.093686
sess-0009-2a47dd01,plan_and_solve,SUCCESS,5,500,9.0,9.0,974.64,1779171374.200538,1779171375.175878
sess-0011-7b890f3d,plan_and_solve,SUCCESS,3,500,7.0,7.0,813.77,1779171374.495592,1779171375.309750
sess-0010-8a005a1b,react,SUCCESS,5,500,9.0,9.0,1124.30,1779171374.430318,1779171375.555187
sess-0012-4b0287d8,react,SUCCESS,4,500,4.0,4.0,469.86,1779171375.093749,1779171375.563910
sess-0016-a43d9675,react,SUCCESS,1,500,1.0,1.0,5.66,1779171375.563978,1779171375.569757
sess-0003-eeb25d32,react,SUCCESS,4,500,12.0,12.0,1772.02,1779171374.059648,1779171375.832157
sess-0005-dbbd5845,plan_and_solve,SUCCESS,6,500,14.0,14.0,1929.86,1779171374.107010,1779171376.037593
sess-0006-b9751497,plan_and_solve,SUCCESS,6,500,14.0,14.0,1930.23,1779171374.114073,1779171376.045009
sess-0020-f3a2357b,react,SUCCESS,2,500,2.0,2.0,7.31,1779171376.045062,1779171376.052484
sess-0008-60787425,react,SUCCESS,5,500,13.0,13.0,1925.93,1779171374.169488,1779171376.095957
sess-0000-08a8b3c8,plan_and_solve,SUCCESS,5,500,17.0,17.0,2425.15,1779171373.951193,1779171376.376927
sess-0004-58981097,react,SUCCESS,7,500,19.0,19.0,2735.16,1779171374.091284,1779171376.827229
sess-0019-05e23eec,react,SUCCESS,2,500,6.0,6.0,809.66,1779171376.037659,1779171376.847540
sess-0022-68149647,plan_and_solve,SUCCESS,5,500,9.0,9.0,974.84,1779171376.096033,1779171377.071463
sess-0026-6940e7df,react,SUCCESS,7,500,7.0,7.0,179.37,1779171377.071504,1779171377.251439
sess-0015-45b475d9,react,SUCCESS,6,500,14.0,14.0,1780.02,1779171375.555345,1779171377.336031
sess-0013-b4e9ae05,plan_and_solve,SUCCESS,5,500,17.0,17.0,2427.60,1779171375.176052,1779171377.604311
sess-0029-723ed46f,react,SUCCESS,3,500,3.0,3.0,315.48,1779171377.604618,1779171377.920464
sess-0025-44340f48,plan_and_solve,SUCCESS,6,500,10.0,10.0,1130.50,1779171376.847608,1779171377.978860
sess-0014-78706ade,plan_and_solve,SUCCESS,6,500,18.0,18.0,2731.57,1779171375.309818,1779171378.042028
sess-0027-6bdfcfa1,plan_and_solve,SUCCESS,5,500,9.0,9.0,974.75,1779171377.251607,1779171378.227002
sess-0028-afaadb5d,react,SUCCESS,3,500,7.0,7.0,965.98,1779171377.336103,1779171378.302418
sess-0017-550941e7,react,SUCCESS,7,500,19.0,19.0,2738.37,1779171375.569916,1779171378.309057
sess-0018-c2f2a378,react,SUCCESS,6,500,18.0,18.0,2582.98,1779171375.832226,1779171378.415868
sess-0024-fe9e2573,plan_and_solve,SUCCESS,3,500,11.0,11.0,1616.46,1779171376.827309,1779171378.444161
sess-0031-9f3ae338,plan_and_solve,SUCCESS,5,500,5.0,5.0,476.35,1779171377.978964,1779171378.455948
sess-0032-d6624a7d,react,SUCCESS,6,500,6.0,6.0,480.13,1779171378.042102,1779171378.522927
sess-0035-91e765ef,react,SUCCESS,5,500,5.0,5.0,476.04,1779171378.309125,1779171378.785722
sess-0021-ee416dca,plan_and_solve,SUCCESS,7,500,19.0,19.0,2738.63,1779171376.052514,1779171378.791931
sess-0023-4f762025,react,SUCCESS,6,500,18.0,18.0,2580.39,1779171376.376995,1779171378.958037
sess-0036-a5aafbee,react,SUCCESS,5,500,5.0,5.0,627.19,1779171378.416038,1779171379.043791
sess-0037-3301a224,plan_and_solve,SUCCESS,3,500,7.0,7.0,814.73,1779171378.444328,1779171379.259453
sess-0038-64d5fcd6,plan_and_solve,SUCCESS,4,500,8.0,8.0,1120.14,1779171378.456015,1779171379.576664
sess-0040-9e097c81,plan_and_solve,SUCCESS,5,500,9.0,9.0,1126.28,1779171378.785796,1779171379.912743
sess-0034-bdc78b2f,react,SUCCESS,7,500,15.0,15.0,1783.63,1779171378.302585,1779171380.087005
sess-0033-76fe384d,react,SUCCESS,7,500,15.0,15.0,1935.29,1779171378.227168,1779171380.163225
sess-0041-6f2df6b0,plan_and_solve,SUCCESS,3,500,11.0,11.0,1768.00,1779171378.792020,1779171380.560401
