session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-c43921be,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.25,1779172667.709610,1779172667.714125
sess-0001-75dab361,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.41,1779172667.727324,1779172667.728892
sess-0003-ed5bc0a6,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.22,1779172667.820753,1779172667.824098
sess-0007-6375a877,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.11,1779172667.876085,1779172667.879287
sess-0008-e3b4f175,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.80,1779172667.929263,1779172667.931191
sess-0011-276aa91a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.66,1779172667.978249,1779172667.981086
sess-0013-5204f567,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.23,1779172668.097918,1779172668.101363
sess-0015-45c6b06f,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.15,1779172668.113509,1779172668.116749
sess-0016-a778b167,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,0.90,1779172668.119385,1779172668.120347
sess-0017-c537ec33,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.99,1779172668.128864,1779172668.129917
sess-0018-1e0f5445,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.56,1779172668.144613,1779172668.146273
sess-0020-abac14ae,react,SUCCESS,2,500,2.0,2.0,10.66,1779172668.175103,1779172668.185988
sess-0021-9ad83476,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.58,1779172668.206569,1779172668.208368
sess-0024-1f9e79cb,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.78,1779172668.253444,1779172668.256364
sess-0002-7e15c924,plan_and_solve,SUCCESS,3,500,3.0,3.0,467.58,1779172667.789836,1779172668.257830
sess-0025-6c7e7cb8,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.55,1779172668.268734,1779172668.270487
sess-0027-56a0cd8f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.48,1779172668.316104,1779172668.317774
sess-0029-6a8021f4,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,5.45,1779172668.371236,1779172668.376776
sess-0030-53d98ac8,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.66,1779172668.374391,1779172668.378232
sess-0034-e3d76906,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.10,1779172668.503666,1779172668.506854
sess-0012-dc3fbc5d,react,SUCCESS,4,500,4.0,4.0,472.80,1779172668.053205,1779172668.526481
sess-0036-a35b9ecc,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.69,1779172668.626742,1779172668.628543
sess-0037-2ee24613,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.41,1779172668.642267,1779172668.643827
sess-0038-a8596012,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.19,1779172668.657745,1779172668.660133
sess-0039-9b2ac626,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.99,1779172668.685209,1779172668.688299
sess-0040-30316b9f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.63,1779172668.703471,1779172668.705315
sess-0041-3a619e4b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.54,1779172668.718810,1779172668.720532
sess-0042-f7d698e5,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.80,1779172668.734206,1779172668.737117
sess-0043-b577c3b9,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.20,1779172668.735134,1779172668.738431
sess-0044-6a466c47,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.67,1779172668.795626,1779172668.797414
sess-0045-f702cdd5,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.46,1779172668.810997,1779172668.812540
sess-0046-fb168f07,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.80,1779172668.839098,1779172668.841069
sess-0047-8fd05d7c,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.52,1779172668.856841,1779172668.858563
sess-0048-43c7612f,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.41,1779172668.872500,1779172668.874007
sess-0049-105dd6af,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.42,1779172668.903018,1779172668.904561
sess-0009-ad049941,plan_and_solve,SUCCESS,5,500,9.0,9.0,975.20,1779172667.947984,1779172668.923769
sess-0052-caa38da7,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.44,1779172669.026034,1779172669.027576
sess-0019-c9abc693,react,SUCCESS,2,500,6.0,6.0,874.32,1779172668.159503,1779172669.034039
sess-0053-e97e9305,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.38,1779172669.083065,1779172669.084636
sess-0026-f65aa551,react,SUCCESS,7,500,7.0,7.0,786.34,1779172668.300836,1779172669.087884
sess-0055-37e5cc37,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.53,1779172669.149097,1779172669.150726
sess-0010-1653b857,react,SUCCESS,5,500,9.0,9.0,1186.88,1779172667.975765,1779172669.163181
sess-0056-62f0282d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.48,1779172669.203446,1779172669.205111
sess-0057-c12acd26,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.33,1779172669.210296,1779172669.211792
