session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-0c101acb,react,SUCCESS,2,500,2.0,2.0,333.24,1779172620.364668,1779172620.698113
sess-0002-89e1c80c,plan_and_solve,SUCCESS,3,500,3.0,3.0,554.41,1779172620.278004,1779172620.832819
sess-0016-c0ac7270,react,SUCCESS,1,500,1.0,1.0,377.81,1779172620.646531,1779172621.024456
sess-0001-dcd4589b,react,SUCCESS,6,500,10.0,10.0,1174.26,1779172620.216995,1779172621.391858
sess-0020-f0b74160,react,SUCCESS,2,500,2.0,2.0,867.02,1779172620.707319,1779172621.574538
sess-0011-33ee6fe2,plan_and_solve,SUCCESS,3,500,7.0,7.0,1222.85,1779172620.482192,1779172621.705440
sess-0009-df344361,plan_and_solve,SUCCESS,5,500,9.0,9.0,1592.82,1779172620.448544,1779172622.041992
sess-0019-9d8cda9e,react,SUCCESS,2,500,6.0,6.0,1658.83,1779172620.692545,1779172622.351612
sess-0012-4374d55f,react,SUCCESS,4,500,4.0,4.0,1928.68,1779172620.555065,1779172622.484160
sess-0010-9b55d3f4,react,SUCCESS,5,500,9.0,9.0,2499.65,1779172620.479866,1779172622.980054
sess-0003-221574a3,react,SUCCESS,4,500,12.0,12.0,2798.89,1779172620.308360,1779172623.107730
sess-0005-6f0ea373,plan_and_solve,SUCCESS,6,500,14.0,14.0,3105.87,1779172620.355118,1779172623.461776
sess-0008-8b4e916d,react,SUCCESS,5,500,13.0,13.0,3424.98,1779172620.417491,1779172623.843039
sess-0022-317dcb8a,plan_and_solve,SUCCESS,5,500,9.0,9.0,2829.38,1779172621.024529,1779172623.854505
sess-0006-e4b7262e,plan_and_solve,SUCCESS,6,500,14.0,14.0,3557.34,1779172620.362529,1779172623.920601
sess-0000-0bb3c29c,plan_and_solve,SUCCESS,5,500,17.0,17.0,3802.08,1779172620.199256,1779172624.001927
sess-0024-ed930496,plan_and_solve,SUCCESS,3,500,11.0,11.0,2703.44,1779172621.574588,1779172624.278392
sess-0015-4318d30a,react,SUCCESS,6,500,14.0,14.0,3670.12,1779172620.631261,1779172624.302012
sess-0029-a3e6bf65,react,SUCCESS,3,500,3.0,3.0,1330.99,1779172622.980106,1779172624.311423
