session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-d12a2d9b,react,SUCCESS,2,500,2.0,2.0,333.88,1779173126.955137,1779173127.289252
sess-0002-3b713788,plan_and_solve,SUCCESS,3,500,3.0,3.0,576.29,1779173126.868671,1779173127.445398
sess-0016-669074f7,react,SUCCESS,1,500,1.0,1.0,398.06,1779173127.224839,1779173127.623018
sess-0001-ae71c22f,react,SUCCESS,6,500,10.0,10.0,1175.24,1779173126.807335,1779173127.983216
sess-0020-d0a4ca69,react,SUCCESS,2,500,2.0,2.0,1295.00,1779173127.302476,1779173128.597719
sess-0011-4853030d,plan_and_solve,SUCCESS,3,500,7.0,7.0,1627.48,1779173127.056294,1779173128.684181
sess-0009-d22f8432,plan_and_solve,SUCCESS,5,500,9.0,9.0,1821.75,1779173127.027346,1779173128.849777
sess-0019-bda1484f,react,SUCCESS,2,500,6.0,6.0,1684.35,1779173127.286687,1779173128.971265
sess-0012-d1fbbd9b,react,SUCCESS,4,500,4.0,4.0,1952.23,1779173127.131789,1779173129.084495
sess-0029-9a41b5c5,react,SUCCESS,3,500,3.0,3.0,2334.08,1779173127.487933,1779173129.822374
sess-0028-52bacfa6,react,SUCCESS,3,500,7.0,7.0,3065.63,1779173127.457129,1779173130.523126
sess-0003-b18260e3,react,SUCCESS,4,500,12.0,12.0,3721.07,1779173126.898816,1779173130.620293
sess-0010-e43f684d,react,SUCCESS,5,500,9.0,9.0,3593.07,1779173127.054156,1779173130.647749
sess-0039-86b2e871,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1011.35,1779173129.822443,1779173130.833912
sess-0022-1a80b8b9,plan_and_solve,CASCADE_FAILED,5,500,7.0,0.0,3548.22,1779173127.348543,1779173130.897296
sess-0024-41d326b0,plan_and_solve,SUCCESS,3,500,11.0,11.0,3692.31,1779173127.379157,1779173131.071824
sess-0005-f85e9a72,plan_and_solve,SUCCESS,6,500,14.0,14.0,4209.55,1779173126.945610,1779173131.155998
sess-0008-92684dbe,react,SUCCESS,5,500,13.0,13.0,4506.82,1779173127.007748,1779173131.515129
sess-0031-3456a95b,plan_and_solve,SUCCESS,5,500,5.0,5.0,4039.78,1779173127.517817,1779173131.558222
sess-0027-1bd31278,plan_and_solve,SUCCESS,5,500,9.0,9.0,4157.10,1779173127.441650,1779173131.599453
sess-0000-6899c2c4,plan_and_solve,SUCCESS,5,500,17.0,17.0,5098.26,1779173126.790980,1779173131.889767
sess-0044-32580c6a,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1006.05,1779173130.897359,1779173131.903521
sess-0037-c7dd0d5d,plan_and_solve,SUCCESS,3,500,7.0,7.0,3096.60,1779173128.971439,1779173132.068435
sess-0013-48a8e840,plan_and_solve,SUCCESS,5,500,17.0,17.0,5034.22,1779173127.178467,1779173132.213189
sess-0025-d5dfbf6f,plan_and_solve,SUCCESS,6,500,10.0,10.0,4862.98,1779173127.394753,1779173132.258520
sess-0026-3625e24a,react,SUCCESS,7,500,7.0,7.0,4909.10,1779173127.426313,1779173132.336198
sess-0006-f0c425c4,plan_and_solve,SUCCESS,6,500,14.0,14.0,5465.78,1779173126.952928,1779173132.419519
sess-0032-e0800d50,react,SUCCESS,6,500,6.0,6.0,4798.31,1779173127.623090,1779173132.421999
sess-0035-05c32cee,react,SUCCESS,5,500,5.0,5.0,3872.30,1779173128.684250,1779173132.557058
sess-0036-0e96ac46,react,SUCCESS,5,500,5.0,5.0,3837.39,1779173128.849856,1779173132.687758
sess-0015-502daa57,react,SUCCESS,6,500,14.0,14.0,5563.62,1779173127.209720,1779173132.774007
sess-0038-6987f720,plan_and_solve,SUCCESS,4,500,8.0,8.0,4020.47,1779173129.084569,1779173133.105447
sess-0014-15b803d3,plan_and_solve,SUCCESS,6,500,18.0,18.0,6102.31,1779173127.194759,1779173133.297767
sess-0023-94f55352,react,SUCCESS,6,500,18.0,18.0,6365.62,1779173127.363649,1779173133.729878
sess-0048-7c7e9162,react,SUCCESS,2,500,6.0,6.0,2176.32,1779173131.558376,1779173133.734934
sess-0004-33a08d0f,react,SUCCESS,7,500,19.0,19.0,6883.50,1779173126.929961,1779173133.814285
sess-0054-73cd2544,react,SUCCESS,2,500,2.0,2.0,1665.20,1779173132.258695,1779173133.924132
sess-0018-92ee1364,react,SUCCESS,6,500,18.0,18.0,6684.85,1779173127.265166,1779173133.950691
sess-0017-f981c95c,react,SUCCESS,7,500,19.0,19.0,7053.74,1779173127.240571,1779173134.295062
sess-0041-5bf2a1ac,plan_and_solve,SUCCESS,3,500,11.0,11.0,3685.17,1779173130.620358,1779173134.305856
sess-0042-3c7d7e96,react,SUCCESS,4,500,12.0,12.0,3659.29,1779173130.647830,1779173134.307565
sess-0060-0a14f101,react,SUCCESS,2,500,2.0,2.0,1608.37,1779173132.774197,1779173134.382793
sess-0030-85c28628,plan_and_solve,SUCCESS,7,500,19.0,19.0,6894.34,1779173127.490287,1779173134.385390
sess-0033-7d81b023,react,SUCCESS,7,500,15.0,15.0,6837.68,1779173127.983302,1779173134.821765
sess-0034-e648d5ee,react,SUCCESS,7,500,15.0,15.0,6243.56,1779173128.597878,1779173134.842216
sess-0021-1f752b97,plan_and_solve,SUCCESS,7,500,19.0,19.0,7552.20,1779173127.332794,1779173134.885866
sess-0040-dbaf3df8,plan_and_solve,SUCCESS,5,500,9.0,9.0,4423.69,1779173130.523198,1779173134.947490
sess-0069-e14747d5,react,SUCCESS,1,500,1.0,1.0,781.54,1779173134.305929,1779173135.087537
sess-0070-c48e28a4,react,SUCCESS,1,500,1.0,1.0,820.88,1779173134.307632,1779173135.128584
sess-0049-96662ae3,react,SUCCESS,4,500,8.0,8.0,3529.36,1779173131.599523,1779173135.129289
sess-0055-71103734,react,SUCCESS,4,500,4.0,4.0,2860.83,1779173132.336270,1779173135.197506
sess-0058-759773c1,react,SUCCESS,3,500,3.0,3.0,2644.40,1779173132.557130,1779173135.201811
sess-0073-df4b82df,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.97,1779173134.821842,1779173135.839998
sess-0046-17a9d2b6,plan_and_solve,SUCCESS,6,500,10.0,10.0,5240.64,1779173131.156069,1779173136.397425
sess-0050-971531cc,react,SUCCESS,4,500,12.0,12.0,4545.46,1779173131.889840,1779173136.435702
sess-0045-72a0f0ab,react,SUCCESS,7,500,11.0,11.0,5554.28,1779173131.071850,1779173136.626927
sess-0059-c2590bcb,react,SUCCESS,4,500,8.0,8.0,4064.18,1779173132.687830,1779173136.752419
sess-0056-dbdca5c7,plan_and_solve,SUCCESS,4,500,12.0,12.0,4386.14,1779173132.419688,1779173136.806285
sess-0047-a2c62083,plan_and_solve,SUCCESS,6,500,10.0,10.0,5304.21,1779173131.515198,1779173136.820154
sess-0062-f28e0dc7,react,SUCCESS,4,500,8.0,8.0,3577.35,1779173133.297841,1779173136.875659
sess-0072-74012a09,react,SUCCESS,4,500,4.0,4.0,2845.76,1779173134.385459,1779173137.231666
sess-0065-6408e037,plan_and_solve,SUCCESS,5,500,5.0,5.0,3514.39,1779173133.814453,1779173137.329448
sess-0052-47e10d1b,react,SUCCESS,5,500,13.0,13.0,5358.91,1779173132.068505,1779173137.427990
sess-0067-5f06cf0d,plan_and_solve,SUCCESS,4,500,8.0,8.0,3567.27,1779173133.950761,1779173137.518549
sess-0093-ec2ada10,react,SUCCESS,1,500,1.0,1.0,201.15,1779173137.518656,1779173137.719925
sess-0068-cae2cf21,react,SUCCESS,4,500,8.0,8.0,3524.94,1779173134.295136,1779173137.820450
sess-0064-a7bd6667,react,SUCCESS,5,500,9.0,9.0,4165.71,1779173133.735002,1779173137.901233
sess-0081-179e6de6,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,2704.08,1779173135.201835,1779173137.906235
sess-0063-96d23d34,plan_and_solve,SUCCESS,5,500,9.0,9.0,4279.85,1779173133.729964,1779173138.010400
sess-0086-d76dda5b,react,SUCCESS,2,500,2.0,2.0,1348.87,1779173136.752503,1779173138.101603
sess-0043-bc67c892,react,SUCCESS,7,500,19.0,19.0,7307.97,1779173130.833983,1779173138.142749
sess-0080-56f3cf1c,react,SUCCESS,4,500,8.0,8.0,3150.68,1779173135.197533,1779173138.348637
sess-0057-5731755a,plan_and_solve,SUCCESS,6,500,14.0,14.0,5948.60,1779173132.422076,1779173138.371407
sess-0076-f96a00d4,react,SUCCESS,4,500,8.0,8.0,3509.99,1779173134.947551,1779173138.457993
sess-0096-2f131d7e,react,SUCCESS,1,500,1.0,1.0,601.99,1779173137.901308,1779173138.503411
sess-0061-877d2dbd,plan_and_solve,SUCCESS,6,500,10.0,10.0,5459.77,1779173133.105516,1779173138.565981
sess-0077-289b48fd,plan_and_solve,SUCCESS,4,500,8.0,8.0,3649.00,1779173135.087565,1779173138.736963
sess-0066-6069956f,plan_and_solve,SUCCESS,6,500,6.0,6.0,4819.71,1779173133.924199,1779173138.744590
sess-0087-97c00921,react,SUCCESS,2,500,6.0,6.0,2102.36,1779173136.806376,1779173138.908977
