timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject,gateway_latency_us
1779173773.936037,sess-0007-f55f174b,react,SUCCESS,r1,web_fetch,success,158.96,500,0,,2.0,2.0,False,0.0
1779173774.095118,sess-0007-f55f174b,react,SUCCESS,r2,web_fetch,success,171.38,500,0,,2.0,2.0,False,0.0
1779173773.847751,sess-0002-c6fac49c,plan_and_solve,SUCCESS,s1,web_fetch,success,156.38,500,0,,3.0,3.0,False,0.0
1779173774.004249,sess-0002-c6fac49c,plan_and_solve,SUCCESS,s2,web_fetch,success,155.44,500,0,,3.0,3.0,False,0.0
1779173774.159796,sess-0002-c6fac49c,plan_and_solve,SUCCESS,s3,web_fetch,success,246.02,500,0,,3.0,3.0,False,0.0
1779173774.218921,sess-0016-88034e27,react,SUCCESS,r1,calculate,success,380.45,500,0,,1.0,1.0,False,0.0
1779173773.786241,sess-0001-971f4eb0,react,SUCCESS,r1,calculate,success,5.57,500,0,,10.0,10.0,False,0.0
1779173773.791865,sess-0001-971f4eb0,react,SUCCESS,r2,web_fetch,success,154.46,500,0,,10.0,10.0,False,0.0
1779173773.946418,sess-0001-971f4eb0,react,SUCCESS,r3,calculate,success,4.49,500,0,,10.0,10.0,False,0.0
1779173773.951029,sess-0001-971f4eb0,react,SUCCESS,r4,calculate,success,4.41,500,0,,10.0,10.0,False,0.0
1779173773.955517,sess-0001-971f4eb0,react,SUCCESS,r5,web_fetch,success,155.46,500,0,,10.0,10.0,False,0.0
1779173774.111091,sess-0001-971f4eb0,react,SUCCESS,r6,mock_heavy,success,849.75,500,0,,10.0,10.0,False,0.0
1779173774.279439,sess-0020-e543629f,react,SUCCESS,r1,calculate,success,481.73,500,0,,2.0,2.0,False,0.0
1779173774.761279,sess-0020-e543629f,react,SUCCESS,r2,calculate,success,997.81,500,0,,2.0,2.0,False,0.0
1779173774.018743,sess-0009-af6bd336,plan_and_solve,SUCCESS,s1,calculate,success,5.95,500,0,,9.0,9.0,False,0.0
1779173774.024797,sess-0009-af6bd336,plan_and_solve,SUCCESS,s2,calculate,success,4.44,500,0,,9.0,9.0,False,0.0
1779173774.029341,sess-0009-af6bd336,plan_and_solve,SUCCESS,s3,web_fetch,success,155.41,500,0,,9.0,9.0,False,0.0
1779173774.184859,sess-0009-af6bd336,plan_and_solve,SUCCESS,s4,calculate,success,225.64,500,0,,9.0,9.0,False,0.0
1779173774.410599,sess-0009-af6bd336,plan_and_solve,SUCCESS,s5,mock_heavy,success,1407.14,500,0,,9.0,9.0,False,0.0
1779173774.051755,sess-0011-b61ada44,plan_and_solve,SUCCESS,s1,calculate,success,61.14,500,0,,7.0,7.0,False,0.0
1779173774.113002,sess-0011-b61ada44,plan_and_solve,SUCCESS,s2,mock_heavy,success,874.17,500,0,,7.0,7.0,False,0.0
1779173774.987281,sess-0011-b61ada44,plan_and_solve,SUCCESS,s3,calculate,success,1016.06,500,0,,7.0,7.0,False,0.0
1779173774.371400,sess-0025-bc547cfa,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,739.21,500,0,,1.0,0.0,False,0.0
1779173775.110715,sess-0025-bc547cfa,plan_and_solve,CASCADE_FAILED,s2,calculate,error,1006.28,500,,,1.0,0.0,False,0.0
1779173774.185822,sess-0014-ec60041f,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,1031.55,500,0,,5.0,0.0,False,0.0
1779173775.217486,sess-0014-ec60041f,plan_and_solve,CASCADE_FAILED,s2,web_fetch,error,1015.54,500,,,5.0,0.0,False,0.0
1779173774.463054,sess-0029-014b2031,react,CASCADE_FAILED,r1,web_fetch,success,834.67,500,0,,1.0,0.0,False,0.0
1779173775.297836,sess-0029-014b2031,react,CASCADE_FAILED,r2,web_fetch,error,1005.55,500,,,1.0,0.0,False,0.0
1779173774.465378,sess-0030-d47b9cc7,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,838.29,500,0,,1.0,0.0,False,0.0
1779173775.303768,sess-0030-d47b9cc7,plan_and_solve,CASCADE_FAILED,s2,mock_heavy,error,1014.66,500,,,1.0,0.0,False,0.0
1779173773.774786,sess-0000-78538cee,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,806.54,500,0,,6.0,0.0,False,0.0
1779173774.581444,sess-0000-78538cee,plan_and_solve,CASCADE_FAILED,s2,calculate,success,737.17,500,0,,6.0,0.0,False,0.0
1779173775.318721,sess-0000-78538cee,plan_and_solve,CASCADE_FAILED,s3,calculate,error,1015.81,500,,,6.0,0.0,False,0.0
1779173774.665471,sess-0035-925b6231,react,CASCADE_FAILED,r1,calculate,success,694.42,500,0,,1.0,0.0,False,0.0
1779173775.360000,sess-0035-925b6231,react,CASCADE_FAILED,r2,calculate,error,1005.11,500,,,1.0,0.0,False,0.0
1779173774.266795,sess-0019-130c3ac2,react,SUCCESS,r1,mock_heavy,success,1288.38,500,0,,6.0,6.0,False,0.0
1779173775.555297,sess-0019-130c3ac2,react,SUCCESS,r2,calculate,success,978.07,500,0,,6.0,6.0,False,0.0
1779173774.758682,sess-0040-32ded904,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,1095.73,500,0,,1.0,0.0,False,0.0
1779173775.854517,sess-0040-32ded904,plan_and_solve,CASCADE_FAILED,s2,web_fetch,error,1007.01,500,,,1.0,0.0,False,0.0
1779173774.126267,sess-0012-fea5c0c2,react,SUCCESS,r1,calculate,success,125.79,500,0,,4.0,4.0,False,0.0
1779173774.252172,sess-0012-fea5c0c2,react,SUCCESS,r2,web_fetch,success,606.54,500,0,,4.0,4.0,False,0.0
1779173774.858827,sess-0012-fea5c0c2,react,SUCCESS,r3,web_fetch,success,1192.37,500,0,,4.0,4.0,False,0.0
1779173776.051314,sess-0012-fea5c0c2,react,SUCCESS,r4,web_fetch,success,1032.20,500,0,,4.0,4.0,False,0.0
1779173773.933863,sess-0006-d93abc3d,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,806.80,500,0,,10.0,0.0,False,0.0
1779173774.740774,sess-0006-d93abc3d,plan_and_solve,CASCADE_FAILED,s2,mock_heavy,success,1741.74,500,0,,10.0,0.0,False,0.0
1779173776.482615,sess-0006-d93abc3d,plan_and_solve,CASCADE_FAILED,s3,web_fetch,error,1012.19,500,,,10.0,0.0,False,0.0
1779173774.745399,sess-0039-65eaab93,react,CASCADE_FAILED,r1,mock_heavy,success,1748.87,500,0,,5.0,0.0,False,0.0
1779173776.494377,sess-0039-65eaab93,react,CASCADE_FAILED,r2,web_fetch,error,1015.58,500,,,5.0,0.0,False,0.0
1779173773.879158,sess-0003-b8a27981,react,CASCADE_FAILED,r1,mock_heavy,success,806.36,500,0,,7.0,0.0,False,0.0
1779173774.685636,sess-0003-b8a27981,react,CASCADE_FAILED,r2,web_fetch,success,839.59,500,0,,7.0,0.0,False,0.0
