timestamp,session_id,mode,session_state,step_id,tool_name,status,latency_ms,budget,locked_price,regime,raw_goodput,effective_goodput,shadow_would_reject,gateway_latency_us
1779174304.820102,sess-0007-282f4d27,react,SUCCESS,r1,web_fetch,success,155.00,500,12,,2.0,2.0,False,0.0
1779174304.975155,sess-0007-282f4d27,react,SUCCESS,r2,web_fetch,success,173.47,500,20,,2.0,2.0,False,0.0
1779174304.734060,sess-0002-27959b7a,plan_and_solve,SUCCESS,s1,web_fetch,success,156.44,500,9,,3.0,3.0,False,0.0
1779174304.890561,sess-0002-27959b7a,plan_and_solve,SUCCESS,s2,web_fetch,success,156.53,500,14,,3.0,3.0,False,0.0
1779174305.047183,sess-0002-27959b7a,plan_and_solve,SUCCESS,s3,web_fetch,success,257.31,500,27,,3.0,3.0,False,0.0
1779174305.070788,sess-0016-be7d3678,react,SUCCESS,r1,calculate,success,516.81,500,35,,1.0,1.0,False,0.0
1779174304.673078,sess-0001-e0b32efe,react,SUCCESS,r1,calculate,success,5.03,500,2,,10.0,10.0,False,0.0
1779174304.678179,sess-0001-e0b32efe,react,SUCCESS,r2,web_fetch,success,154.20,500,8,,10.0,10.0,False,0.0
1779174304.832426,sess-0001-e0b32efe,react,SUCCESS,r3,calculate,success,3.37,500,8,,10.0,10.0,False,0.0
1779174304.835837,sess-0001-e0b32efe,react,SUCCESS,r4,calculate,success,3.35,500,8,,10.0,10.0,False,0.0
1779174304.839222,sess-0001-e0b32efe,react,SUCCESS,r5,web_fetch,success,156.73,500,11,,10.0,10.0,False,0.0
1779174304.996072,sess-0001-e0b32efe,react,SUCCESS,r6,mock_heavy,success,851.84,500,48,,10.0,10.0,False,0.0
1779174305.147629,sess-0020-c4491667,react,SUCCESS,r1,calculate,success,493.13,500,38,,2.0,2.0,False,0.0
1779174305.640867,sess-0020-c4491667,react,SUCCESS,r2,calculate,success,955.77,500,63,,2.0,2.0,False,0.0
1779174305.678939,sess-0041-0303acab,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,1017.18,500,,,0.0,0.0,False,0.0
1779174305.767744,sess-0045-29251001,react,REJECTED_AT_STEP_0,r1,calculate,error,1005.52,500,,,0.0,0.0,False,0.0
1779174305.117231,sess-0018-f73a70c7,react,CASCADE_FAILED,r1,web_fetch,success,649.47,500,44,,1.0,0.0,False,0.0
1779174305.766826,sess-0018-f73a70c7,react,CASCADE_FAILED,r2,mock_heavy,error,1008.02,500,,,1.0,0.0,False,0.0
1779174305.803995,sess-0047-4170633e,plan_and_solve,REJECTED_AT_STEP_0,s1,web_fetch,error,1016.10,500,,,0.0,0.0,False,0.0
1779174305.821268,sess-0048-6fa17d5e,react,REJECTED_AT_STEP_0,r1,mock_heavy,error,1014.63,500,,,0.0,0.0,False,0.0
1779174305.848034,sess-0049-782b5e85,react,REJECTED_AT_STEP_0,r1,calculate,error,1019.96,500,,,0.0,0.0,False,0.0
1779174304.916969,sess-0011-d59555c3,plan_and_solve,CASCADE_FAILED,s1,calculate,success,80.60,500,11,,6.0,0.0,False,0.0
1779174304.997667,sess-0011-d59555c3,plan_and_solve,CASCADE_FAILED,s2,mock_heavy,success,861.40,500,49,,6.0,0.0,False,0.0
1779174305.859114,sess-0011-d59555c3,plan_and_solve,CASCADE_FAILED,s3,calculate,error,1009.72,500,,,6.0,0.0,False,0.0
1779174305.859495,sess-0050-6bf823a8,react,REJECTED_AT_STEP_0,r1,web_fetch,error,1023.27,500,,,0.0,0.0,False,0.0
1779174305.284617,sess-0026-cd8f8ee6,react,CASCADE_FAILED,r1,calculate,success,595.25,500,50,,1.0,0.0,False,0.0
1779174305.879909,sess-0026-cd8f8ee6,react,CASCADE_FAILED,r2,calculate,error,1019.80,500,,,1.0,0.0,False,0.0
1779174305.040788,sess-0013-402910a6,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,890.05,500,50,,5.0,0.0,False,0.0
1779174305.930931,sess-0013-402910a6,plan_and_solve,CASCADE_FAILED,s2,calculate,error,1013.27,500,,,5.0,0.0,False,0.0
1779174305.931657,sess-0051-2811b66a,react,REJECTED_AT_STEP_0,r1,calculate,error,1013.09,500,,,0.0,0.0,False,0.0
1779174304.891085,sess-0009-cf3e7922,plan_and_solve,SUCCESS,s1,calculate,success,4.85,500,10,,9.0,9.0,False,0.0
1779174304.895987,sess-0009-cf3e7922,plan_and_solve,SUCCESS,s2,calculate,success,3.24,500,10,,9.0,9.0,False,0.0
1779174304.899281,sess-0009-cf3e7922,plan_and_solve,SUCCESS,s3,web_fetch,success,155.09,500,15,,9.0,9.0,False,0.0
1779174305.054480,sess-0009-cf3e7922,plan_and_solve,SUCCESS,s4,calculate,success,407.58,500,33,,9.0,9.0,False,0.0
1779174305.462104,sess-0009-cf3e7922,plan_and_solve,SUCCESS,s5,mock_heavy,success,1486.34,500,73,,9.0,9.0,False,0.0
1779174305.300295,sess-0027-06e24111,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,742.53,500,53,,1.0,0.0,False,0.0
1779174306.042877,sess-0027-06e24111,plan_and_solve,CASCADE_FAILED,s2,calculate,error,1008.32,500,,,1.0,0.0,False,0.0
1779174305.407520,sess-0032-76ec1363,react,CASCADE_FAILED,r1,calculate,success,669.06,500,53,,1.0,0.0,False,0.0
1779174306.076633,sess-0032-76ec1363,react,CASCADE_FAILED,r2,web_fetch,error,1004.87,500,,,1.0,0.0,False,0.0
1779174305.409797,sess-0033-2649a1f2,react,CASCADE_FAILED,r1,calculate,success,685.47,500,54,,1.0,0.0,False,0.0
1779174306.095309,sess-0033-2649a1f2,react,CASCADE_FAILED,r2,web_fetch,error,1018.71,500,,,1.0,0.0,False,0.0
1779174306.105658,sess-0055-0e969bfd,react,REJECTED_AT_STEP_0,r1,calculate,error,1009.82,500,,,0.0,0.0,False,0.0
1779174305.361273,sess-0029-a41fac07,react,CASCADE_FAILED,r1,web_fetch,success,743.99,500,54,,1.0,0.0,False,0.0
1779174306.105313,sess-0029-a41fac07,react,CASCADE_FAILED,r2,web_fetch,error,1011.32,500,,,1.0,0.0,False,0.0
1779174305.048002,sess-0014-d39c52e2,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,1063.74,500,55,,5.0,0.0,False,0.0
1779174306.111780,sess-0014-d39c52e2,plan_and_solve,CASCADE_FAILED,s2,web_fetch,error,1016.77,500,,,5.0,0.0,False,0.0
1779174305.363658,sess-0030-9fd22662,plan_and_solve,CASCADE_FAILED,s1,web_fetch,success,759.98,500,55,,1.0,0.0,False,0.0
1779174306.123680,sess-0030-9fd22662,plan_and_solve,CASCADE_FAILED,s2,mock_heavy,error,1006.12,500,,,1.0,0.0,False,0.0
1779174304.651664,sess-0000-3a5e59a3,plan_and_solve,CASCADE_FAILED,s1,mock_heavy,success,805.61,500,33,,6.0,0.0,False,0.0
1779174305.457331,sess-0000-3a5e59a3,plan_and_solve,CASCADE_FAILED,s2,calculate,success,671.41,500,55,,6.0,0.0,False,0.0
1779174306.128781,sess-0000-3a5e59a3,plan_and_solve,CASCADE_FAILED,s3,calculate,error,1014.93,500,,,6.0,0.0,False,0.0
1779174306.160913,sess-0057-938ba1ed,plan_and_solve,REJECTED_AT_STEP_0,s1,mock_heavy,error,1014.32,500,,,0.0,0.0,True,0.0
1779174306.157904,sess-0056-ea049318,plan_and_solve,REJECTED_AT_STEP_0,s1,calculate,error,1018.41,500,,,0.0,0.0,True,0.0
1779174305.561892,sess-0035-59ded0b4,react,CASCADE_FAILED,r1,calculate,success,609.14,500,57,,1.0,0.0,False,0.0
1779174306.171080,sess-0035-59ded0b4,react,CASCADE_FAILED,r2,calculate,error,1005.41,500,,,1.0,0.0,False,0.0
1779174306.171402,sess-0058-7962c4a7,react,REJECTED_AT_STEP_0,r1,web_fetch,error,1018.43,500,,,0.0,0.0,False,0.0
1779174306.188026,sess-0059-a2adeb20,react,REJECTED_AT_STEP_0,r1,web_fetch,error,1017.28,500,,,0.0,0.0,False,0.0
1779174306.202682,sess-0060-cd993f77,react,REJECTED_AT_STEP_0,r1,web_fetch,error,1018.05,500,,,0.0,0.0,False,0.0
