gateway,concurrency,run_idx,success,partial,rejected_s0,cascade_failed,effective_goodput_s,raw_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,jfi_steps
ng,10,1,300,0,0,0,71.7,71.7,1127.2,2738.2,3389.4,0.8597
ng,10,2,300,0,0,0,71.6,71.6,1129.6,2738.4,3392.0,0.8597
ng,10,3,300,0,0,0,71.59,71.59,1130.2,2738.1,3386.6,0.8597
ng,10,4,300,0,0,0,71.67,71.67,1128.6,2739.1,3390.0,0.8597
ng,10,5,300,0,0,0,71.6,71.6,1127.8,2739.4,3389.9,0.8597
srl,10,1,300,0,0,0,71.62,71.62,1126.7,2738.6,3394.1,0.8597
srl,10,2,300,0,0,0,71.62,71.62,1129.5,2738.4,3389.5,0.8597
srl,10,3,300,0,0,0,71.64,71.64,1126.6,2738.0,3387.9,0.8597
srl,10,4,300,0,0,0,71.6,71.6,1130.4,2738.7,3389.5,0.8597
srl,10,5,300,0,0,0,71.64,71.64,1128.7,2738.3,3389.8,0.8597
sbac,10,1,300,0,0,0,71.62,71.62,1127.3,2740.4,3389.4,0.8597
sbac,10,2,300,0,0,0,71.65,71.65,1127.9,2738.5,3389.2,0.8597
sbac,10,3,300,0,0,0,71.6,71.6,1128.9,2739.0,3389.4,0.8597
sbac,10,4,300,0,0,0,71.61,71.61,1128.7,2737.8,3391.3,0.8597
sbac,10,5,300,0,0,0,71.64,71.64,1128.6,2739.2,3388.8,0.8597
plangate_full,10,1,48,0,252,0,50.62,50.62,1134.6,2742.5,3234.1,0.8707
plangate_full,10,2,41,0,259,0,47.37,47.37,1119.4,2732.6,2738.8,0.8868
plangate_full,10,3,48,0,252,0,52.14,52.14,1432.4,2884.2,3233.9,0.9048
plangate_full,10,4,52,0,248,0,49.81,49.81,1121.8,2732.6,3235.1,0.8678
plangate_full,10,5,54,0,246,0,60.91,60.91,1124.6,2886.5,3233.2,0.8769
ng,20,1,300,0,0,0,69.94,69.94,2646.6,4971.3,5452.3,0.8597
ng,20,2,300,0,0,0,69.82,69.82,2633.0,4880.6,5665.0,0.8597
ng,20,3,300,0,0,0,69.75,69.75,2649.1,4880.7,5523.7,0.8597
ng,20,4,300,0,0,0,69.74,69.74,2702.9,4835.1,5502.8,0.8597
ng,20,5,300,0,0,0,69.8,69.8,2710.7,4795.6,5528.6,0.8597
srl,20,1,300,0,0,0,69.8,69.8,2645.4,4934.0,5522.2,0.8597
srl,20,2,300,0,0,0,70.1,70.1,2619.4,4938.7,5747.7,0.8597
srl,20,3,300,0,0,0,69.55,69.55,2678.3,4897.7,5566.0,0.8597
srl,20,4,300,0,0,0,69.75,69.75,2670.8,4846.2,5556.0,0.8597
