session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-3261678d,react,SUCCESS,2,500,2.0,2.0,337.46,1776098579.191680,1776098579.529141
sess-0016-f63ce90c,react,SUCCESS,1,500,1.0,1.0,591.62,1776098579.380953,1776098579.972578
sess-0001-58c7c354,react,SUCCESS,6,500,10.0,10.0,1182.20,1776098579.052727,1776098580.236082
sess-0015-0243bb81,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1013.99,1776098579.378626,1776098580.393139
sess-0002-50b7e914,plan_and_solve,SUCCESS,3,500,3.0,3.0,1456.22,1776098579.123598,1776098580.579822
sess-0034-1c22cd6e,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1022.10,1776098579.600973,1776098580.623617
sess-0036-477202f7,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1022.85,1776098579.725514,1776098580.748367
sess-0038-a55f2cfd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.82,1776098579.730103,1776098580.749918
sess-0042-9c4252c7,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.17,1776098579.764599,1776098580.780284
sess-0041-a26dfda7,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1019.77,1776098579.761714,1776098580.781479
sess-0043-2ca565f8,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1015.80,1776098579.766413,1776098580.782214
sess-0044-9684b784,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.40,1776098579.819697,1776098580.840102
sess-0000-20ff5abb,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1818.39,1776098579.051748,1776098580.870695
sess-0050-5d185e81,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.18,1776098579.883054,1776098580.902233
sess-0005-e46adce9,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,1820.30,1776098579.187184,1776098581.007995
sess-0020-c9f7869f,react,CASCADE_FAILED,2,500,1.0,0.0,1652.73,1776098579.387677,1776098581.040439
sess-0053-44155839,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1018.24,1776098580.038009,1776098581.056246
sess-0055-eb456c8b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.56,1776098580.100095,1776098581.118711
sess-0046-b5d7629a,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1283.76,1776098579.849765,1776098581.133524
sess-0057-7e5b5306,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1021.61,1776098580.161012,1776098581.182661
sess-0056-b26efa86,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1025.07,1776098580.158252,1776098581.183327
sess-0059-9fa27a3e,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1016.24,1776098580.167087,1776098581.183850
sess-0058-eaa7aee1,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1020.57,1776098580.164299,1776098581.184873
sess-0061-8f1126d7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1015.03,1776098580.170365,1776098581.185437
sess-0062-5e524b7d,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.69,1776098580.172748,1776098581.185437
sess-0060-5a31bb9e,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1017.18,1776098580.169080,1776098581.186314
sess-0063-ed7b9108,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1015.33,1776098580.196706,1776098581.212074
sess-0065-6d99f1fa,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.22,1776098580.200319,1776098581.212637
sess-0064-f047c830,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1014.69,1776098580.197950,1776098581.212637
sess-0067-befdca6c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.62,1776098580.217938,1776098581.227107
sess-0066-385523bb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.29,1776098580.215921,1776098581.228211
sess-0010-413ec0cc,react,CASCADE_FAILED,5,500,2.0,0.0,2000.28,1776098579.256839,1776098581.257122
sess-0068-54d9c478,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1008.88,1776098580.249355,1776098581.258233
sess-0069-318718f6,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1020.28,1776098580.250250,1776098581.271668
sess-0026-61c883d1,react,CASCADE_FAILED,7,500,1.0,0.0,1825.71,1776098579.461682,1776098581.287396
sess-0028-38af1229,react,CASCADE_FAILED,3,500,1.0,0.0,1836.07,1776098579.465940,1776098581.303011
sess-0013-d3edd941,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1944.62,1776098579.373659,1776098581.318281
sess-0070-54de29b9,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1019.86,1776098580.344411,1776098581.364267
sess-0073-f76315cc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.08,1776098580.383252,1776098581.394337
sess-0072-e89f9379,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.66,1776098580.381674,1776098581.394337
sess-0011-80d2e0c4,plan_and_solve,SUCCESS,3,500,7.0,7.0,2161.18,1776098579.256839,1776098581.418541
sess-0027-c1db78c8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2011.80,1776098579.464039,1776098581.475840
sess-0075-36d0b543,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1021.52,1776098580.465085,1776098581.486605
sess-0029-147bda7b,react,CASCADE_FAILED,3,500,1.0,0.0,2010.39,1776098579.492935,1776098581.503436
sess-0014-7536a77f,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,2128.51,1776098579.375515,1776098581.504021
sess-0076-655455bc,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.04,1776098580.484978,1776098581.504021
sess-0077-40737450,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.69,1776098580.493294,1776098581.504538
sess-0079-0db60879,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.96,1776098580.497824,1776098581.517835
sess-0030-83af01ed,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2024.72,1776098579.494536,1776098581.519259
sess-0080-5bde7914,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.84,1776098580.499423,1776098581.519259
sess-0033-eadf1e90,react,CASCADE_FAILED,7,500,1.0,0.0,2017.92,1776098579.532206,1776098581.550125
sess-0081-c3899592,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1013.75,1776098580.536970,1776098581.550817
sess-0083-84acaabe,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1024.47,1776098580.540832,1776098581.565305
sess-0086-8eea22cc,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1017.72,1776098580.548104,1776098581.565872
sess-0032-80e86c3f,react,CASCADE_FAILED,6,500,1.0,0.0,2035.29,1776098579.530143,1776098581.565982
sess-0084-3ae2287a,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1023.65,1776098580.543283,1776098581.567093
sess-0085-3555823b,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1021.25,1776098580.545771,1776098581.567643
sess-0087-56cf3cd0,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1019.84,1776098580.574008,1776098581.594332
sess-0037-f8272604,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,1928.95,1776098579.727829,1776098581.656780
sess-0091-b5a27265,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.20,1776098580.648150,1776098581.657346
sess-0089-d82249b1,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.98,1776098580.645367,1776098581.657866
