session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-c3fe87bf,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.77,1776098879.693383,1776098879.698709
sess-0001-25acd718,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.26,1776098879.694936,1776098879.699283
sess-0002-4bb75f58,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.67,1776098879.773453,1776098879.775121
sess-0004-35e66c5c,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,5.06,1776098879.835986,1776098879.841839
sess-0005-a194e418,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,7.24,1776098879.837878,1776098879.845151
sess-0007-c8eb378a,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.12,1776098879.842997,1776098879.845700
sess-0006-ff2e42f2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.69,1776098879.840008,1776098879.845700
sess-0013-07602c5f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,11.51,1776098880.084239,1776098880.095753
sess-0015-477109f6,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,6.66,1776098880.092074,1776098880.098776
sess-0016-c470b723,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,4.78,1776098880.094538,1776098880.099339
sess-0019-708ff6c3,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.98,1776098880.099339,1776098880.102320
sess-0020-d39b7660,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2.39,1776098880.101319,1776098880.103705
sess-0021-ce5a52a4,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1776098880.131447,1776098880.133447
sess-0024-368619b7,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.00,1776098880.133447,1776098880.135448
sess-0026-122edf83,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,4.00,1776098880.177515,1776098880.181515
sess-0027-de4d9347,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.00,1776098880.178516,1776098880.183515
sess-0028-c729638b,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.00,1776098880.180515,1776098880.184515
sess-0030-31f03f1c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.00,1776098880.202064,1776098880.204065
sess-0031-bdb87ad6,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.55,1776098880.225178,1776098880.229731
sess-0033-63954140,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.10,1776098880.228179,1776098880.231278
sess-0034-036c2df2,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.55,1776098880.302693,1776098880.304248
sess-0035-02e11df8,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.18,1776098880.380633,1776098880.382816
sess-0037-f3e73545,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.18,1776098880.419710,1776098880.422963
sess-0038-7adf92dc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.33,1776098880.421411,1776098880.425745
sess-0039-45278e19,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.60,1776098880.458566,1776098880.462170
sess-0040-3897bbd2,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.51,1776098880.459221,1776098880.463295
sess-0042-e3e85951,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.25,1776098880.462747,1776098880.465997
sess-0041-fc8ca5fb,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,5.96,1776098880.460032,1776098880.465997
