session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0000-c390f19e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,5.50,1776098944.007806,1776098944.013829
sess-0002-eae0d14b,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,2.30,1776098944.087708,1776098944.090549
sess-0004-d4f2f9d6,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,9.16,1776098944.148782,1776098944.157962
sess-0005-3af9724f,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,7.56,1776098944.151414,1776098944.159019
sess-0008-6763d651,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.26,1776098944.177572,1776098944.179834
sess-0013-c050969e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,8.47,1776098944.364182,1776098944.374812
sess-0014-3c5b9b62,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,7.54,1776098944.368964,1776098944.376502
sess-0018-e47f9f0f,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.28,1776098944.377687,1776098944.381965
sess-0019-b6d6e84e,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,5.13,1776098944.379099,1776098944.384744
sess-0020-34571bab,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,4.14,1776098944.380810,1776098944.384946
sess-0016-cd2ef403,react,SUCCESS,1,500,1.0,1.0,11.90,1776098944.373622,1776098944.385518
sess-0021-2dcf4a2c,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,0.98,1776098944.408669,1776098944.410720
sess-0022-47c0bc9d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.17,1776098944.409649,1776098944.410823
sess-0024-970e2352,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.21,1776098944.410823,1776098944.412033
sess-0025-19c17941,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.20,1776098944.411340,1776098944.412590
sess-0026-df2a64c3,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.82,1776098944.411387,1776098944.413210
sess-0027-8540d6ab,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.73,1776098944.412033,1776098944.413762
sess-0030-5978d705,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.67,1776098944.440280,1776098944.442565
sess-0032-217b1cc6,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,5.52,1776098944.455296,1776098944.460820
sess-0033-05c16e21,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,3.69,1776098944.457691,1776098944.461385
sess-0007-5088153d,react,SUCCESS,2,500,2.0,2.0,316.89,1776098944.156434,1776098944.473989
sess-0035-9eae122b,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.62,1776098944.591915,1776098944.593539
sess-0036-80d09774,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,4.70,1776098944.633333,1776098944.638035
sess-0037-33cd965a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,4.08,1776098944.633937,1776098944.638591
sess-0038-af9060ca,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,4.92,1776098944.636520,1776098944.641498
sess-0039-82d6e95b,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.84,1776098944.668415,1776098944.671256
sess-0040-051193a4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.84,1776098944.669041,1776098944.672922
sess-0041-d39864d0,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,3.34,1776098944.670697,1776098944.674033
sess-0042-c97ac081,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.81,1776098944.671809,1776098944.674621
sess-0043-4b980057,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1.69,1776098944.673479,1776098944.675169
sess-0044-45447ca0,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.78,1776098944.729161,1776098944.731942
sess-0046-b3151486,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,4.07,1776098944.759808,1776098944.763881
sess-0047-d3867216,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.51,1776098944.761450,1776098944.764960
sess-0048-c20a8ae7,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.75,1776098944.762572,1776098944.766321
sess-0053-e6f78580,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.56,1776098944.965808,1776098944.968961
sess-0054-75f55d8f,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1.41,1776098945.020864,1776098945.022849
sess-0045-0842398f,react,CASCADE_FAILED,7,500,1.0,0.0,359.95,1776098944.730795,1776098945.091265
sess-0056-2647d617,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,8.61,1776098945.086182,1776098945.094787
sess-0057-8c645832,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,6.78,1776098945.089613,1776098945.096395
sess-0060-9d10bcaf,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,3.89,1776098945.095345,1776098945.100239
sess-0061-0f59de65,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.14,1776098945.097551,1776098945.100852
sess-0062-1ee5b5b6,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,3.70,1776098945.098658,1776098945.102354
sess-0063-515852fc,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.19,1776098945.128102,1776098945.131288
sess-0064-9d9d57d8,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.27,1776098945.129961,1776098945.132268
sess-0065-2ab9510f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.10,1776098945.130103,1776098945.133424
sess-0001-28fc2200,react,SUCCESS,6,500,10.0,10.0,1134.61,1776098944.009773,1776098945.144443
sess-0049-7f231a91,react,CASCADE_FAILED,4,500,1.0,0.0,362.59,1776098944.792201,1776098945.154789
sess-0066-fcdeb985,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,2.52,1776098945.153296,1776098945.155896
sess-0067-7aa69adc,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.85,1776098945.153296,1776098945.156143
sess-0017-6e641357,react,CASCADE_FAILED,7,500,5.0,0.0,811.89,1776098944.375913,1776098945.187805
sess-0068-756b724e,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,2.66,1776098945.186222,1776098945.188879
sess-0009-3f9c868b,plan_and_solve,SUCCESS,5,500,9.0,9.0,983.51,1776098944.209996,1776098945.194580
sess-0051-cb5de917,react,CASCADE_FAILED,7,500,1.0,0.0,332.29,1776098944.866481,1776098945.199835
sess-0023-ed2fe65a,react,CASCADE_FAILED,6,500,5.0,0.0,808.53,1776098944.409649,1776098945.218175
sess-0055-ddaabe7e,react,CASCADE_FAILED,4,500,1.0,0.0,183.03,1776098945.051271,1776098945.234873
sess-0012-28ea9e54,react,SUCCESS,4,500,4.0,4.0,924.98,1776098944.317804,1776098945.242821
sess-0011-fb6c10ac,plan_and_solve,SUCCESS,3,500,7.0,7.0,985.51,1776098944.257331,1776098945.243385
sess-0029-fe118e71,react,SUCCESS,3,500,3.0,3.0,810.69,1776098944.439172,1776098945.249866
