session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-df379f04,react,SUCCESS,2,500,2.0,2.0,395.58,1776098830.476122,1776098830.871697
sess-0016-29af3b0c,react,SUCCESS,1,500,1.0,1.0,488.52,1776098830.680177,1776098831.169233
sess-0001-472a8f09,react,SUCCESS,6,500,10.0,10.0,1186.24,1776098830.342660,1776098831.530526
sess-0002-2ced0cd7,plan_and_solve,CASCADE_FAILED,3,500,2.0,0.0,1389.70,1776098830.407961,1776098831.798227
sess-0032-78c8aad5,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1021.23,1776098830.823458,1776098831.844691
sess-0040-422daa0f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1016.35,1776098831.026804,1776098832.043150
sess-0043-150195b3,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1008.95,1776098831.034199,1776098832.043150
sess-0042-b575124b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.20,1776098831.031489,1776098832.043692
sess-0041-45ae9cb1,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1014.50,1776098831.029187,1776098832.043692
sess-0047-97b190e2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1014.50,1776098831.103603,1776098832.118100
sess-0048-a976cae9,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1012.54,1776098831.106102,1776098832.118642
sess-0050-9de623f3,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.33,1776098831.135137,1776098832.148467
sess-0015-90d08712,react,CASCADE_FAILED,6,500,1.0,0.0,1487.03,1776098830.677811,1776098832.164836
sess-0053-cf61e974,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1010.00,1776098831.286394,1776098832.297450
sess-0005-7cdd619e,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,1831.67,1776098830.470803,1776098832.303590
sess-0020-d5f3b478,react,CASCADE_FAILED,2,500,1.0,0.0,1630.31,1776098830.688221,1776098832.318530
sess-0008-843774aa,react,CASCADE_FAILED,5,500,5.0,0.0,1828.32,1776098830.505883,1776098832.334763
sess-0010-e6d7e1f0,react,CASCADE_FAILED,5,500,2.0,0.0,1777.90,1776098830.557498,1776098832.335397
sess-0054-2be3c45d,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1012.33,1776098831.323072,1776098832.335397
sess-0009-f374433e,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,1803.68,1776098830.546026,1776098832.349710
sess-0018-5a4a8c44,react,CASCADE_FAILED,6,500,1.0,0.0,1743.95,1776098830.684952,1776098832.429427
sess-0057-953f9460,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1016.87,1776098831.413188,1776098832.430577
sess-0058-8d549d48,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1016.28,1776098831.415770,1776098832.432107
sess-0056-0b7daabd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1021.42,1776098831.410683,1776098832.432107
sess-0060-68a9f514,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1022.84,1776098831.421158,1776098832.444001
sess-0061-f43d10ae,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.66,1776098831.423459,1776098832.444636
sess-0062-9e86585a,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.51,1776098831.425160,1776098832.444671
sess-0059-8b5e3262,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1025.78,1776098831.419456,1776098832.445239
sess-0064-9e09f465,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1014.69,1776098831.459472,1776098832.474200
sess-0065-343ad371,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.26,1776098831.461855,1776098832.474721
sess-0021-6feb1199,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1759.96,1776098830.714707,1776098832.474787
sess-0011-922f3037,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,1928.96,1776098830.559783,1776098832.488746
sess-0066-adc8c4cb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.31,1776098831.475277,1776098832.489832
sess-0067-8065c4c3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.22,1776098831.478679,1776098832.489936
sess-0069-27ef6518,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1013.34,1776098831.520065,1776098832.533404
sess-0070-9b141885,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1021.73,1776098831.592306,1776098832.614040
sess-0013-59ab1b14,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1940.85,1776098830.673191,1776098832.614563
sess-0073-b763625f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.86,1776098831.628631,1776098832.641540
sess-0072-2d4a5fed,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.04,1776098831.626504,1776098832.641540
sess-0028-440c0299,react,CASCADE_FAILED,3,500,1.0,0.0,1891.58,1776098830.763880,1776098832.655461
sess-0012-4cdb2fe4,react,CASCADE_FAILED,4,500,2.0,0.0,2020.00,1776098830.635464,1776098832.655461
