session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-86a7eb84,react,SUCCESS,2,500,2.0,2.0,383.93,1776098646.586117,1776098646.970051
sess-0016-92fb933a,react,SUCCESS,1,500,1.0,1.0,235.15,1776098646.753321,1776098646.988471
sess-0022-3660d064,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1011.50,1776098646.775378,1776098647.786882
sess-0015-a277123e,react,CASCADE_FAILED,6,500,1.0,0.0,1233.65,1776098646.751435,1776098647.986193
sess-0002-b66a5e96,plan_and_solve,SUCCESS,3,500,3.0,3.0,1521.13,1776098646.517757,1776098648.039399
sess-0043-9bd44bc9,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1011.69,1776098647.050761,1776098648.062449
sess-0042-32951746,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.13,1776098647.047898,1776098648.063029
sess-0044-476f8990,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.77,1776098647.088694,1776098648.109466
sess-0045-70e21e00,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.29,1776098647.090782,1776098648.110591
sess-0047-3614ae46,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1018.07,1776098647.121309,1776098648.139379
sess-0048-86473c0d,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1015.76,1776098647.124151,1776098648.139948
sess-0049-f2378350,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1020.94,1776098647.149605,1776098648.170542
sess-0050-557cecaf,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.98,1776098647.151602,1776098648.171579
sess-0001-a1ad8c2f,react,SUCCESS,6,500,10.0,10.0,1769.84,1776098646.444137,1776098648.213981
sess-0020-55dc3f55,react,CASCADE_FAILED,2,500,1.0,0.0,1687.98,1776098646.762233,1776098648.450446
sess-0018-d1583352,react,CASCADE_FAILED,6,500,1.0,0.0,1693.20,1776098646.758244,1776098648.451446
