session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0016-90a5ce9e,react,SUCCESS,1,500,1.0,1.0,125.00,1776098727.107633,1776098727.232636
sess-0007-49a9adce,react,SUCCESS,2,500,2.0,2.0,401.87,1776098726.906896,1776098727.308763
sess-0001-240240f2,react,SUCCESS,6,500,10.0,10.0,1261.56,1776098726.779130,1776098728.041374
sess-0020-ad015e54,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1005.62,1776098727.118406,1776098728.124058
sess-0002-731c6ac5,plan_and_solve,SUCCESS,3,500,3.0,3.0,1351.77,1776098726.837581,1776098728.189353
sess-0033-21498395,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1018.00,1776098727.230320,1776098728.248322
sess-0043-f93b3498,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.80,1776098727.450092,1776098728.463892
sess-0042-cb1a569a,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.39,1776098727.447572,1776098728.464967
sess-0048-db332716,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1014.77,1776098727.511209,1776098728.526561
sess-0046-674f53d0,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.91,1776098727.506782,1776098728.528351
sess-0047-31378111,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1019.08,1776098727.509238,1776098728.528351
sess-0044-bbf9ca66,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1026.59,1776098727.502327,1776098728.528913
sess-0045-08610169,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1025.73,1776098727.504510,1776098728.530241
sess-0051-bfc90e48,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.86,1776098727.588334,1776098728.602199
sess-0006-a475d363,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1818.68,1776098726.904491,1776098728.724289
sess-0005-46d0d955,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,1837.17,1776098726.902285,1776098728.740004
sess-0055-9e72da51,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.31,1776098727.725658,1776098728.740972
sess-0008-898fd203,react,CASCADE_FAILED,5,500,5.0,0.0,1832.17,1776098726.943088,1776098728.775262
sess-0009-e251c0a5,plan_and_solve,CASCADE_FAILED,5,500,4.0,0.0,1807.32,1776098726.976932,1776098728.785286
sess-0058-70ea86f9,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1014.46,1776098727.803839,1776098728.818295
sess-0057-95cf9486,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1017.03,1776098727.801265,1776098728.818295
sess-0059-285f4b65,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.53,1776098727.806767,1776098728.820294
sess-0061-d3bb1fa0,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.88,1776098727.810868,1776098728.832306
sess-0062-b1442530,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.22,1776098727.813663,1776098728.832884
sess-0060-e1d50727,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1024.43,1776098727.809014,1776098728.833439
sess-0063-d5cfaaec,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1021.18,1776098727.843473,1776098728.864655
sess-0064-feda9533,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1019.44,1776098727.845733,1776098728.865209
sess-0018-0ed2a790,react,CASCADE_FAILED,6,500,1.0,0.0,1753.95,1776098727.111809,1776098728.865761
sess-0065-24a6d013,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.27,1776098727.847312,1776098728.867581
sess-0067-d1204d1f,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.91,1776098727.852230,1776098728.868138
sess-0066-bbe505e9,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1019.40,1776098727.850133,1776098728.869536
sess-0068-0cb5356d,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1020.02,1776098727.891953,1776098728.912052
sess-0069-267ca16b,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1018.48,1776098727.893571,1776098728.912569
sess-0021-53c22d0c,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1765.30,1776098727.147310,1776098728.912614
sess-0014-4196d8cd,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1823.38,1776098727.103169,1776098728.926544
sess-0004-dbecdab7,react,CASCADE_FAILED,7,500,6.0,0.0,2119.58,1776098726.900568,1776098729.020148
sess-0073-b827f155,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1016.52,1776098728.004174,1776098729.020697
sess-0074-dc88866e,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.39,1776098728.030540,1776098729.049930
sess-0075-472625ca,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1008.56,1776098728.041924,1776098729.050487
sess-0012-cb268e67,react,CASCADE_FAILED,4,500,2.0,0.0,2013.32,1776098727.066962,1776098729.080279
sess-0076-4526a9ec,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.15,1776098728.067199,1776098729.081393
sess-0077-c053ece9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1027.17,1776098728.069485,1776098729.096775
sess-0080-6b177c64,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1020.93,1776098728.076274,1776098729.097199
sess-0078-8f59e927,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1026.30,1776098728.071135,1776098729.097954
sess-0026-71a51fce,react,CASCADE_FAILED,7,500,1.0,0.0,1905.90,1776098727.192557,1776098729.098529
sess-0079-9f503ead,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1024.56,1776098728.073928,1776098729.098529
sess-0028-982293f4,react,CASCADE_FAILED,3,500,1.0,0.0,1945.23,1776098727.195703,1776098729.140957
sess-0081-b76d1ddb,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1021.88,1776098728.119674,1776098729.141552
sess-0083-f7e751c2,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1014.70,1776098728.141587,1776098729.156290
sess-0082-abba05b4,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1016.79,1776098728.140588,1776098729.157782
sess-0025-bafeb92b,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,2003.02,1776098727.155342,1776098729.158359
sess-0085-8b8fb19a,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.59,1776098728.146800,1776098729.159388
sess-0084-081e6de9,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.26,1776098728.144129,1776098729.159388
sess-0086-481713d5,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1023.57,1776098728.148514,1776098729.172086
sess-0087-a7785f0d,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1010.55,1776098728.162565,1776098729.173113
sess-0010-e7d3542d,react,CASCADE_FAILED,5,500,2.0,0.0,2180.74,1776098726.994117,1776098729.174853
sess-0089-44e5f861,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1027.37,1776098728.238715,1776098729.266088
sess-0090-e5d9766a,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1026.52,1776098728.240777,1776098729.267294
sess-0092-09bfd452,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1011.50,1776098728.256487,1776098729.267988
sess-0027-97cedb1a,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2075.36,1776098727.193250,1776098729.268611
sess-0091-3a609281,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1024.69,1776098728.242850,1776098729.268611
sess-0029-cb20d9dc,react,CASCADE_FAILED,3,500,1.0,0.0,2107.43,1776098727.219403,1776098729.326833
sess-0094-cb2d4d7f,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1012.14,1776098728.315256,1776098729.327399
sess-0070-c47382f5,react,SUCCESS,1,500,1.0,1.0,1372.73,1776098727.960779,1776098729.333514
sess-0096-d98b895b,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1023.89,1776098728.319868,1776098729.343808
sess-0098-ad5805ba,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1020.81,1776098728.324422,1776098729.345272
sess-0097-2fa35457,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1025.15,1776098728.321503,1776098729.346649
sess-0099-b33d5bc6,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1020.76,1776098728.325919,1776098729.347224
sess-0101-c7517add,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1017.06,1776098728.329495,1776098729.347861
sess-0100-9af2d8fb,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1020.47,1776098728.328066,1776098729.349015
sess-0103-5a75c0b7,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1024.19,1776098728.334416,1776098729.358697
sess-0104-4f2c175d,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1023.45,1776098728.335801,1776098729.359250
sess-0102-87a3214a,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1026.00,1776098728.333252,1776098729.359250
sess-0035-c798964c,react,CASCADE_FAILED,5,500,1.0,0.0,1995.87,1776098727.364367,1776098729.360237
sess-0030-98faf37b,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2140.09,1776098727.220697,1776098729.360785
sess-0123-e631285d,react,SUCCESS,1,500,1.0,1.0,637.55,1776098728.740972,1776098729.378557
sess-0107-fa1ab1cf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.29,1776098728.389148,1776098729.403435
sess-0109-f2a028e9,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1016.36,1776098728.403188,1776098729.419548
sess-0108-35bdbc16,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.06,1776098728.401036,1776098729.420336
sess-0037-1241c592,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,2022.53,1776098727.398020,1776098729.420553
sess-0011-09e23481,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,2424.69,1776098726.996420,1776098729.421139
sess-0038-c72b6b1e,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,2033.77,1776098727.400174,1776098729.434940
sess-0111-3aa636bd,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1022.76,1776098728.413028,1776098729.436939
sess-0110-89fc1508,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1029.19,1776098728.409367,1776098729.438560
sess-0112-858a85c5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1024.34,1776098728.414225,1776098729.439113
sess-0113-2f7f3a62,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1016.20,1776098728.463892,1776098729.480095
sess-0036-4d0763f5,react,CASCADE_FAILED,5,500,1.0,0.0,2144.90,1776098727.395512,1776098729.540620
sess-0019-ada46671,react,CASCADE_FAILED,2,500,5.0,0.0,2427.16,1776098727.115853,1776098729.543055
sess-0115-01a0ff3d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1016.49,1776098728.526561,1776098729.543055
sess-0117-79f21b9a,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1017.32,1776098728.630855,1776098729.648694
sess-0118-b558b699,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.89,1776098728.632426,1776098729.650411
sess-0040-75bde5f8,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2207.23,1776098727.442845,1776098729.650647
sess-0049-b0199bf1,react,CASCADE_FAILED,4,500,1.0,0.0,2129.96,1776098727.533359,1776098729.663380
sess-0119-d75d7f39,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1012.50,1776098728.665822,1776098729.678325
sess-0023-1a117dc3,react,CASCADE_FAILED,6,500,5.0,0.0,2530.32,1776098727.150370,1776098729.680745
sess-0120-e3d8655d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.80,1776098728.666389,1776098729.680745
sess-0000-8fe6df1c,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,2947.29,1776098726.776425,1776098729.723717
sess-0124-27e7931d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.85,1776098728.741972,1776098729.754818
sess-0122-d7298e3b,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1015.63,1776098728.740004,1776098729.755710
sess-0024-83153a15,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,2633.89,1776098727.152906,1776098729.786792
sess-0127-7f4ccdc0,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1012.88,1776098728.775262,1776098729.788700
sess-0126-4063e23e,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1044.68,1776098728.744253,1776098729.788929
sess-0093-fbb6e853,react,SUCCESS,1,500,1.0,1.0,1509.03,1776098728.291569,1776098729.800600
sess-0128-1f8cbb0f,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1013.86,1776098728.803498,1776098729.818436
sess-0132-306de862,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1012.34,1776098728.806096,1776098729.818436
sess-0131-39810999,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1013.96,1776098728.805553,1776098729.820587
sess-0130-2d5c7f6e,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1015.96,1776098728.804755,1776098729.820781
sess-0129-c12c296e,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1016.58,1776098728.804205,1776098729.820781
sess-0134-7a11149d,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1024.35,1776098728.807928,1776098729.832276
sess-0135-42669cc0,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1017.64,1776098728.861862,1776098729.879505
sess-0139-ea3419d2,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.29,1776098728.865761,1776098729.880154
sess-0138-91937577,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.57,1776098728.865209,1776098729.881435
sess-0137-e080ba3c,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1017.96,1776098728.863495,1776098729.881458
sess-0136-c1fd2590,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1020.03,1776098728.862496,1776098729.882521
sess-0140-3aedacf8,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.29,1776098728.953625,1776098729.972920
sess-0056-8889eb66,plan_and_solve,CASCADE_FAILED,4,500,1.0,0.0,2173.88,1776098727.799041,1776098729.972920
sess-0071-6b5248fe,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,2016.35,1776098727.999578,1776098730.015924
sess-0015-82d6e2d9,react,CASCADE_FAILED,6,500,6.0,0.0,2912.12,1776098727.105760,1776098730.017902
sess-0143-bdb638e3,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.12,1776098729.015511,1776098730.034635
sess-0142-79057f74,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.25,1776098729.014375,1776098730.035199
sess-0146-12d51b87,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1017.40,1776098729.018318,1776098730.035771
sess-0145-3d281304,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1018.18,1776098729.017590,1776098730.035771
sess-0147-4940f4b5,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.83,1776098729.021758,1776098730.036655
sess-0144-e98f1664,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1021.16,1776098729.016712,1776098730.037873
sess-0150-448eb1b9,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1023.71,1776098729.025317,1776098730.049177
sess-0149-300710ab,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1026.18,1776098729.023545,1776098730.049727
sess-0151-c83be895,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1015.71,1776098729.080840,1776098730.097113
sess-0153-cd196fc1,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1013.72,1776098729.082800,1776098730.097113
sess-0152-3e64a2f2,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1014.87,1776098729.082244,1776098730.097113
sess-0154-812c5aa7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1014.73,1776098729.083419,1776098730.098153
sess-0155-beb474d3,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1017.03,1776098729.172713,1776098730.189838
sess-0156-2e262e0e,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1016.25,1776098729.174105,1776098730.190354
sess-0013-ecccbd32,plan_and_solve,CASCADE_FAILED,5,500,6.0,0.0,3089.04,1776098727.100769,1776098730.190354
sess-0157-b9a647cd,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.57,1776098729.201675,1776098730.220246
sess-0158-54ecfa33,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.97,1776098729.232222,1776098730.251754
sess-0159-a6807e24,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1017.93,1776098729.233824,1776098730.251754
sess-0160-ac943871,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1020.03,1776098729.247059,1776098730.267092
sess-0161-6b4bcd2f,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1018.98,1776098729.248116,1776098730.267092
sess-0072-8187f307,react,CASCADE_FAILED,4,500,1.0,0.0,2266.32,1776098728.001968,1776098730.268483
sess-0162-d5e89cd2,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.49,1776098729.266746,1776098730.282234
sess-0163-e002a26e,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1021.01,1776098729.277018,1776098730.298030
sess-0164-8edd905d,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1020.07,1776098729.278259,1776098730.298582
sess-0165-2b4924be,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1019.87,1776098729.279322,1776098730.299195
sess-0039-5291a57a,react,CASCADE_FAILED,6,500,5.0,0.0,2858.41,1776098727.440782,1776098730.299712
sess-0041-cad94ed6,plan_and_solve,CASCADE_FAILED,3,500,5.0,0.0,2867.34,1776098727.445223,1776098730.312560
sess-0166-c63aaf4d,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1007.58,1776098729.304514,1776098730.313139
sess-0169-f7f678b5,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.98,1776098729.308117,1776098730.328302
sess-0095-3f8f5472,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,2011.09,1776098728.317775,1776098730.328993
sess-0168-45ce3660,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1021.93,1776098729.307326,1776098730.329259
sess-0167-7277c71d,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1022.66,1776098729.306594,1776098730.329259
sess-0170-6953e4c7,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1015.66,1776098729.326833,1776098730.343287
sess-0172-04d5d7f3,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.55,1776098729.346087,1776098730.358641
sess-0174-4d5ef023,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1009.07,1776098729.349571,1776098730.359627
sess-0173-2b8ab993,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1011.17,1776098729.347861,1776098730.359627
sess-0178-55e5930a,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.83,1776098729.381373,1776098730.391201
sess-0177-ce374bd4,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1011.01,1776098729.380815,1776098730.391825
sess-0175-e9d70a37,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.90,1776098729.378557,1776098730.392454
sess-0176-75b147a0,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1013.41,1776098729.379611,1776098730.393023
sess-0125-a385917f,react,SUCCESS,1,500,1.0,1.0,1650.64,1776098728.743598,1776098730.394233
sess-0181-f7c95ff4,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1012.44,1776098729.439604,1776098730.452044
sess-0182-36519c45,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.02,1776098729.441021,1776098730.452044
sess-0133-95c1f878,react,SUCCESS,1,500,1.0,1.0,1701.59,1776098728.807168,1776098730.508753
sess-0185-91068c09,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1018.45,1776098729.525517,1776098730.543971
sess-0186-d01609bf,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1018.08,1776098729.541620,1776098730.559698
sess-0052-81f729ed,react,CASCADE_FAILED,5,500,5.0,0.0,2946.87,1776098727.628041,1776098730.574908
sess-0187-3dd7cb1d,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1009.66,1776098729.580788,1776098730.591019
sess-0053-c1d7e86d,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,2916.25,1776098727.674764,1776098730.591019
sess-0191-df331a10,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1018.62,1776098729.602956,1776098730.622087
sess-0190-57dcb101,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1021.63,1776098729.602242,1776098730.623871
sess-0189-bf0e2eb8,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1023.80,1776098729.600597,1776098730.624435
sess-0054-841cdbae,react,SUCCESS,2,500,2.0,2.0,2924.95,1776098727.712512,1776098730.638058
sess-0193-3e55dea5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1019.14,1776098729.679344,1776098730.698659
sess-0195-dc26c641,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1022.27,1776098729.708342,1776098730.730611
sess-0031-ace55fbb,plan_and_solve,CASCADE_FAILED,5,500,2.0,0.0,3505.89,1776098727.224755,1776098730.731187
sess-0196-e017c078,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1022.43,1776098729.708898,1776098730.731887
sess-0197-e68cf026,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1008.96,1776098729.752706,1776098730.761663
sess-0032-0f908310,react,CASCADE_FAILED,6,500,2.0,0.0,3549.85,1776098727.227172,1776098730.777649
sess-0198-ce86df2c,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1005.56,1776098729.787312,1776098730.793486
