session_id,mode,state,n_steps,budget,raw_goodput,effective_goodput,total_latency_ms,start_time,end_time
sess-0007-f3b77994,react,SUCCESS,2,500,2.0,2.0,400.32,1776098792.603486,1776098793.003804
sess-0016-c82f5442,react,SUCCESS,1,500,1.0,1.0,218.10,1776098792.804747,1776098793.022847
sess-0033-097739c8,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1023.95,1776098792.919022,1776098793.942974
sess-0002-a8de6799,plan_and_solve,SUCCESS,3,500,3.0,3.0,1459.32,1776098792.565739,1776098794.025057
sess-0038-0b0d3a40,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.78,1776098793.096129,1776098794.111914
sess-0040-66d1969b,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1010.89,1776098793.101028,1776098794.111914
sess-0042-b40e8348,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1021.37,1776098793.105916,1776098794.127300
sess-0041-58123b77,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1024.41,1776098793.103363,1776098794.127834
sess-0043-003228e5,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1019.47,1776098793.108363,1776098794.127834
sess-0045-0b1e2207,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1024.71,1776098793.169527,1776098794.194237
sess-0048-65a0eb0a,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1016.42,1776098793.203983,1776098794.220406
sess-0047-656c6593,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1018.93,1776098793.201449,1776098794.220951
sess-0001-1a42d317,react,SUCCESS,6,500,10.0,10.0,1727.77,1776098792.503529,1776098794.231846
sess-0000-bd22a34b,plan_and_solve,CASCADE_FAILED,5,500,5.0,0.0,1826.07,1776098792.501545,1776098794.327654
sess-0053-3f269769,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1013.49,1776098793.407448,1776098794.420936
sess-0006-82d46a86,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1819.90,1776098792.601055,1776098794.421504
sess-0020-af3bdfc4,react,CASCADE_FAILED,2,500,1.0,0.0,1623.85,1776098792.813528,1776098794.437373
sess-0005-9e5d0d5c,plan_and_solve,CASCADE_FAILED,6,500,7.0,0.0,1838.99,1776098792.598351,1776098794.437913
sess-0008-1241cee5,react,CASCADE_FAILED,5,500,5.0,0.0,1825.55,1776098792.657977,1776098794.483523
sess-0018-9c6bfe64,react,CASCADE_FAILED,6,500,1.0,0.0,1689.10,1776098792.809805,1776098794.498929
sess-0055-a3e77e14,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1019.04,1776098793.479886,1776098794.498929
sess-0058-95c28a3b,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1048.80,1776098793.558965,1776098794.607760
sess-0057-43115ed5,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1050.85,1776098793.556907,1776098794.607760
sess-0056-2ca84a09,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1052.82,1776098793.554350,1776098794.607760
sess-0059-4e44b42c,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1046.20,1776098793.562031,1776098794.608318
sess-0060-7cdd1d19,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1044.02,1776098793.564262,1776098794.608318
sess-0062-7d109e3b,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1040.38,1776098793.567940,1776098794.608318
sess-0061-354b9b35,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1042.24,1776098793.566022,1776098794.608318
sess-0021-1c5cef81,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,1770.11,1776098792.837998,1776098794.608318
sess-0064-84aa2ba8,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1016.04,1776098793.592278,1776098794.608318
sess-0063-8c7fc260,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1019.22,1776098793.590029,1776098794.609246
sess-0065-7b6239f9,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1015.19,1776098793.594055,1776098794.609246
sess-0067-fbc42295,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1017.73,1776098793.618526,1776098794.636258
sess-0011-fc7d9ca8,plan_and_solve,CASCADE_FAILED,3,500,6.0,0.0,1966.75,1776098792.683836,1776098794.651669
sess-0069-2e2b1e50,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1018.44,1776098793.664126,1776098794.683084
sess-0068-89ddcd39,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1021.06,1776098793.662628,1776098794.683686
sess-0014-f46a10de,plan_and_solve,CASCADE_FAILED,6,500,5.0,0.0,1928.48,1776098792.800592,1776098794.729219
sess-0026-4b5af2cf,react,CASCADE_FAILED,7,500,1.0,0.0,1852.07,1776098792.877154,1776098794.729219
sess-0073-50843ddf,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.14,1776098793.760190,1776098794.775334
sess-0072-9c38caae,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1018.27,1776098793.758424,1776098794.776699
sess-0028-670a53b3,react,CASCADE_FAILED,3,500,1.0,0.0,1894.74,1776098792.882359,1776098794.777252
sess-0070-96b9af7e,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,1023.17,1776098793.754632,1776098794.777802
sess-0071-b4eb5a7d,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1023.13,1776098793.756453,1776098794.779580
sess-0025-890126c8,plan_and_solve,CASCADE_FAILED,6,500,1.0,0.0,1945.67,1776098792.843978,1776098794.789643
sess-0076-f48560c2,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1011.18,1776098793.824891,1776098794.836070
sess-0077-8f69ae7c,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1015.38,1776098793.836774,1776098794.852156
sess-0080-c3b025c3,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1010.22,1776098793.843111,1776098794.853844
sess-0079-83da3590,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.52,1776098793.840950,1776098794.854471
sess-0078-a11775e4,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,1016.19,1776098793.838852,1776098794.855038
sess-0017-10f136c4,react,CASCADE_FAILED,7,500,5.0,0.0,2048.78,1776098792.807166,1776098794.856522
sess-0031-f9de07df,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,1984.21,1776098792.913379,1776098794.897681
sess-0081-83874efd,plan_and_solve,REJECTED_AT_STEP_0,3,500,0.0,0.0,1009.12,1776098793.889108,1776098794.898223
sess-0152-89130d57,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,3.01,1776098794.899217,1776098794.902224
sess-0153-3af01c4e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.30,1776098794.899931,1776098794.902841
sess-0154-03913b19,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.72,1776098794.901083,1776098794.903403
sess-0083-453f1542,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1015.89,1776098793.928321,1776098794.944207
sess-0085-b7f65bc7,plan_and_solve,REJECTED_AT_STEP_0,6,500,0.0,0.0,1012.01,1776098793.932658,1776098794.944808
sess-0084-106e4a41,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1014.44,1776098793.930365,1776098794.944808
sess-0032-58a82f64,react,CASCADE_FAILED,6,500,1.0,0.0,2043.98,1776098792.915255,1776098794.959301
sess-0087-d680bfca,react,REJECTED_AT_STEP_0,2,500,0.0,0.0,1016.94,1776098793.943543,1776098794.960483
sess-0027-245f0b1c,plan_and_solve,CASCADE_FAILED,5,500,1.0,0.0,2081.39,1776098792.879095,1776098794.960483
sess-0029-9c2884e3,react,CASCADE_FAILED,3,500,1.0,0.0,2065.08,1776098792.908072,1776098794.974535
sess-0030-bc8e7f67,plan_and_solve,CASCADE_FAILED,7,500,1.0,0.0,2065.55,1776098792.910672,1776098794.976361
sess-0088-b70dd898,plan_and_solve,REJECTED_AT_STEP_0,4,500,0.0,0.0,1009.04,1776098793.967324,1776098794.976361
sess-0155-547d52ac,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,2.52,1776098794.975056,1776098794.977612
sess-0156-6562b453,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1.80,1776098794.976361,1776098794.978165
sess-0157-2844e796,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1.67,1776098794.989911,1776098794.991581
sess-0092-994960b3,react,REJECTED_AT_STEP_0,3,500,0.0,0.0,1013.95,1776098794.023024,1776098795.037033
sess-0091-d2d89013,plan_and_solve,REJECTED_AT_STEP_0,7,500,0.0,0.0,1018.42,1776098794.019197,1776098795.037614
sess-0158-ed63da3e,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,2.24,1776098795.034816,1776098795.037614
sess-0159-8b5de343,react,REJECTED_AT_STEP_0,1,500,0.0,0.0,2.24,1776098795.036473,1776098795.038717
sess-0160-90cb6723,plan_and_solve,REJECTED_AT_STEP_0,5,500,0.0,0.0,3.10,1776098795.066007,1776098795.069111
sess-0161-dada36e7,react,REJECTED_AT_STEP_0,6,500,0.0,0.0,1.28,1776098795.067832,1776098795.069656
sess-0162-df75d7f9,react,REJECTED_AT_STEP_0,4,500,0.0,0.0,1.57,1776098795.097943,1776098795.099508
sess-0037-97eb2236,plan_and_solve,CASCADE_FAILED,3,500,1.0,0.0,2005.34,1776098793.094315,1776098795.100215
sess-0094-2b24e424,react,REJECTED_AT_STEP_0,5,500,0.0,0.0,1018.42,1776098794.083101,1776098795.101521
sess-0097-9bd4bd88,react,REJECTED_AT_STEP_0,7,500,0.0,0.0,1013.13,1776098794.089476,1776098795.102640
