gateway,run,success,cascade_failed,rejected_s0,success_rate,abd_total,abd_ps,abd_react,goodput
ng,1,25,42,133,12.5,62.7,64.3,61.5,24.26
ng,2,20,42,138,10.0,67.7,70.0,65.6,20.95
ng,3,24,47,129,12.0,66.2,85.2,54.5,23.15
ng,4,27,39,134,13.5,59.1,45.5,72.7,31.42
ng,5,19,48,133,9.5,71.6,71.0,72.2,22.32
rajomon,1,24,38,138,12.0,61.3,66.7,57.1,28.18
rajomon,2,21,48,131,10.5,69.6,73.3,66.7,21.83
rajomon,3,26,35,139,13.0,57.4,55.2,59.4,29.96
rajomon,4,23,47,130,11.5,67.1,64.9,69.7,27.51
rajomon,5,19,48,133,9.5,71.6,63.3,78.4,20.11
rajomon_sb,1,24,41,135,12.0,63.1,65.5,61.1,21.25
rajomon_sb,2,16,53,131,8.0,76.8,79.4,74.3,19.07
rajomon_sb,3,25,37,138,12.5,59.7,53.8,63.9,31.18
rajomon_sb,4,24,43,133,12.0,64.2,72.4,57.9,23.58
rajomon_sb,5,27,40,133,13.5,59.7,72.4,50.0,25.46
sbac,1,26,35,139,13.0,57.4,57.1,57.6,31.18
sbac,2,26,31,143,13.0,54.4,57.1,52.8,32.72
sbac,3,30,31,139,15.0,50.8,55.6,47.1,35.91
sbac,4,27,36,137,13.5,57.1,59.4,54.8,31.18
sbac,5,25,38,137,12.5,60.3,63.0,58.3,30.45
pp,1,19,41,140,9.5,68.3,64.3,71.9,27.19
pp,2,20,42,138,10.0,67.7,65.6,70.0,22.23
pp,3,24,40,136,12.0,62.5,63.0,62.2,26.2
pp,4,25,33,142,12.5,56.9,57.1,56.7,31.02
pp,5,25,36,139,12.5,59.0,51.9,64.7,34.31
pg_nores,1,25,6,169,12.5,19.4,100.0,3.8,55.44
pg_nores,2,26,11,163,13.0,29.7,80.0,21.9,47.17
pg_nores,3,27,9,164,13.5,25.0,75.0,18.8,50.05
pg_nores,4,23,7,170,11.5,23.3,77.8,0.0,48.75
pg_nores,5,24,17,159,12.0,41.5,75.0,33.3,41.79
plangate_full,1,33,4,163,16.5,10.8,0.0,14.3,53.4
plangate_full,2,35,11,154,17.5,23.9,0.0,26.8,49.31
plangate_full,3,34,14,152,17.0,29.2,0.0,31.8,40.35
plangate_full,4,35,8,157,17.5,18.6,0.0,21.1,56.51
plangate_full,5,36,5,159,18.0,12.2,0.0,14.7,52.57
