gateway,run,agents,success,partial,all_rejected,error,cascade_agents,cascade_steps,success_rate,abd_total,eff_gps,agent_tokens,backend_tokens,p50_ms,p95_ms,elapsed_s
ng,1,200,191,8,1,0,9,18,95.5,4.0,0.43,896860,14406,26676.0,54566.0,1669.7
ng,2,200,194,6,0,0,6,15,97.0,3.0,0.44,938193,13044,29481.0,57211.0,1735.2
ng,3,200,194,3,3,0,6,8,97.0,1.5,0.43,922109,13423,29666.0,57284.0,1731.4
ng,4,200,195,3,2,0,5,8,97.5,1.5,0.43,916038,13676,29568.0,55631.0,1727.3
ng,5,200,189,9,2,0,11,27,94.5,4.5,0.4,925710,12382,30141.0,56915.0,1795.3
rajomon,1,200,193,6,1,0,7,11,96.5,3.0,0.43,916960,14522,29576.0,62107.0,1768.6
rajomon,2,200,194,5,1,0,6,14,97.0,2.5,0.42,938252,13488,31032.0,59749.0,1815.5
rajomon,3,200,194,6,0,0,6,21,97.0,3.0,0.43,912317,15153,29211.0,53110.0,1700.1
rajomon,4,200,192,6,2,0,8,17,96.0,3.0,0.37,908164,12978,33139.0,62201.0,1965.1
rajomon,5,200,191,8,1,0,9,19,95.5,4.0,0.38,915311,13020,31567.0,59588.0,1891.7
pp,1,200,193,5,2,0,7,18,96.5,2.5,0.38,911507,13800,33733.0,59322.0,1892.5
pp,2,200,189,10,1,0,11,26,94.5,5.0,0.37,931658,15950,33065.0,57155.0,1955.9
pp,3,200,193,6,1,0,7,17,96.5,3.0,0.43,910660,13693,27636.0,53718.0,1719.4
pp,4,200,188,9,3,0,12,32,94.0,4.6,0.41,922539,13778,28977.0,55851.0,1771.3
pp,5,200,194,6,0,0,6,16,97.0,3.0,0.44,918112,14108,28935.0,54445.0,1684.3
plangate_real,1,200,196,4,0,0,4,13,98.0,2.0,0.43,900239,13446,28993.0,48017.0,1667.5
plangate_real,2,200,192,8,0,0,8,25,96.0,4.0,0.43,953060,13170,30646.0,55814.0,1769.4
plangate_real,3,200,194,5,1,0,6,15,97.0,2.5,0.41,937670,13795,29307.0,59944.0,1823.0
plangate_real,4,200,184,13,3,0,16,34,92.0,6.6,0.39,946869,14051,30849.0,56063.0,1837.9
plangate_real,5,200,196,2,2,0,4,7,98.0,1.0,0.43,920155,13138,29748.0,57743.0,1741.3
