abd_react_max,abd_react_mean,abd_react_min,abd_react_std,abd_total_max,abd_total_mean,abd_total_min,abd_total_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,effective_goodput_s_max,effective_goodput_s_mean,effective_goodput_s_min,effective_goodput_s_std,layer,n,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,react_recovered_success_max,react_recovered_success_mean,react_recovered_success_min,react_recovered_success_std,recoverable_failure_rate,rejected_s0_adaptive_red_max,rejected_s0_adaptive_red_mean,rejected_s0_adaptive_red_min,rejected_s0_adaptive_red_std,rejected_s0_capacity_max,rejected_s0_capacity_mean,rejected_s0_capacity_min,rejected_s0_capacity_std,success_max,success_mean,success_min,success_std,synthetic_recoverable_failure,variant
1133.0,1064.0,999.0,67.089492,2251.0,2234.0,2222.0,15.132746,0.0,0.0,0.0,0.0,5.0,3.333333,2.0,1.527525,40,2.5939,2.396133,2.1266,0.241775,mock_full,3,1086.7,1078.399,1071.614,7.656405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,139.0,130.0,8.185353,22.0,20.333333,18.0,2.081666,False,plangate_adaptive
1237.0,1127.0,997.0,121.243557,2331.0,2312.666667,2301.0,16.072751,0.0,0.0,0.0,0.0,24.0,21.0,18.0,3.0,40,0.7143,0.358533,0.0,0.357158,mock_full,3,1090.688,1076.130667,1060.0,15.404378,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,148.0,136.0,125.0,11.532563,6.0,3.0,0.0,3.0,False,plangate_adaptive
1147.0,1085.0,1043.0,54.808758,2257.0,2250.0,2243.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,1.0,80,2.2326,2.117433,2.0023,0.11515,mock_full,3,1101.099,1091.160333,1084.185,8.837808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,137.333333,127.0,15.373137,19.0,18.0,17.0,1.0,False,plangate_adaptive
1164.0,1120.666667,1052.0,60.144271,2334.0,2315.0,2303.0,16.643317,0.0,0.0,0.0,0.0,18.0,16.333333,15.0,1.527525,80,0.7131,0.556033,0.3596,0.180008,mock_full,3,1085.66,1075.972333,1068.379,8.828812,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,152.0,145.333333,140.0,6.110101,6.0,4.666667,3.0,1.527525,False,plangate_adaptive
1139.0,1070.0,1028.0,60.22458,2257.0,2250.333333,2243.0,7.023769,0.0,0.0,0.0,0.0,7.0,5.666667,5.0,1.154701,40,2.2375,2.129867,2.014,0.111977,mock_full,3,1090.599,1074.783667,1058.833,15.883432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,136.666667,125.0,10.692677,19.0,18.0,17.0,1.0,False,plangate_adaptive_react_recovery
1152.0,1066.333333,951.0,103.732027,2275.0,2260.666667,2252.0,12.503333,38.0,29.333333,24.0,7.571878,11.0,8.333333,6.0,2.516611,40,1.9153,1.7885,1.5457,0.21034,mock_full,3,1091.177,1080.527667,1074.77,9.232752,14.0,12.0,9.0,2.645751,0.2,0.0,0.0,0.0,0.0,151.0,136.333333,121.0,15.011107,16.0,15.0,13.0,1.732051,True,plangate_adaptive_react_recovery
1124.0,1079.0,1052.0,39.23009,2252.0,2241.333333,2229.0,11.590226,0.0,0.0,0.0,0.0,5.0,4.0,3.0,1.0,80,2.4536,2.269233,2.1136,0.171812,mock_full,3,1103.36,1099.064667,1090.578,7.349853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,150.666667,143.0,10.785793,21.0,19.333333,18.0,1.527525,False,plangate_adaptive_react_recovery
1096.0,1062.666667,1015.0,42.359572,2270.0,2251.0,2233.0,18.520259,40.0,32.666667,23.0,8.736895,9.0,6.666667,5.0,2.081666,80,2.2533,1.9776,1.5426,0.38119,mock_full,3,1094.228,1089.203333,1079.569,8.346157,14.0,11.333333,7.0,3.785939,0.2,0.0,0.0,0.0,0.0,159.0,151.0,142.0,8.544004,19.0,16.666667,13.0,3.21455,True,plangate_adaptive_react_recovery
1125.0,1063.333333,1001.0,62.002688,2268.0,2241.666667,2213.0,27.574142,0.0,0.0,0.0,0.0,32.0,22.0,12.0,10.0,40,0.427,0.3826,0.3202,0.055629,mock_full,3,1148.49,1103.735,1073.969,39.456906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,126.0,121.0,5.0,16.0,14.333333,12.0,2.081666,False,plangate_no_capacity_step0
1225.0,1112.0,987.0,119.45292,2334.0,2307.666667,2291.0,23.07235,0.0,0.0,0.0,0.0,33.0,30.666667,29.0,2.081666,40,0.1067,0.053367,0.0,0.05335,mock_full,3,1108.862,1095.114,1069.164,22.486649,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,138.0,125.666667,111.0,13.650397,4.0,2.0,0.0,2.0,False,plangate_no_capacity_step0
1108.0,1081.666667,1046.0,32.036438,2277.0,2252.333333,2229.0,24.027762,0.0,0.0,0.0,0.0,30.0,19.0,13.0,9.539392,80,0.5072,0.373633,0.2402,0.1335,mock_full,3,30254.275,10829.339,1111.066,16822.489044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,132.0,129.0,3.0,19.0,14.0,9.0,5.0,False,plangate_no_capacity_step0
1164.0,1112.333333,1020.0,80.151939,2319.0,2298.333333,2266.0,28.360771,0.0,0.0,0.0,0.0,52.0,36.333333,24.0,14.294521,80,0.1869,0.1416,0.1067,0.041099,mock_full,3,30439.404,10912.529333,1131.946,16910.77821,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,139.0,132.0,121.0,9.643651,7.0,5.0,4.0,1.732051,False,plangate_no_capacity_step0
1149.0,1076.0,1036.0,63.316664,2245.0,2238.666667,2228.0,9.291573,0.0,0.0,0.0,0.0,5.0,3.666667,3.0,1.154701,40,2.4763,2.3285,2.253,0.128009,mock_full,3,1085.446,1076.967667,1072.66,7.342772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,136.666667,126.0,12.220202,21.0,19.666667,19.0,1.154701,False,plangate_strict
1226.0,1119.333333,1009.0,108.546457,2333.0,2315.0,2302.0,16.093477,0.0,0.0,0.0,0.0,23.0,20.666667,19.0,2.081666,40,0.6016,0.4012,0.1201,0.250689,mock_full,3,1086.472,1076.858333,1062.918,12.358712,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,150.0,139.0,125.0,12.767145,5.0,3.333333,1.0,2.081666,False,plangate_strict
1147.0,1094.666667,1061.0,45.938365,2266.0,2246.0,2236.0,17.320508,0.0,0.0,0.0,0.0,6.0,4.666667,4.0,1.154701,80,2.3452,2.192067,1.8873,0.263937,mock_full,3,1106.752,1098.843333,1094.532,6.858404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,145.666667,135.0,9.291573,20.0,18.666667,16.0,2.309401,False,plangate_strict
1159.0,1125.0,1070.0,48.072861,2328.0,2314.0,2306.0,12.165525,0.0,0.0,0.0,0.0,18.0,16.666667,16.0,1.154701,80,0.711,0.593333,0.4755,0.11775,mock_full,3,1086.448,1082.477,1079.555,3.56422,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,166.0,155.333333,142.0,12.220202,6.0,5.0,4.0,1.0,False,plangate_strict
