abd_react_max,abd_react_mean,abd_react_min,abd_react_std,abd_total_max,abd_total_mean,abd_total_min,abd_total_std,avoided_replay_steps_max,avoided_replay_steps_mean,avoided_replay_steps_min,avoided_replay_steps_std,cascade_failed_max,cascade_failed_mean,cascade_failed_min,cascade_failed_std,concurrency,effective_goodput_s_max,effective_goodput_s_mean,effective_goodput_s_min,effective_goodput_s_std,layer,n,p95_ms_max,p95_ms_mean,p95_ms_min,p95_ms_std,react_recovered_success_max,react_recovered_success_mean,react_recovered_success_min,react_recovered_success_std,recoverable_failure_rate,rejected_s0_adaptive_red_max,rejected_s0_adaptive_red_mean,rejected_s0_adaptive_red_min,rejected_s0_adaptive_red_std,rejected_s0_capacity_max,rejected_s0_capacity_mean,rejected_s0_capacity_min,rejected_s0_capacity_std,success_max,success_mean,success_min,success_std,synthetic_recoverable_failure,variant
0.0,0.0,0.0,0.0,59.4,51.1,34.5,14.376022,0.0,0.0,0.0,0.0,54.0,49.666667,41.0,7.505553,8,0.33,0.233333,0.18,0.083865,vllm_full,3,142881.0,131265.333333,114951.0,14545.766612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,30.0,26.0,6.928203,False,plangate_adaptive
0.0,0.0,0.0,0.0,82.8,79.6,77.0,2.946184,0.0,0.0,0.0,0.0,69.0,67.333333,66.0,1.527525,16,0.09,0.066667,0.05,0.020817,vllm_full,3,283427.0,182144.333333,102018.0,92536.474702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.333333,10.0,2.081666,False,plangate_adaptive
0.0,0.0,0.0,0.0,82.0,78.2,71.6,5.737595,0.0,0.0,0.0,0.0,69.0,66.333333,61.0,4.618802,16,0.15,0.086667,0.04,0.056862,vllm_full,3,306195.0,197914.333333,98428.0,104162.309865,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.666667,11.0,4.618802,True,plangate_adaptive
0.0,0.0,0.0,0.0,42.2,39.666667,35.9,3.326159,0.0,0.0,0.0,0.0,42.0,40.333333,38.0,2.081666,8,0.46,0.39,0.35,0.060828,vllm_full,3,147555.0,129539.0,106817.0,20772.72221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,37.0,2.0,False,plangate_adaptive_react_recovery
0.0,0.0,0.0,0.0,84.3,71.266667,61.2,11.8323,0.0,0.0,0.0,0.0,69.0,60.666667,53.0,8.020806,16,0.2,0.136667,0.06,0.070946,vllm_full,3,263314.0,199366.333333,143076.0,60483.636021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,19.0,11.0,7.549834,False,plangate_adaptive_react_recovery
0.0,0.0,0.0,0.0,81.7,76.966667,71.2,5.325724,0.0,0.0,0.0,0.0,69.0,66.333333,63.0,3.05505,16,0.11,0.08,0.06,0.026458,vllm_full,3,191284.0,132854.333333,87914.0,52988.780042,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.666667,11.0,3.05505,True,plangate_adaptive_react_recovery
0.0,0.0,0.0,0.0,47.9,45.9,42.0,3.377869,0.0,0.0,0.0,0.0,44.0,42.333333,40.0,2.081666,8,0.29,0.273333,0.26,0.015275,vllm_full,3,189919.0,150879.666667,115279.0,37438.626061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,37.666667,36.0,2.081666,False,plangate_no_capacity_step0
0.0,0.0,0.0,0.0,88.5,85.1,81.8,3.351119,0.0,0.0,0.0,0.0,73.0,70.666667,68.0,2.516611,16,0.06,0.043333,0.02,0.020817,vllm_full,3,148295.0,123729.333333,102266.0,23170.791189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.333333,7.0,2.516611,False,plangate_no_capacity_step0
0.0,0.0,0.0,0.0,89.4,78.133333,69.6,10.179063,0.0,0.0,0.0,0.0,73.0,66.666667,63.0,5.507571,16,0.12,0.093333,0.05,0.037859,vllm_full,3,242628.0,204017.333333,176243.0,34493.646463,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,7.0,5.291503,True,plangate_no_capacity_step0
0.0,0.0,0.0,0.0,63.0,57.866667,53.7,4.724757,0.0,0.0,0.0,0.0,52.0,51.0,49.0,1.732051,8,0.19,0.16,0.12,0.036056,vllm_full,3,144172.0,121667.666667,108313.0,19602.404708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,28.666667,27.0,2.081666,False,plangate_strict
0.0,0.0,0.0,0.0,88.9,87.633333,86.9,1.101514,0.0,0.0,0.0,0.0,74.0,72.333333,71.0,1.527525,16,0.04,0.033333,0.03,0.005774,vllm_full,3,140758.0,119431.666667,104467.0,18963.445687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.333333,6.0,1.154701,False,plangate_strict
0.0,0.0,0.0,0.0,84.4,81.933333,78.1,3.365016,0.0,0.0,0.0,0.0,70.0,68.333333,66.0,2.081666,16,0.07,0.06,0.05,0.01,vllm_full,3,167244.0,136569.333333,104367.0,31466.324958,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.666667,10.0,2.081666,True,plangate_strict
