C,ci_high,ci_low,comparison,failure_rate,layer,load,mean_delta,mean_value,metric,n,n_adaptive,n_nocap,n_recovery,n_strict,variant
,6.0,-6.4167,adaptive_vs_strict,,mock_full,,-0.1667,,success,,12,,,12,
80,8.1667,-7.8333,adaptive_vs_strict,,mock_full,high_load,-0.5,,success,,6,,,6,
40,10.8333,-8.8333,adaptive_vs_strict,,mock_full,mid_load,0.1667,,success,,6,,,6,
,3.8333,-13.25,adaptive_vs_strict,,mock_full,,-4.75,,rejected_s0_capacity,,12,,,12,
80,2.0,-21.0,adaptive_vs_strict,,mock_full,high_load,-9.1667,,rejected_s0_capacity,,6,,,6,
40,8.8333,-11.0,adaptive_vs_strict,,mock_full,mid_load,-0.3333,,rejected_s0_capacity,,6,,,6,
,29.8333,-30.8333,adaptive_vs_strict,,mock_full,,-0.5,,abd_total,,12,,,12,
80,41.0,-39.8333,adaptive_vs_strict,,mock_full,high_load,2.5,,abd_total,,6,,,6,
40,40.1667,-53.1667,adaptive_vs_strict,,mock_full,mid_load,-3.5,,abd_total,,6,,,6,
,5.4919,-12.168,adaptive_vs_strict,,mock_full,,-3.371,,p95_ms,,12,,,12,
80,4.3075,-17.377,adaptive_vs_strict,,mock_full,high_load,-7.0938,,p95_ms,,6,,,6,
40,10.2192,-10.1332,adaptive_vs_strict,,mock_full,mid_load,0.3518,,p95_ms,,6,,,6,
80,-6.3333,-29.5,adaptive_vs_no_capacity_step0,,mock_full,high_load,-16.5,,cascade_failed,,6,6,,,
40,-4.6667,-23.1667,adaptive_vs_no_capacity_step0,,mock_full,mid_load,-14.1667,,cascade_failed,,6,6,,,
80,42.3333,-30.3333,adaptive_vs_no_capacity_step0,,mock_full,high_load,7.1667,,abd_total,,6,6,,,
40,42.0,-50.0,adaptive_vs_no_capacity_step0,,mock_full,mid_load,-1.3333,,abd_total,,6,6,,,
80,-46.2402,-19589.9227,adaptive_vs_no_capacity_step0,,mock_full,high_load,-9787.3678,,p95_ms,,6,6,,,
40,-0.456,-43.7473,adaptive_vs_no_capacity_step0,,mock_full,mid_load,-22.1597,,p95_ms,,6,6,,,
,21.0,-137.1667,adaptive_recovery_vs_adaptive,0.2,mock_full,,-59.3333,,abd_react,,6,,6,,
,-8.1667,-14.0,adaptive_recovery_vs_adaptive,0.2,mock_full,,-11.1667,,cascade_failed,,6,,6,,
,36.5,26.3333,adaptive_recovery_vs_adaptive,0.2,mock_full,,31.0,,avoided_replay_steps,,6,,6,,
,,,adaptive_recovery_vs_adaptive,0.2,mock_full,,,11.6667,react_recovered_success,6,,,,,
,,,adaptive_recovery_vs_adaptive,0.2,mock_full,,,31.0,avoided_replay_steps,6,,,,,
,,,adaptive_recovery_vs_adaptive,0.2,mock_full,,,0.0,duplicate_side_effect,6,,,,,
,,,vllm_summary,,vllm_full,,,15.8889,success,9,,,,,plangate_strict
,,,vllm_summary,,vllm_full,,,18.6667,success,9,,,,,plangate_adaptive
,,,vllm_summary,,vllm_full,,,20.0,success,9,,,,,plangate_no_capacity_step0
,,,vllm_summary,,vllm_full,,,23.8889,success,9,,,,,plangate_adaptive_react_recovery
