gateway,window_id,window_label,scale,runs,selected_trace_rows_mean,duration_s_mean,success_mean,success_rate_mean,abd_mean,abd_total_mean,cascade_failed_mean,cascade_rate_mean,all_rejected_mean,step0_rejected_mean,effective_goodput_s_mean,p50_ms_mean,p95_ms_mean,client_rc_mean,client_timed_out_mean
ng,burst,burst,1.0,3,24.0,8.712,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.788197,156.138333,807.204,0.0,0.0
ng,burst,burst,1.5,3,24.0,6.567333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.755518,155.756667,806.511333,0.0,0.0
ng,burst,burst,2.0,3,24.0,6.405667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.158834,155.388667,806.565667,0.0,0.0
ng,normal,normal,1.0,3,24.0,18.383333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.982599,155.425667,805.966,0.0,0.0
ng,normal,normal,1.5,3,24.0,12.824667,23.666667,98.611,0.0,0.0,0.0,0.0,0.333333,0.333333,17.705598,155.627667,806.683,0.0,0.0
ng,normal,normal,2.0,3,24.0,11.886333,23.333333,97.222,0.0,0.0,0.0,0.0,0.666667,0.666667,19.86573,155.689,806.682,0.0,0.0
ng,peak_burst,peak-burst,1.0,3,24.0,6.134667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,42.171916,155.962667,807.125,0.0,0.0
ng,peak_burst,peak-burst,1.5,3,24.0,4.787333,23.0,95.833333,1.389,1.389,0.333333,1.389,0.666667,0.666667,40.300936,155.028,806.13,0.0,0.0
ng,peak_burst,peak-burst,2.0,3,24.0,4.741,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,45.888441,155.854667,806.789333,0.0,0.0
plangate_relaxed,burst,burst,1.0,3,24.0,14.059667,8.333333,34.722333,44.529,44.529,6.0,24.999667,9.666667,9.666667,9.054658,373.067,4270.826333,0.0,0.0
plangate_relaxed,burst,burst,1.5,3,24.0,16.036333,9.666667,40.278,33.208,33.208,4.0,16.667,10.333333,10.333333,4.997419,1665.945,6003.579,0.0,0.0
plangate_relaxed,burst,burst,2.0,3,24.0,13.897667,8.0,33.333333,35.324,35.324,5.333333,22.222,10.666667,10.666667,4.014632,589.785667,6003.805333,0.0,0.0
plangate_relaxed,normal,normal,1.0,3,24.0,23.161,5.0,20.833333,40.351,40.351,7.666667,31.944667,11.333333,11.333333,2.825134,2055.180667,2752.764333,0.0,0.0
plangate_relaxed,normal,normal,1.5,3,24.0,18.991667,10.0,41.666667,35.812,35.812,6.0,25.000333,8.0,8.0,5.314743,536.277667,4276.554333,0.0,0.0
plangate_relaxed,normal,normal,2.0,3,24.0,17.467,11.0,45.833,28.897667,28.897667,4.333333,18.055667,8.666667,8.666667,7.118248,372.598333,4383.216667,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,1.0,3,24.0,16.638,3.0,12.5,62.222,62.222,3.666667,15.277667,17.333333,17.333333,2.101179,4053.945333,6010.645667,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,1.5,3,24.0,14.865333,4.333333,18.055667,56.666667,56.666667,5.333333,22.222333,14.333333,14.333333,2.733656,2323.865333,6008.440333,0.0,0.0
plangate_relaxed,peak_burst,peak-burst,2.0,3,24.0,15.078667,5.0,20.833667,53.093667,53.093667,5.0,20.833333,14.0,14.0,4.496754,2321.866,6009.677667,0.0,0.0
pp,burst,burst,1.0,3,24.0,8.722,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.916973,155.896,807.708333,0.0,0.0
pp,burst,burst,1.5,3,24.0,6.764333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,36.78905,155.637,806.831667,0.0,0.0
pp,burst,burst,2.0,3,24.0,5.658,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.13109,155.790333,806.737667,0.0,0.0
pp,normal,normal,1.0,3,24.0,17.235,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,12.103936,155.987333,806.685667,0.0,0.0
pp,normal,normal,1.5,3,24.0,14.501667,23.666667,98.611,0.0,0.0,0.0,0.0,0.333333,0.333333,18.525064,156.524,807.030667,0.0,0.0
pp,normal,normal,2.0,3,24.0,12.311667,23.666667,98.611,0.0,0.0,0.0,0.0,0.333333,0.333333,21.107158,156.117333,807.042,0.0,0.0
pp,peak_burst,peak-burst,1.0,3,24.0,3.082,12.666667,52.778,3.030333,3.030333,0.333333,1.389,11.0,11.0,34.777465,59.987333,808.19,0.0,0.0
pp,peak_burst,peak-burst,1.5,3,24.0,2.794667,5.0,20.833333,5.555667,5.555667,0.333333,1.389,18.666667,18.666667,18.142336,8.809,805.535667,0.0,0.0
pp,peak_burst,peak-burst,2.0,3,24.0,1.947667,3.666667,15.277667,0.0,0.0,0.0,0.0,20.333333,20.333333,15.489136,3.403667,805.243667,0.0,0.0
rajomon,burst,burst,1.0,3,24.0,8.838,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,30.499527,156.328667,809.504,0.0,0.0
rajomon,burst,burst,1.5,3,24.0,8.003667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,29.671238,155.832667,806.616333,0.0,0.0
rajomon,burst,burst,2.0,3,24.0,5.818,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,41.054891,155.969,807.278333,0.0,0.0
rajomon,normal,normal,1.0,3,24.0,18.465333,23.666667,98.611,0.0,0.0,0.0,0.0,0.333333,0.333333,12.868051,156.177,807.412,0.0,0.0
rajomon,normal,normal,1.5,3,24.0,14.333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.985552,155.325,806.831333,0.0,0.0
rajomon,normal,normal,2.0,3,24.0,12.287667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.490543,156.076,806.754,0.0,0.0
rajomon,peak_burst,peak-burst,1.0,3,24.0,5.65,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,45.277007,156.271667,807.482,0.0,0.0
rajomon,peak_burst,peak-burst,1.5,3,24.0,4.732667,23.333333,97.222,0.0,0.0,0.0,0.0,0.666667,0.666667,46.866401,155.763,808.962667,0.0,0.0
rajomon,peak_burst,peak-burst,2.0,3,24.0,4.940333,23.0,95.833333,0.0,0.0,0.0,0.0,1.0,1.0,45.887289,155.67,807.013333,0.0,0.0
static,burst,burst,1.0,3,24.0,9.131333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.089088,156.173667,806.997667,0.0,0.0
static,burst,burst,1.5,3,24.0,7.317333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,34.994465,155.661333,806.35,0.0,0.0
static,burst,burst,2.0,3,24.0,7.061333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,35.491279,156.236,806.926333,0.0,0.0
static,normal,normal,1.0,3,24.0,17.239333,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,11.599891,155.954667,807.458333,0.0,0.0
static,normal,normal,1.5,3,24.0,13.958667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04913,156.297,808.004333,0.0,0.0
static,normal,normal,2.0,3,24.0,11.359667,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.992092,155.764,806.535333,0.0,0.0
static,peak_burst,peak-burst,1.0,3,24.0,5.167667,23.333333,97.222,0.0,0.0,0.0,0.0,0.666667,0.666667,46.37418,156.209,808.255,0.0,0.0
static,peak_burst,peak-burst,1.5,3,24.0,5.170333,23.0,95.833333,1.449333,1.449333,0.333333,1.389,0.666667,0.666667,43.945736,155.799667,806.896333,0.0,0.0
static,peak_burst,peak-burst,2.0,3,24.0,4.514333,23.333333,97.222,0.0,0.0,0.0,0.0,0.666667,0.666667,49.908838,155.306667,806.387,0.0,0.0
