gateway,window_id,window_label,scale,repeat,selected_trace_rows,duration_s,success,success_rate,abd,abd_total,cascade_failed,cascade_rate,all_rejected,step0_rejected,effective_goodput_s,p50_ms,p95_ms,client_rc,client_timed_out,error,backend_mode,source_trace_sha256
ng,normal,normal,1.0,1,24,52.777,24,100.0,0.0,0.0,0,0.0,0,0,5.892731,156.738,808.645,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.0,2,24,52.141,24,100.0,0.0,0.0,0,0.0,0,0,3.567226,156.214,807.258,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.0,3,24,53.587,24,100.0,0.0,0.0,0,0.0,0,0,4.198765,156.869,807.971,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,1,24,35.1,24,100.0,0.0,0.0,0,0.0,0,0,5.925871,156.934,807.568,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,2,24,35.132,24,100.0,0.0,0.0,0,0.0,0,0,6.347548,157.466,807.944,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,1.5,3,24,35.138,24,100.0,0.0,0.0,0,0.0,0,0,7.456225,157.268,807.987,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,1,24,27.942,24,100.0,0.0,0.0,0,0.0,0,0,7.837662,157.19,807.837,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,2,24,27.073,24,100.0,0.0,0.0,0,0.0,0,0,8.532424,157.285,807.959,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,normal,normal,2.0,3,24,27.127,24,100.0,0.0,0.0,0,0.0,0,0,10.395453,157.297,808.359,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,1,24,53.777,24,100.0,0.0,0.0,0,0.0,0,0,4.686027,157.416,808.613,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,2,24,54.414,24,100.0,0.0,0.0,0,0.0,0,0,4.557612,156.298,807.683,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.0,3,24,52.802,24,100.0,0.0,0.0,0,0.0,0,0,4.772558,157.405,808.019,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,1,24,36.426,24,100.0,0.0,0.0,0,0.0,0,0,6.341557,157.442,807.871,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,2,24,36.604,24,100.0,0.0,0.0,0,0.0,0,0,6.829805,157.128,808.176,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,1.5,3,24,35.961,24,100.0,0.0,0.0,0,0.0,0,0,5.144469,156.635,807.499,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,1,24,27.305,24,100.0,0.0,0.0,0,0.0,0,0,8.05702,157.079,807.875,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,2,24,28.126,24,100.0,0.0,0.0,0,0.0,0,0,9.030706,157.497,809.097,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,burst,burst,2.0,3,24,28.925,24,100.0,0.0,0.0,0,0.0,0,0,8.228205,157.193,807.754,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,1,24,52.13,24,100.0,0.0,0.0,0,0.0,0,0,5.198527,157.181,807.741,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,2,24,52.127,24,100.0,0.0,0.0,0,0.0,0,0,4.143732,157.305,807.716,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.0,3,24,52.636,24,100.0,0.0,0.0,0,0.0,0,0,5.281515,157.195,807.8,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,1,24,35.152,24,100.0,0.0,0.0,0,0.0,0,0,5.262805,156.943,807.227,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,2,24,36.605,24,100.0,0.0,0.0,0,0.0,0,0,5.545682,157.091,807.686,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,1.5,3,24,36.598,24,100.0,0.0,0.0,0,0.0,0,0,6.147906,157.315,807.748,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,1,24,25.69,24,100.0,0.0,0.0,0,0.0,0,0,8.213429,156.856,807.837,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,2,24,26.332,24,100.0,0.0,0.0,0,0.0,0,0,7.557466,156.875,807.544,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
ng,peak_burst,peak-burst,2.0,3,24,27.44,24,100.0,0.0,0.0,0,0.0,0,0,8.600668,157.161,807.544,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,1,24,53.424,24,100.0,0.0,0.0,0,0.0,0,0,3.818474,156.685,808.061,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,2,24,52.947,24,100.0,0.0,0.0,0,0.0,0,0,3.890655,157.374,808.313,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.0,3,24,52.631,24,100.0,0.0,0.0,0,0.0,0,0,3.610045,157.176,807.729,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
static,normal,normal,1.5,1,24,35.301,24,100.0,0.0,0.0,0,0.0,0,0,8.555095,157.164,808.16,0,0,,mock_sterile_single_machine,4bb3783693d0a435686fbfc885615d2349bd067239079fa4b749f2e679e12122
