variant,repeat,sessions,concurrency,failure_rate,success,workflow_success_rate,admitted_sessions,admitted_success_rate,rejected_s0,step0_reject_rate,cascade_failed,partial,client_rc,client_timed_out,expected_recoverable_failures,expected_terminal_failures,unexpected_errors,unexpected_error_messages,http_requests_total,http_2xx_total,http_error_total,sqlite_writes_total,side_effects_committed,duplicate_side_effect,idempotency_keys_total,idempotency_replay_hits,resume_attempted,resume_recovered,post_resume_success,avoided_replay_steps,resume_continuation_started,resume_continuation_completed,post_resume_cascade,db_final_state_consistent,completed_workflows_in_db,failed_workflows_in_db,p50_ms,p95_ms,effective_goodput
ng,1,50,10,0.1,39,78.0,49,79.592,1,2.0,3,7,0,0,7,4,0,,147,147,0,451,136,0,150,1769,0,0,0,0,0,0,0,1,149,2,151.026,319.416,16.695846
ng,2,50,10,0.1,40,80.0,48,83.333,2,4.0,2,6,0,0,7,4,0,,145,145,0,451,134,0,150,1769,0,0,0,0,0,0,0,1,149,2,125.146,183.516,20.91972
ng,3,50,10,0.1,40,80.0,50,80.0,0,0.0,4,6,0,0,7,4,0,,149,149,0,451,138,0,150,1769,0,0,0,0,0,0,0,1,149,2,107.743,198.524,23.123911
ng,1,50,20,0.1,39,78.0,49,79.592,1,2.0,3,7,0,0,8,4,0,,148,148,0,451,136,0,150,1769,0,0,0,0,0,0,0,1,149,2,90.178,149.864,56.659111
ng,2,50,20,0.1,40,80.0,49,81.633,1,2.0,3,6,0,0,7,4,0,,147,147,0,451,136,0,150,1769,0,0,0,0,0,0,0,1,149,2,39.97,276.203,60.573296
ng,3,50,20,0.1,39,78.0,48,81.25,2,4.0,2,7,0,0,7,4,0,,146,146,0,451,135,0,150,1769,0,0,0,0,0,0,0,1,149,2,99.921,189.882,51.798469
plangate_adaptive,1,50,10,0.1,39,78.0,48,81.25,2,4.0,2,7,0,0,7,4,0,,146,146,0,451,135,0,150,1769,0,0,0,0,0,0,0,1,149,2,62.2,128.591,38.13994
plangate_adaptive,2,50,10,0.1,40,80.0,49,81.633,1,2.0,3,6,0,0,7,4,0,,147,147,0,451,136,0,150,1769,0,0,0,0,0,0,0,1,149,2,46.914,134.516,43.595302
plangate_adaptive,3,50,10,0.1,39,78.0,48,81.25,2,4.0,2,7,0,0,7,4,0,,145,145,0,451,134,0,150,1769,0,0,0,0,0,0,0,1,149,2,48.914,132.84,40.651328
plangate_adaptive,1,50,20,0.1,39,78.0,48,81.25,2,4.0,2,7,0,0,7,4,0,,145,145,0,451,134,0,150,1769,0,0,0,0,0,0,0,1,149,2,83.457,164.548,56.420768
plangate_adaptive,2,50,20,0.1,40,80.0,50,80.0,0,0.0,4,6,0,0,7,4,0,,147,147,0,451,136,0,150,1769,0,0,0,0,0,0,0,1,149,2,84.668,161.6,57.641461
plangate_adaptive,3,50,20,0.1,39,78.0,48,81.25,2,4.0,2,7,0,0,7,4,0,,146,146,0,451,135,0,150,1769,0,0,0,0,0,0,0,1,149,2,84.173,149.105,56.180602
plangate_adaptive_react_recovery,1,48,10,0.1,32,66.667,48,66.667,0,0.0,2,14,0,0,30,2,0,,159,159,0,451,127,0,144,1769,16,0,2,0,16,2,14,1,149,2,34.393,120.505,39.175396
plangate_adaptive_react_recovery,2,48,10,0.1,31,64.583,46,67.391,2,4.167,1,14,0,0,30,3,0,,155,155,0,451,122,0,144,1769,16,0,2,0,16,2,14,1,149,2,36.732,121.901,40.176666
plangate_adaptive_react_recovery,3,47,10,0.1,30,63.83,45,66.667,2,4.255,1,14,0,0,31,3,0,,154,154,0,451,120,0,141,1769,17,0,3,0,17,3,14,1,149,2,19.915,118.085,46.918846
plangate_adaptive_react_recovery,1,49,20,0.1,23,46.939,48,47.917,1,2.041,1,24,0,0,48,2,0,,168,168,0,451,118,0,147,1769,24,0,0,0,24,0,24,1,149,2,27.853,170.609,35.922479
plangate_adaptive_react_recovery,2,48,20,0.1,24,50.0,45,53.333,3,6.25,0,21,0,0,45,3,0,,162,162,0,451,114,0,144,1769,24,0,3,0,24,3,21,1,149,2,31.312,166.904,36.170032
plangate_adaptive_react_recovery,3,46,20,0.1,21,45.652,45,46.667,1,2.174,2,22,0,0,46,3,0,,160,160,0,451,111,0,138,1769,24,0,2,0,24,2,22,1,149,2,23.015,180.94,35.361279
